#------------------------------------
2024/08/09 16:11:36  start
2024/08/09 16:15:20  end
x, y, z, status, B, Bx, By, Bz   3 Measure/1point
Area : X7 Y8 Z6 I5 T27 -Push_Push_Push -Absolute A3
#------------------------------------
0,0,0,True,0,-1156.198,0,0
0,0,0,True,0,-1155.996,0,0
0,0,0,True,0,-1157.472,0,0
5,0,0,True,0,-1265.395,0,0
5,0,0,True,0,-1266.025,0,0
5,0,0,True,0,-1266.07,0,0
7,0,0,True,0,-1356.328,0,0
7,0,0,True,0,-1398.459,0,0
7,0,0,True,0,-1417.064,0,0
0,5,0,True,0,-1184.578,0,0
0,5,0,True,0,-1179.252,0,0
0,5,0,True,0,-1180.143,0,0
5,5,0,True,0,-1288.361,0,0
5,5,0,True,0,-1289.98,0,0
5,5,0,True,0,-1290.063,0,0
7,5,0,True,0,-1337.209,0,0
7,5,0,True,0,-1337.892,0,0
7,5,0,True,0,-1337.946,0,0
0,10,0,True,0,-1195.011,0,0
0,10,0,True,0,-1192.23,0,0
0,10,0,True,0,-1192.067,0,0
5,10,0,True,0,-1301.637,0,0
5,10,0,True,0,-1303.162,0,0
5,10,0,True,0,-1303.786,0,0
7,10,0,True,0,-1349.982,0,0
7,10,0,True,0,-1350.704,0,0
7,10,0,True,0,-1350.713,0,0
0,15,0,True,0,-887.939,0,0
0,15,0,True,0,-885.958,0,0
0,15,0,True,0,-885.756,0,0
5,15,0,True,0,-967.389,0,0
5,15,0,True,0,-968.75,0,0
5,15,0,True,0,-968.811,0,0
7,15,0,True,0,-1003.182,0,0
7,15,0,True,0,-1003.703,0,0
7,15,0,True,0,-1003.731,0,0
0,20,0,True,0,-909.083,0,0
0,20,0,True,0,-907.342,0,0
0,20,0,True,0,-907.209,0,0
5,20,0,True,0,-990.765,0,0
5,20,0,True,0,-992.122,0,0
5,20,0,True,0,-992.195,0,0
7,20,0,True,0,-1027.304,0,0
7,20,0,True,0,-1027.847,0,0
7,20,0,True,0,-1027.891,0,0
0,25,0,True,0,-921.719,0,0
0,25,0,True,0,-919.792,0,0
0,25,0,True,0,-919.678,0,0
5,25,0,True,0,-1003.471,0,0
5,25,0,True,0,-1004.839,0,0
5,25,0,True,0,-1004.913,0,0
7,25,0,True,0,-1041.185,0,0
7,25,0,True,0,-1041.711,0,0
7,25,0,True,0,-1041.715,0,0
0,30,0,True,0,-832.354,0,0
0,30,0,True,0,-830.659,0,0
0,30,0,True,0,-830.488,0,0
5,30,0,True,0,-907.161,0,0
5,30,0,True,0,-908.463,0,0
5,30,0,True,0,-908.541,0,0
7,30,0,True,0,-940.728,0,0
7,30,0,True,0,-941.223,0,0
7,30,0,True,0,-941.15,0,0
0,35,0,True,0,-853.52,0,0
0,35,0,True,0,-851.959,0,0
0,35,0,True,0,-851.83,0,0
5,35,0,True,0,-929.713,0,0
5,35,0,True,0,-930.994,0,0
5,35,0,True,0,-931.063,0,0
7,35,0,True,0,-964.988,0,0
7,35,0,True,0,-965.52,0,0
7,35,0,True,0,-965.562,0,0
0,40,0,True,0,-866.177,0,0
0,40,0,True,0,-864.318,0,0
0,40,0,True,0,-864.195,0,0
5,40,0,True,0,-943.936,0,0
5,40,0,True,0,-945.265,0,0
5,40,0,True,0,-945.33,0,0
7,40,0,True,0,-979.024,0,0
7,40,0,True,0,-979.589,0,0
7,40,0,True,0,-979.617,0,0
