#------------------------------------
2024/12/26 13:25:24  start
2024/12/27 04:50:40  end
x, y, z, status, B, Bx, By, Bz   1 Measure/1point
Area : X410 Y278 Z80 I10 T10962 -Push_Push_Push -Absolute A1
#------------------------------------
0,0,0,True,0,-55.566,0,0
10,0,0,True,0,-56.607,0,0
20,0,0,True,0,-57.72,0,0
30,0,0,True,0,-58.915,0,0
40,0,0,True,0,-60.196,0,0
50,0,0,True,0,-61.575,0,0
60,0,0,True,0,-63.048,0,0
70,0,0,True,0,-64.664,0,0
80,0,0,True,0,-66.407,0,0
90,0,0,True,0,-68.281,0,0
100,0,0,True,0,-70.349,0,0
110,0,0,True,0,-72.589,0,0
120,0,0,True,0,-75.009,0,0
130,0,0,True,0,-77.698,0,0
140,0,0,True,0,-80.618,0,0
150,0,0,True,0,-83.834,0,0
160,0,0,True,0,-87.38,0,0
170,0,0,True,0,-91.275,0,0
180,0,0,True,0,-95.571,0,0
190,0,0,True,0,-100.352,0,0
200,0,0,True,0,-105.653,0,0
210,0,0,True,0,-111.553,0,0
220,0,0,True,0,-118.137,0,0
230,0,0,True,0,-125.505,0,0
240,0,0,True,0,-133.767,0,0
250,0,0,True,0,-143.054,0,0
260,0,0,True,0,-153.527,0,0
270,0,0,True,0,-165.375,0,0
280,0,0,True,0,-178.807,0,0
290,0,0,True,0,-194.122,0,0
300,0,0,True,0,-211.624,0,0
310,0,0,True,0,-231.738,0,0
320,0,0,True,0,-254.951,0,0
330,0,0,True,0,-281.952,0,0
340,0,0,True,0,-313.593,0,0
350,0,0,True,0,-350.694,0,0
360,0,0,True,0,-394.706,0,0
370,0,0,True,0,-447.395,0,0
380,0,0,True,0,-511.046,0,0
390,0,0,True,0,-588.414,0,0
400,0,0,True,0,-682.834,0,0
410,0,0,True,0,-796.483,0,0
0,10,0,True,0,-55.774,0,0
10,10,0,True,0,-56.84,0,0
20,10,0,True,0,-57.975,0,0
30,10,0,True,0,-59.179,0,0
40,10,0,True,0,-60.489,0,0
50,10,0,True,0,-61.891,0,0
60,10,0,True,0,-63.414,0,0
70,10,0,True,0,-65.049,0,0
80,10,0,True,0,-66.832,0,0
90,10,0,True,0,-68.75,0,0
100,10,0,True,0,-70.851,0,0
110,10,0,True,0,-73.142,0,0
120,10,0,True,0,-75.619,0,0
130,10,0,True,0,-78.363,0,0
140,10,0,True,0,-81.357,0,0
150,10,0,True,0,-84.653,0,0
160,10,0,True,0,-88.269,0,0
170,10,0,True,0,-92.265,0,0
180,10,0,True,0,-96.659,0,0
190,10,0,True,0,-101.557,0,0
200,10,0,True,0,-107.002,0,0
210,10,0,True,0,-113.053,0,0
220,10,0,True,0,-119.812,0,0
230,10,0,True,0,-127.362,0,0
240,10,0,True,0,-135.85,0,0
250,10,0,True,0,-145.38,0,0
260,10,0,True,0,-156.12,0,0
270,10,0,True,0,-168.28,0,0
280,10,0,True,0,-182.072,0,0
290,10,0,True,0,-197.745,0,0
300,10,0,True,0,-215.716,0,0
310,10,0,True,0,-236.321,0,0
320,10,0,True,0,-260.067,0,0
330,10,0,True,0,-287.619,0,0
340,10,0,True,0,-319.86,0,0
350,10,0,True,0,-357.515,0,0
360,10,0,True,0,-401.907,0,0
370,10,0,True,0,-454.739,0,0
380,10,0,True,0,-517.804,0,0
390,10,0,True,0,-593.358,0,0
400,10,0,True,0,-683.533,0,0
410,10,0,True,0,-789.215,0,0
0,20,0,True,0,-55.978,0,0
10,20,0,True,0,-57.061,0,0
20,20,0,True,0,-58.213,0,0
30,20,0,True,0,-59.459,0,0
40,20,0,True,0,-60.794,0,0
50,20,0,True,0,-62.218,0,0
60,20,0,True,0,-63.765,0,0
70,20,0,True,0,-65.436,0,0
80,20,0,True,0,-67.241,0,0
90,20,0,True,0,-69.199,0,0
100,20,0,True,0,-71.358,0,0
110,20,0,True,0,-73.659,0,0
120,20,0,True,0,-76.223,0,0
130,20,0,True,0,-79.034,0,0
140,20,0,True,0,-82.077,0,0
150,20,0,True,0,-85.436,0,0
160,20,0,True,0,-89.13,0,0
170,20,0,True,0,-93.225,0,0
180,20,0,True,0,-97.734,0,0
190,20,0,True,0,-102.719,0,0
200,20,0,True,0,-108.279,0,0
210,20,0,True,0,-114.471,0,0
220,20,0,True,0,-121.383,0,0
230,20,0,True,0,-129.114,0,0
240,20,0,True,0,-137.787,0,0
250,20,0,True,0,-147.54,0,0
260,20,0,True,0,-158.528,0,0
270,20,0,True,0,-170.96,0,0
280,20,0,True,0,-185.06,0,0
290,20,0,True,0,-201.108,0,0
300,20,0,True,0,-219.424,0,0
310,20,0,True,0,-240.436,0,0
320,20,0,True,0,-264.628,0,0
330,20,0,True,0,-292.771,0,0
340,20,0,True,0,-325.281,0,0
350,20,0,True,0,-363.294,0,0
360,20,0,True,0,-407.948,0,0
370,20,0,True,0,-460.711,0,0
380,20,0,True,0,-523.242,0,0
390,20,0,True,0,-597.401,0,0
400,20,0,True,0,-684.846,0,0
410,20,0,True,0,-785.957,0,0
0,30,0,True,0,-56.176,0,0
10,30,0,True,0,-57.28,0,0
20,30,0,True,0,-58.458,0,0
30,30,0,True,0,-59.71,0,0
40,30,0,True,0,-61.067,0,0
50,30,0,True,0,-62.521,0,0
60,30,0,True,0,-64.103,0,0
70,30,0,True,0,-65.802,0,0
80,30,0,True,0,-67.651,0,0
90,30,0,True,0,-69.646,0,0
100,30,0,True,0,-71.832,0,0
110,30,0,True,0,-74.181,0,0
120,30,0,True,0,-76.78,0,0
130,30,0,True,0,-79.65,0,0
140,30,0,True,0,-82.752,0,0
150,30,0,True,0,-86.179,0,0
160,30,0,True,0,-89.94,0,0
170,30,0,True,0,-94.108,0,0
180,30,0,True,0,-98.714,0,0
190,30,0,True,0,-103.807,0,0
200,30,0,True,0,-109.476,0,0
210,30,0,True,0,-115.794,0,0
220,30,0,True,0,-122.845,0,0
230,30,0,True,0,-130.729,0,0
240,30,0,True,0,-139.576,0,0
250,30,0,True,0,-149.531,0,0
260,30,0,True,0,-160.741,0,0
270,30,0,True,0,-173.412,0,0
280,30,0,True,0,-187.768,0,0
290,30,0,True,0,-204.105,0,0
300,30,0,True,0,-222.734,0,0
310,30,0,True,0,-244.083,0,0
320,30,0,True,0,-268.619,0,0
330,30,0,True,0,-296.986,0,0
340,30,0,True,0,-329.965,0,0
350,30,0,True,0,-368.246,0,0
360,30,0,True,0,-413.031,0,0
370,30,0,True,0,-465.695,0,0
380,30,0,True,0,-527.795,0,0
390,30,0,True,0,-600.965,0,0
400,30,0,True,0,-686.709,0,0
410,30,0,True,0,-785.167,0,0
0,40,0,True,0,-56.349,0,0
10,40,0,True,0,-57.464,0,0
20,40,0,True,0,-58.659,0,0
30,40,0,True,0,-59.942,0,0
40,40,0,True,0,-61.314,0,0
50,40,0,True,0,-62.801,0,0
60,40,0,True,0,-64.399,0,0
70,40,0,True,0,-66.123,0,0
80,40,0,True,0,-67.996,0,0
90,40,0,True,0,-70.028,0,0
100,40,0,True,0,-72.255,0,0
110,40,0,True,0,-74.663,0,0
120,40,0,True,0,-77.288,0,0
130,40,0,True,0,-80.18,0,0
140,40,0,True,0,-83.354,0,0
150,40,0,True,0,-86.83,0,0
160,40,0,True,0,-90.673,0,0
170,40,0,True,0,-94.919,0,0
180,40,0,True,0,-99.595,0,0
190,40,0,True,0,-104.786,0,0
200,40,0,True,0,-110.56,0,0
210,40,0,True,0,-116.965,0,0
220,40,0,True,0,-124.146,0,0
230,40,0,True,0,-132.191,0,0
240,40,0,True,0,-141.207,0,0
250,40,0,True,0,-151.332,0,0
260,40,0,True,0,-162.732,0,0
270,40,0,True,0,-175.615,0,0
280,40,0,True,0,-190.201,0,0
290,40,0,True,0,-206.79,0,0
300,40,0,True,0,-225.692,0,0
310,40,0,True,0,-247.31,0,0
320,40,0,True,0,-272.139,0,0
330,40,0,True,0,-300.88,0,0
340,40,0,True,0,-333.986,0,0
350,40,0,True,0,-372.435,0,0
360,40,0,True,0,-417.31,0,0
370,40,0,True,0,-469.872,0,0
380,40,0,True,0,-531.645,0,0
390,40,0,True,0,-604.122,0,0
400,40,0,True,0,-688.772,0,0
410,40,0,True,0,-785.662,0,0
0,50,0,True,0,-56.503,0,0
10,50,0,True,0,-57.643,0,0
20,50,0,True,0,-58.844,0,0
30,50,0,True,0,-60.148,0,0
40,50,0,True,0,-61.537,0,0
50,50,0,True,0,-63.049,0,0
60,50,0,True,0,-64.672,0,0
70,50,0,True,0,-66.429,0,0
80,50,0,True,0,-68.328,0,0
90,50,0,True,0,-70.389,0,0
100,50,0,True,0,-72.64,0,0
110,50,0,True,0,-75.098,0,0
120,50,0,True,0,-77.756,0,0
130,50,0,True,0,-80.691,0,0
140,50,0,True,0,-83.925,0,0
150,50,0,True,0,-87.454,0,0
160,50,0,True,0,-91.353,0,0
170,50,0,True,0,-95.657,0,0
180,50,0,True,0,-100.413,0,0
190,50,0,True,0,-105.693,0,0
200,50,0,True,0,-111.554,0,0
210,50,0,True,0,-118.084,0,0
220,50,0,True,0,-125.369,0,0
230,50,0,True,0,-133.526,0,0
240,50,0,True,0,-142.672,0,0
250,50,0,True,0,-152.941,0,0
260,50,0,True,0,-164.52,0,0
270,50,0,True,0,-177.583,0,0
280,50,0,True,0,-192.363,0,0
290,50,0,True,0,-209.168,0,0
300,50,0,True,0,-228.286,0,0
310,50,0,True,0,-250.127,0,0
320,50,0,True,0,-275.18,0,0
330,50,0,True,0,-304.134,0,0
340,50,0,True,0,-337.415,0,0
350,50,0,True,0,-375.99,0,0
360,50,0,True,0,-420.911,0,0
370,50,0,True,0,-473.392,0,0
380,50,0,True,0,-534.918,0,0
390,50,0,True,0,-606.916,0,0
400,50,0,True,0,-690.849,0,0
410,50,0,True,0,-786.783,0,0
0,60,0,True,0,-56.64,0,0
10,60,0,True,0,-57.79,0,0
20,60,0,True,0,-59.022,0,0
30,60,0,True,0,-60.331,0,0
40,60,0,True,0,-61.745,0,0
50,60,0,True,0,-63.267,0,0
60,60,0,True,0,-64.917,0,0
70,60,0,True,0,-66.696,0,0
80,60,0,True,0,-68.616,0,0
90,60,0,True,0,-70.718,0,0
100,60,0,True,0,-72.981,0,0
110,60,0,True,0,-75.453,0,0
120,60,0,True,0,-78.173,0,0
130,60,0,True,0,-81.156,0,0
140,60,0,True,0,-84.418,0,0
150,60,0,True,0,-88.008,0,0
160,60,0,True,0,-91.961,0,0
170,60,0,True,0,-96.323,0,0
180,60,0,True,0,-101.147,0,0
190,60,0,True,0,-106.499,0,0
200,60,0,True,0,-112.439,0,0
210,60,0,True,0,-119.067,0,0
220,60,0,True,0,-126.444,0,0
230,60,0,True,0,-134.715,0,0
240,60,0,True,0,-143.987,0,0
250,60,0,True,0,-154.387,0,0
260,60,0,True,0,-166.105,0,0
270,60,0,True,0,-179.325,0,0
280,60,0,True,0,-194.274,0,0
290,60,0,True,0,-211.247,0,0
300,60,0,True,0,-230.55,0,0
310,60,0,True,0,-252.572,0,0
320,60,0,True,0,-277.809,0,0
330,60,0,True,0,-306.931,0,0
340,60,0,True,0,-340.339,0,0
350,60,0,True,0,-379.039,0,0
360,60,0,True,0,-423.948,0,0
370,60,0,True,0,-476.365,0,0
380,60,0,True,0,-537.671,0,0
390,60,0,True,0,-609.383,0,0
400,60,0,True,0,-692.809,0,0
410,60,0,True,0,-788.15,0,0
0,70,0,True,0,-56.766,0,0
10,70,0,True,0,-57.934,0,0
20,70,0,True,0,-59.174,0,0
30,70,0,True,0,-60.507,0,0
40,70,0,True,0,-61.936,0,0
50,70,0,True,0,-63.473,0,0
60,70,0,True,0,-65.145,0,0
70,70,0,True,0,-66.93,0,0
80,70,0,True,0,-68.885,0,0
90,70,0,True,0,-70.996,0,0
100,70,0,True,0,-73.304,0,0
110,70,0,True,0,-75.81,0,0
120,70,0,True,0,-78.55,0,0
130,70,0,True,0,-81.585,0,0
140,70,0,True,0,-84.864,0,0
150,70,0,True,0,-88.495,0,0
160,70,0,True,0,-92.512,0,0
170,70,0,True,0,-96.914,0,0
180,70,0,True,0,-101.798,0,0
190,70,0,True,0,-107.216,0,0
200,70,0,True,0,-113.222,0,0
210,70,0,True,0,-119.925,0,0
220,70,0,True,0,-127.394,0,0
230,70,0,True,0,-135.764,0,0
240,70,0,True,0,-145.136,0,0
250,70,0,True,0,-155.653,0,0
260,70,0,True,0,-167.488,0,0
270,70,0,True,0,-180.846,0,0
280,70,0,True,0,-195.929,0,0
290,70,0,True,0,-213.048,0,0
300,70,0,True,0,-232.496,0,0
310,70,0,True,0,-254.669,0,0
320,70,0,True,0,-280.038,0,0
330,70,0,True,0,-309.294,0,0
340,70,0,True,0,-342.797,0,0
350,70,0,True,0,-381.546,0,0
360,70,0,True,0,-426.484,0,0
370,70,0,True,0,-478.847,0,0
380,70,0,True,0,-540.032,0,0
390,70,0,True,0,-611.463,0,0
400,70,0,True,0,-694.544,0,0
410,70,0,True,0,-789.458,0,0
0,80,0,True,0,-56.889,0,0
10,80,0,True,0,-58.053,0,0
20,80,0,True,0,-59.304,0,0
30,80,0,True,0,-60.649,0,0
40,80,0,True,0,-62.091,0,0
50,80,0,True,0,-63.658,0,0
60,80,0,True,0,-65.33,0,0
70,80,0,True,0,-67.152,0,0
80,80,0,True,0,-69.111,0,0
90,80,0,True,0,-71.242,0,0
100,80,0,True,0,-73.567,0,0
110,80,0,True,0,-76.107,0,0
120,80,0,True,0,-78.865,0,0
130,80,0,True,0,-81.91,0,0
140,80,0,True,0,-85.266,0,0
150,80,0,True,0,-88.934,0,0
160,80,0,True,0,-92.975,0,0
170,80,0,True,0,-97.427,0,0
180,80,0,True,0,-102.366,0,0
190,80,0,True,0,-107.834,0,0
200,80,0,True,0,-113.903,0,0
210,80,0,True,0,-120.678,0,0
220,80,0,True,0,-128.223,0,0
230,80,0,True,0,-136.668,0,0
240,80,0,True,0,-146.125,0,0
250,80,0,True,0,-156.738,0,0
260,80,0,True,0,-168.669,0,0
270,80,0,True,0,-182.141,0,0
280,80,0,True,0,-197.343,0,0
290,80,0,True,0,-214.579,0,0
300,80,0,True,0,-234.144,0,0
310,80,0,True,0,-256.439,0,0
320,80,0,True,0,-281.913,0,0
330,80,0,True,0,-311.283,0,0
340,80,0,True,0,-344.847,0,0
350,80,0,True,0,-383.63,0,0
360,80,0,True,0,-428.585,0,0
370,80,0,True,0,-480.9,0,0
380,80,0,True,0,-541.963,0,0
390,80,0,True,0,-613.193,0,0
400,80,0,True,0,-696.03,0,0
410,80,0,True,0,-790.61,0,0
0,90,0,True,0,-56.98,0,0
10,90,0,True,0,-58.164,0,0
20,90,0,True,0,-59.428,0,0
30,90,0,True,0,-60.77,0,0
40,90,0,True,0,-62.235,0,0
50,90,0,True,0,-63.802,0,0
60,90,0,True,0,-65.5,0,0
70,90,0,True,0,-67.329,0,0
80,90,0,True,0,-69.312,0,0
90,90,0,True,0,-71.46,0,0
100,90,0,True,0,-73.804,0,0
110,90,0,True,0,-76.345,0,0
120,90,0,True,0,-79.162,0,0
130,90,0,True,0,-82.23,0,0
140,90,0,True,0,-85.603,0,0
150,90,0,True,0,-89.303,0,0
160,90,0,True,0,-93.382,0,0
170,90,0,True,0,-97.874,0,0
180,90,0,True,0,-102.842,0,0
190,90,0,True,0,-108.362,0,0
200,90,0,True,0,-114.48,0,0
210,90,0,True,0,-121.312,0,0
220,90,0,True,0,-128.919,0,0
230,90,0,True,0,-137.432,0,0
240,90,0,True,0,-146.961,0,0
250,90,0,True,0,-157.653,0,0
260,90,0,True,0,-169.662,0,0
270,90,0,True,0,-183.221,0,0
280,90,0,True,0,-198.52,0,0
290,90,0,True,0,-215.852,0,0
300,90,0,True,0,-235.509,0,0
310,90,0,True,0,-257.898,0,0
320,90,0,True,0,-283.46,0,0
330,90,0,True,0,-312.891,0,0
340,90,0,True,0,-346.523,0,0
350,90,0,True,0,-385.334,0,0
360,90,0,True,0,-430.281,0,0
370,90,0,True,0,-482.524,0,0
380,90,0,True,0,-543.506,0,0
390,90,0,True,0,-614.571,0,0
400,90,0,True,0,-697.212,0,0
410,90,0,True,0,-791.511,0,0
0,100,0,True,0,-57.065,0,0
10,100,0,True,0,-58.246,0,0
20,100,0,True,0,-59.525,0,0
30,100,0,True,0,-60.88,0,0
40,100,0,True,0,-62.35,0,0
50,100,0,True,0,-63.928,0,0
60,100,0,True,0,-65.644,0,0
70,100,0,True,0,-67.479,0,0
80,100,0,True,0,-69.467,0,0
90,100,0,True,0,-71.639,0,0
100,100,0,True,0,-74.003,0,0
110,100,0,True,0,-76.565,0,0
120,100,0,True,0,-79.386,0,0
130,100,0,True,0,-82.476,0,0
140,100,0,True,0,-85.875,0,0
150,100,0,True,0,-89.608,0,0
160,100,0,True,0,-93.709,0,0
170,100,0,True,0,-98.227,0,0
180,100,0,True,0,-103.235,0,0
190,100,0,True,0,-108.793,0,0
200,100,0,True,0,-114.958,0,0
210,100,0,True,0,-121.839,0,0
220,100,0,True,0,-129.489,0,0
230,100,0,True,0,-138.055,0,0
240,100,0,True,0,-147.645,0,0
250,100,0,True,0,-158.4,0,0
260,100,0,True,0,-170.477,0,0
270,100,0,True,0,-184.104,0,0
280,100,0,True,0,-199.479,0,0
290,100,0,True,0,-216.877,0,0
300,100,0,True,0,-236.622,0,0
310,100,0,True,0,-259.089,0,0
320,100,0,True,0,-285.06,0,0
330,100,0,True,0,-314.204,0,0
340,100,0,True,0,-348.57,0,0
350,100,0,True,0,-386.724,0,0
360,100,0,True,0,-431.594,0,0
370,100,0,True,0,-483.791,0,0
380,100,0,True,0,-544.63,0,0
390,100,0,True,0,-615.637,0,0
400,100,0,True,0,-698.074,0,0
410,100,0,True,0,-792.19,0,0
0,110,0,True,0,-57.131,0,0
10,110,0,True,0,-58.325,0,0
20,110,0,True,0,-59.6,0,0
30,110,0,True,0,-60.955,0,0
40,110,0,True,0,-62.419,0,0
50,110,0,True,0,-64.021,0,0
60,110,0,True,0,-66.678,0,0
70,110,0,True,0,-68.592,0,0
80,110,0,True,0,-69.608,0,0
90,110,0,True,0,-71.782,0,0
100,110,0,True,0,-74.162,0,0
110,110,0,True,0,-76.755,0,0
120,110,0,True,0,-79.57,0,0
130,110,0,True,0,-82.684,0,0
140,110,0,True,0,-86.103,0,0
150,110,0,True,0,-89.847,0,0
160,110,0,True,0,-93.967,0,0
170,110,0,True,0,-98.515,0,0
180,110,0,True,0,-103.55,0,0
190,110,0,True,0,-109.14,0,0
200,110,0,True,0,-115.33,0,0
210,110,0,True,0,-122.243,0,0
220,110,0,True,0,-129.94,0,0
230,110,0,True,0,-138.544,0,0
240,110,0,True,0,-148.171,0,0
250,110,0,True,0,-158.969,0,0
260,110,0,True,0,-171.096,0,0
270,110,0,True,0,-184.786,0,0
280,110,0,True,0,-200.211,0,0
290,110,0,True,0,-217.662,0,0
300,110,0,True,0,-237.464,0,0
310,110,0,True,0,-259.959,0,0
320,110,0,True,0,-285.618,0,0
330,110,0,True,0,-315.149,0,0
340,110,0,True,0,-348.84,0,0
350,110,0,True,0,-387.668,0,0
360,110,0,True,0,-432.588,0,0
370,110,0,True,0,-484.775,0,0
380,110,0,True,0,-545.564,0,0
390,110,0,True,0,-616.416,0,0
400,110,0,True,0,-698.761,0,0
410,110,0,True,0,-792.67,0,0
0,120,0,True,0,-57.179,0,0
10,120,0,True,0,-58.372,0,0
20,120,0,True,0,-59.656,0,0
30,120,0,True,0,-61.028,0,0
40,120,0,True,0,-62.504,0,0
