#------------------------------------
2025/01/20 16:34:28  start
2025/01/21 07:59:37  end
x, y, z, status, B, Bx, By, Bz   1 Measure/1point
Area : X410 Y275 Z80 I10 T10962 -Push_Push_Push -Absolute A1
#------------------------------------
0,0,0,True,0,400.498,0,0
10,0,0,True,0,413.725,0,0
20,0,0,True,0,394.085,0,0
30,0,0,True,0,340.85,0,0
40,0,0,True,0,267.004,0,0
50,0,0,True,0,192.815,0,0
60,0,0,True,0,130.81,0,0
70,0,0,True,0,84.799,0,0
80,0,0,True,0,52.557,0,0
90,0,0,True,0,30.8,0,0
100,0,0,True,0,16.481,0,0
110,0,0,True,0,6.833,0,0
120,0,0,True,0,0.067,0,0
130,0,0,True,0,-5.092,0,0
140,0,0,True,0,-8.895,0,0
150,0,0,True,0,-11.551,0,0
160,0,0,True,0,-12.993,0,0
170,0,0,True,0,-13.589,0,0
180,0,0,True,0,-13.384,0,0
190,0,0,True,0,-12.797,0,0
200,0,0,True,0,-12.188,0,0
210,0,0,True,0,-12.15,0,0
220,0,0,True,0,-12.592,0,0
230,0,0,True,0,-13.198,0,0
240,0,0,True,0,-13.683,0,0
250,0,0,True,0,-13.808,0,0
260,0,0,True,0,-13.701,0,0
270,0,0,True,0,-13.711,0,0
280,0,0,True,0,-14.198,0,0
290,0,0,True,0,-14.942,0,0
300,0,0,True,0,-16.156,0,0
310,0,0,True,0,-18.013,0,0
320,0,0,True,0,-20.919,0,0
330,0,0,True,0,-25.017,0,0
340,0,0,True,0,-31.046,0,0
350,0,0,True,0,-39.889,0,0
360,0,0,True,0,-53.279,0,0
370,0,0,True,0,-73.312,0,0
380,0,0,True,0,-102.955,0,0
390,0,0,True,0,-145.921,0,0
400,0,0,True,0,-204.726,0,0
410,0,0,True,0,-277.543,0,0
0,10,0,True,0,388.932,0,0
10,10,0,True,0,400.172,0,0
20,10,0,True,0,382.596,0,0
30,10,0,True,0,335.514,0,0
40,10,0,True,0,268.581,0,0
50,10,0,True,0,199.043,0,0
60,10,0,True,0,138.64,0,0
70,10,0,True,0,92.004,0,0
80,10,0,True,0,58.546,0,0
90,10,0,True,0,35.249,0,0
100,10,0,True,0,19.482,0,0
110,10,0,True,0,8.833,0,0
120,10,0,True,0,1.573,0,0
130,10,0,True,0,-3.498,0,0
140,10,0,True,0,-6.942,0,0
150,10,0,True,0,-9.321,0,0
160,10,0,True,0,-10.751,0,0
170,10,0,True,0,-11.595,0,0
180,10,0,True,0,-11.838,0,0
190,10,0,True,0,-11.833,0,0
200,10,0,True,0,-11.686,0,0
210,10,0,True,0,-11.72,0,0
220,10,0,True,0,-11.91,0,0
230,10,0,True,0,-12.177,0,0
240,10,0,True,0,-12.427,0,0
250,10,0,True,0,-12.547,0,0
260,10,0,True,0,-12.756,0,0
270,10,0,True,0,-12.994,0,0
280,10,0,True,0,-13.598,0,0
290,10,0,True,0,-14.477,0,0
300,10,0,True,0,-15.888,0,0
310,10,0,True,0,-17.904,0,0
320,10,0,True,0,-20.912,0,0
330,10,0,True,0,-25.336,0,0
340,10,0,True,0,-31.922,0,0
350,10,0,True,0,-41.693,0,0
360,10,0,True,0,-56.234,0,0
370,10,0,True,0,-77.571,0,0
380,10,0,True,0,-108.353,0,0
390,10,0,True,0,-151.61,0,0
400,10,0,True,0,-209.033,0,0
410,10,0,True,0,-278.235,0,0
0,20,0,True,0,380.665,0,0
10,20,0,True,0,390.99,0,0
20,20,0,True,0,374.771,0,0
30,20,0,True,0,330.584,0,0
40,20,0,True,0,267.714,0,0
50,20,0,True,0,201.039,0,0
60,20,0,True,0,142.257,0,0
70,20,0,True,0,95.884,0,0
80,20,0,True,0,61.991,0,0
90,20,0,True,0,37.992,0,0
100,20,0,True,0,21.476,0,0
110,20,0,True,0,10.235,0,0
120,20,0,True,0,2.678,0,0
130,20,0,True,0,-2.396,0,0
140,20,0,True,0,-5.719,0,0
150,20,0,True,0,-8.004,0,0
160,20,0,True,0,-9.451,0,0
170,20,0,True,0,-10.406,0,0
180,20,0,True,0,-10.914,0,0
190,20,0,True,0,-11.156,0,0
200,20,0,True,0,-11.259,0,0
210,20,0,True,0,-11.322,0,0
220,20,0,True,0,-11.458,0,0
230,20,0,True,0,-11.566,0,0
240,20,0,True,0,-11.747,0,0
250,20,0,True,0,-11.877,0,0
260,20,0,True,0,-12.192,0,0
270,20,0,True,0,-12.566,0,0
280,20,0,True,0,-13.265,0,0
290,20,0,True,0,-14.253,0,0
300,20,0,True,0,-15.775,0,0
310,20,0,True,0,-17.92,0,0
320,20,0,True,0,-21.125,0,0
330,20,0,True,0,-25.712,0,0
340,20,0,True,0,-32.668,0,0
350,20,0,True,0,-42.985,0,0
360,20,0,True,0,-58.133,0,0
370,20,0,True,0,-80.066,0,0
380,20,0,True,0,-111.149,0,0
390,20,0,True,0,-154.061,0,0
400,20,0,True,0,-210.219,0,0
410,20,0,True,0,-277.095,0,0
0,30,0,True,0,374.489,0,0
10,30,0,True,0,384.657,0,0
20,30,0,True,0,369.417,0,0
30,30,0,True,0,327.054,0,0
