#------------------------------------
2024/12/23 10:57:51  start
2024/12/24 02:22:41  end
x, y, z, status, B, Bx, By, Bz   1 Measure/1point
Area : X410 Y278 Z80 I10 T10962 -Push_Push_Push -Absolute A1
#------------------------------------
0,0,0,True,0,-4.054,0,0
10,0,0,True,0,-4.049,0,0
20,0,0,True,0,-3.991,0,0
30,0,0,True,0,-3.951,0,0
40,0,0,True,0,-3.894,0,0
50,0,0,True,0,-3.829,0,0
60,0,0,True,0,-3.696,0,0
70,0,0,True,0,-3.565,0,0
80,0,0,True,0,-3.396,0,0
90,0,0,True,0,-3.18,0,0
100,0,0,True,0,-2.94,0,0
110,0,0,True,0,-2.644,0,0
120,0,0,True,0,-2.302,0,0
130,0,0,True,0,-1.75,0,0
140,0,0,True,0,-1.458,0,0
150,0,0,True,0,-0.927,0,0
160,0,0,True,0,-0.314,0,0
170,0,0,True,0,0.383,0,0
180,0,0,True,0,1.194,0,0
190,0,0,True,0,2.107,0,0
200,0,0,True,0,3.133,0,0
210,0,0,True,0,4.347,0,0
220,0,0,True,0,5.708,0,0
230,0,0,True,0,7.253,0,0
240,0,0,True,0,8.998,0,0
250,0,0,True,0,10.991,0,0
260,0,0,True,0,13.25,0,0
270,0,0,True,0,15.847,0,0
280,0,0,True,0,18.794,0,0
290,0,0,True,0,22.419,0,0
300,0,0,True,0,26.07,0,0
310,0,0,True,0,30.499,0,0
320,0,0,True,0,35.699,0,0
330,0,0,True,0,41.69,0,0
340,0,0,True,0,48.649,0,0
350,0,0,True,0,56.859,0,0
360,0,0,True,0,66.387,0,0
370,0,0,True,0,77.719,0,0
380,0,0,True,0,91.04,0,0
390,0,0,True,0,106.841,0,0
400,0,0,True,0,125.535,0,0
410,0,0,True,0,147.806,0,0
0,10,0,True,0,-4.126,0,0
10,10,0,True,0,-4.102,0,0
20,10,0,True,0,-4.07,0,0
30,10,0,True,0,-4.016,0,0
40,10,0,True,0,-3.495,0,0
50,10,0,True,0,-3.734,0,0
60,10,0,True,0,-3.743,0,0
70,10,0,True,0,-3.604,0,0
80,10,0,True,0,-3.445,0,0
90,10,0,True,0,-3.233,0,0
100,10,0,True,0,-2.956,0,0
110,10,0,True,0,-2.659,0,0
120,10,0,True,0,-2.317,0,0
130,10,0,True,0,-1.907,0,0
140,10,0,True,0,-1.447,0,0
150,10,0,True,0,-0.903,0,0
160,10,0,True,0,-0.278,0,0
170,10,0,True,0,0.442,0,0
180,10,0,True,0,1.27,0,0
190,10,0,True,0,2.206,0,0
200,10,0,True,0,3.276,0,0
210,10,0,True,0,4.502,0,0
220,10,0,True,0,5.898,0,0
230,10,0,True,0,7.479,0,0
240,10,0,True,0,9.266,0,0
250,10,0,True,0,11.306,0,0
260,10,0,True,0,13.616,0,0
270,10,0,True,0,16.281,0,0
280,10,0,True,0,19.306,0,0
290,10,0,True,0,22.801,0,0
300,10,0,True,0,26.782,0,0
310,10,0,True,0,31.364,0,0
320,10,0,True,0,36.667,0,0
330,10,0,True,0,42.817,0,0
340,10,0,True,0,49.928,0,0
350,10,0,True,0,58.308,0,0
360,10,0,True,0,68.087,0,0
370,10,0,True,0,79.571,0,0
380,10,0,True,0,93.063,0,0
390,10,0,True,0,108.991,0,0
400,10,0,True,0,127.784,0,0
410,10,0,True,0,150.054,0,0
0,20,0,True,0,-4.221,0,0
10,20,0,True,0,-4.196,0,0
20,20,0,True,0,-4.153,0,0
30,20,0,True,0,-4.097,0,0
40,20,0,True,0,-4.027,0,0
50,20,0,True,0,-3.934,0,0
60,20,0,True,0,-3.825,0,0
70,20,0,True,0,-3.672,0,0
80,20,0,True,0,-3.495,0,0
90,20,0,True,0,-3.273,0,0
100,20,0,True,0,-3.029,0,0
110,20,0,True,0,-2.724,0,0
120,20,0,True,0,-2.353,0,0
130,20,0,True,0,-1.961,0,0
140,20,0,True,0,-1.461,0,0
150,20,0,True,0,-0.909,0,0
160,20,0,True,0,-0.267,0,0
170,20,0,True,0,0.466,0,0
180,20,0,True,0,1.3,0,0
190,20,0,True,0,2.264,0,0
200,20,0,True,0,3.36,0,0
210,20,0,True,0,4.59,0,0
220,20,0,True,0,6.011,0,0
230,20,0,True,0,7.65,0,0
240,20,0,True,0,9.462,0,0
250,20,0,True,0,11.552,0,0
260,20,0,True,0,13.949,0,0
270,20,0,True,0,16.634,0,0
280,20,0,True,0,19.741,0,0
290,20,0,True,0,23.314,0,0
300,20,0,True,0,27.392,0,0
310,20,0,True,0,32.07,0,0
320,20,0,True,0,37.475,0,0
330,20,0,True,0,43.743,0,0
340,20,0,True,0,50.971,0,0
350,20,0,True,0,59.491,0,0
360,20,0,True,0,69.401,0,0
370,20,0,True,0,81.018,0,0
380,20,0,True,0,94.622,0,0
390,20,0,True,0,110.633,0,0
400,20,0,True,0,129.409,0,0
410,20,0,True,0,151.529,0,0
0,30,0,True,0,-4.316,0,0
10,30,0,True,0,-4.292,0,0
20,30,0,True,0,-4.244,0,0
30,30,0,True,0,-4.204,0,0
40,30,0,True,0,-4.11,0,0
50,30,0,True,0,-4.015,0,0
60,30,0,True,0,-3.899,0,0
70,30,0,True,0,-3.748,0,0
80,30,0,True,0,-3.562,0,0
90,30,0,True,0,-3.337,0,0
100,30,0,True,0,-3.07,0,0
110,30,0,True,0,-2.755,0,0
120,30,0,True,0,-2.388,0,0
130,30,0,True,0,-1.97,0,0
140,30,0,True,0,-1.506,0,0
150,30,0,True,0,-0.945,0,0
160,30,0,True,0,-0.271,0,0
170,30,0,True,0,0.487,0,0
180,30,0,True,0,1.333,0,0
190,30,0,True,0,2.284,0,0
200,30,0,True,0,3.429,0,0
210,30,0,True,0,4.69,0,0
220,30,0,True,0,6.144,0,0
230,30,0,True,0,7.803,0,0
240,30,0,True,0,9.664,0,0
250,30,0,True,0,11.792,0,0
260,30,0,True,0,14.218,0,0
270,30,0,True,0,16.948,0,0
280,30,0,True,0,20.211,0,0
290,30,0,True,0,23.76,0,0
300,30,0,True,0,27.908,0,0
310,30,0,True,0,32.657,0,0
320,30,0,True,0,38.151,0,0
330,30,0,True,0,44.64,0,0
340,30,0,True,0,51.867,0,0
350,30,0,True,0,60.457,0,0
360,30,0,True,0,70.457,0,0
370,30,0,True,0,82.162,0,0
380,30,0,True,0,95.834,0,0
390,30,0,True,0,111.834,0,0
400,30,0,True,0,130.577,0,0
410,30,0,True,0,152.474,0,0
0,40,0,True,0,-4.428,0,0
10,40,0,True,0,-4.395,0,0
20,40,0,True,0,-4.35,0,0
30,40,0,True,0,-4.292,0,0
40,40,0,True,0,-4.211,0,0
50,40,0,True,0,-4.109,0,0
60,40,0,True,0,-3.983,0,0
70,40,0,True,0,-3.829,0,0
80,40,0,True,0,-3.637,0,0
90,40,0,True,0,-3.41,0,0
100,40,0,True,0,-3.138,0,0
110,40,0,True,0,-2.82,0,0
120,40,0,True,0,-2.445,0,0
130,40,0,True,0,-2.022,0,0
140,40,0,True,0,-1.523,0,0
150,40,0,True,0,-0.948,0,0
160,40,0,True,0,-0.29,0,0
170,40,0,True,0,0.477,0,0
180,40,0,True,0,1.34,0,0
190,40,0,True,0,2.313,0,0
200,40,0,True,0,3.453,0,0
210,40,0,True,0,4.757,0,0
220,40,0,True,0,6.235,0,0
230,40,0,True,0,7.913,0,0
240,40,0,True,0,9.809,0,0
250,40,0,True,0,11.969,0,0
260,40,0,True,0,14.425,0,0
270,40,0,True,0,17.23,0,0
280,40,0,True,0,20.449,0,0
290,40,0,True,0,24.094,0,0
300,40,0,True,0,28.305,0,0
310,40,0,True,0,33.106,0,0
320,40,0,True,0,38.694,0,0
330,40,0,True,0,45.124,0,0
340,40,0,True,0,52.559,0,0
350,40,0,True,0,61.2,0,0
360,40,0,True,0,71.25,0,0
370,40,0,True,0,82.999,0,0
380,40,0,True,0,96.688,0,0
390,40,0,True,0,112.664,0,0
400,40,0,True,0,131.288,0,0
410,40,0,True,0,152.974,0,0
0,50,0,True,0,-4.535,0,0
10,50,0,True,0,-4.514,0,0
20,50,0,True,0,-4.447,0,0
30,50,0,True,0,-4.385,0,0
40,50,0,True,0,-4.3,0,0
50,50,0,True,0,-4.196,0,0
60,50,0,True,0,-4.076,0,0
70,50,0,True,0,-3.915,0,0
80,50,0,True,0,-3.724,0,0
90,50,0,True,0,-3.51,0,0
100,50,0,True,0,-3.216,0,0
110,50,0,True,0,-2.902,0,0
120,50,0,True,0,-2.511,0,0
130,50,0,True,0,-2.075,0,0
140,50,0,True,0,-1.576,0,0
150,50,0,True,0,-0.592,0,0
160,50,0,True,0,-0.327,0,0
170,50,0,True,0,0.431,0,0
180,50,0,True,0,1.329,0,0
190,50,0,True,0,2.335,0,0
200,50,0,True,0,3.48,0,0
210,50,0,True,0,4.788,0,0
220,50,0,True,0,6.283,0,0
230,50,0,True,0,7.968,0,0
240,50,0,True,0,9.889,0,0
250,50,0,True,0,12.091,0,0
260,50,0,True,0,14.603,0,0
270,50,0,True,0,17.412,0,0
280,50,0,True,0,20.687,0,0
290,50,0,True,0,24.375,0,0
300,50,0,True,0,28.648,0,0
310,50,0,True,0,33.52,0,0
320,50,0,True,0,39.136,0,0
330,50,0,True,0,45.595,0,0
340,50,0,True,0,53.114,0,0
350,50,0,True,0,61.767,0,0
360,50,0,True,0,71.938,0,0
370,50,0,True,0,83.645,0,0
380,50,0,True,0,97.295,0,0
390,50,0,True,0,113.279,0,0
400,50,0,True,0,131.895,0,0
410,50,0,True,0,153.278,0,0
0,60,0,True,0,-4.637,0,0
10,60,0,True,0,-4.602,0,0
20,60,0,True,0,-4.552,0,0
30,60,0,True,0,-4.485,0,0
40,60,0,True,0,-4.398,0,0
50,60,0,True,0,-4.292,0,0
60,60,0,True,0,-4.161,0,0
70,60,0,True,0,-4.014,0,0
80,60,0,True,0,-3.817,0,0
90,60,0,True,0,-3.582,0,0
100,60,0,True,0,-3.293,0,0
110,60,0,True,0,-2.962,0,0
120,60,0,True,0,-2.227,0,0
130,60,0,True,0,-2.146,0,0
140,60,0,True,0,-1.63,0,0
150,60,0,True,0,-1.035,0,0
160,60,0,True,0,-0.364,0,0
170,60,0,True,0,0.42,0,0
180,60,0,True,0,1.672,0,0
190,60,0,True,0,2.314,0,0
200,60,0,True,0,3.479,0,0
210,60,0,True,0,4.803,0,0
220,60,0,True,0,6.297,0,0
230,60,0,True,0,8.035,0,0
240,60,0,True,0,9.958,0,0
250,60,0,True,0,12.179,0,0
260,60,0,True,0,14.711,0,0
270,60,0,True,0,17.576,0,0
280,60,0,True,0,20.854,0,0
290,60,0,True,0,24.569,0,0
300,60,0,True,0,28.895,0,0
310,60,0,True,0,33.797,0,0
320,60,0,True,0,39.446,0,0
330,60,0,True,0,46.277,0,0
340,60,0,True,0,53.496,0,0
350,60,0,True,0,62.149,0,0
360,60,0,True,0,72.339,0,0
370,60,0,True,0,84.046,0,0
380,60,0,True,0,97.721,0,0
390,60,0,True,0,113.594,0,0
400,60,0,True,0,131.982,0,0
410,60,0,True,0,153.331,0,0
0,70,0,True,0,-4.735,0,0
10,70,0,True,0,-4.698,0,0
20,70,0,True,0,-4.642,0,0
30,70,0,True,0,-4.58,0,0
40,70,0,True,0,-4.488,0,0
50,70,0,True,0,-4.393,0,0
60,70,0,True,0,-4.264,0,0
70,70,0,True,0,-4.083,0,0
80,70,0,True,0,-3.908,0,0
90,70,0,True,0,-3.652,0,0
100,70,0,True,0,-3.37,0,0
110,70,0,True,0,-3.032,0,0
120,70,0,True,0,-2.65,0,0
130,70,0,True,0,-2.205,0,0
140,70,0,True,0,-1.696,0,0
150,70,0,True,0,-1.103,0,0
160,70,0,True,0,-0.419,0,0
170,70,0,True,0,0.358,0,0
180,70,0,True,0,1.269,0,0
190,70,0,True,0,2.293,0,0
200,70,0,True,0,3.462,0,0
210,70,0,True,0,4.792,0,0
220,70,0,True,0,6.307,0,0
230,70,0,True,0,8.047,0,0
240,70,0,True,0,10.008,0,0
250,70,0,True,0,12.235,0,0
260,70,0,True,0,14.787,0,0
270,70,0,True,0,17.667,0,0
280,70,0,True,0,20.975,0,0
290,70,0,True,0,24.735,0,0
300,70,0,True,0,29.052,0,0
310,70,0,True,0,33.984,0,0
320,70,0,True,0,39.656,0,0
330,70,0,True,0,46.193,0,0
340,70,0,True,0,53.75,0,0
350,70,0,True,0,62.455,0,0
360,70,0,True,0,72.595,0,0
370,70,0,True,0,84.329,0,0
380,70,0,True,0,97.931,0,0
390,70,0,True,0,113.711,0,0
400,70,0,True,0,131.98,0,0
410,70,0,True,0,153.185,0,0
0,80,0,True,0,-4.866,0,0
10,80,0,True,0,-4.82,0,0
20,80,0,True,0,-4.769,0,0
30,80,0,True,0,-4.694,0,0
40,80,0,True,0,-4.622,0,0
50,80,0,True,0,-4.514,0,0
60,80,0,True,0,-4.38,0,0
70,80,0,True,0,-4.211,0,0
80,80,0,True,0,-3.996,0,0
90,80,0,True,0,-3.754,0,0
100,80,0,True,0,-3.469,0,0
110,80,0,True,0,-3.135,0,0
120,80,0,True,0,-2.746,0,0
130,80,0,True,0,-2.299,0,0
140,80,0,True,0,-1.778,0,0
150,80,0,True,0,-1.184,0,0
160,80,0,True,0,-0.497,0,0
170,80,0,True,0,0.296,0,0
180,80,0,True,0,1.206,0,0
190,80,0,True,0,2.225,0,0
200,80,0,True,0,3.409,0,0
210,80,0,True,0,4.746,0,0
220,80,0,True,0,6.286,0,0
230,80,0,True,0,8.026,0,0
240,80,0,True,0,9.998,0,0
250,80,0,True,0,12.235,0,0
260,80,0,True,0,14.794,0,0
270,80,0,True,0,17.705,0,0
280,80,0,True,0,21.024,0,0
290,80,0,True,0,24.803,0,0
300,80,0,True,0,29.129,0,0
310,80,0,True,0,34.076,0,0
320,80,0,True,0,39.762,0,0
330,80,0,True,0,46.325,0,0
340,80,0,True,0,53.876,0,0
350,80,0,True,0,62.596,0,0
360,80,0,True,0,72.704,0,0
370,80,0,True,0,84.411,0,0
380,80,0,True,0,97.97,0,0
390,80,0,True,0,113.671,0,0
400,80,0,True,0,131.881,0,0
410,80,0,True,0,152.945,0,0
0,90,0,True,0,-4.992,0,0
10,90,0,True,0,-4.948,0,0
20,90,0,True,0,-4.887,0,0
30,90,0,True,0,-4.819,0,0
40,90,0,True,0,-4.726,0,0
50,90,0,True,0,-4.618,0,0
60,90,0,True,0,-4.473,0,0
70,90,0,True,0,-4.316,0,0
80,90,0,True,0,-4.119,0,0
90,90,0,True,0,-3.869,0,0
100,90,0,True,0,-3.58,0,0
110,90,0,True,0,-3.237,0,0
120,90,0,True,0,-2.847,0,0
130,90,0,True,0,-2.407,0,0
140,90,0,True,0,-1.879,0,0
150,90,0,True,0,-1.29,0,0
160,90,0,True,0,-0.588,0,0
170,90,0,True,0,0.215,0,0
180,90,0,True,0,1.12,0,0
190,90,0,True,0,2.162,0,0
200,90,0,True,0,3.343,0,0
210,90,0,True,0,4.686,0,0
220,90,0,True,0,6.217,0,0
230,90,0,True,0,7.975,0,0
240,90,0,True,0,9.963,0,0
250,90,0,True,0,12.203,0,0
260,90,0,True,0,14.769,0,0
270,90,0,True,0,17.689,0,0
280,90,0,True,0,21.015,0,0
290,90,0,True,0,24.806,0,0
300,90,0,True,0,29.153,0,0
310,90,0,True,0,34.114,0,0
320,90,0,True,0,39.777,0,0
330,90,0,True,0,46.344,0,0
340,90,0,True,0,53.914,0,0
350,90,0,True,0,62.608,0,0
360,90,0,True,0,72.7,0,0
370,90,0,True,0,84.347,0,0
380,90,0,True,0,97.911,0,0
390,90,0,True,0,113.513,0,0
400,90,0,True,0,131.693,0,0
410,90,0,True,0,152.826,0,0
0,100,0,True,0,-4.996,0,0
10,100,0,True,0,-5.051,0,0
20,100,0,True,0,-5.014,0,0
30,100,0,True,0,-4.952,0,0
40,100,0,True,0,-4.861,0,0
50,100,0,True,0,-4.732,0,0
60,100,0,True,0,-4.602,0,0
70,100,0,True,0,-4.433,0,0
80,100,0,True,0,-4.233,0,0
90,100,0,True,0,-4.007,0,0
100,100,0,True,0,-3.7,0,0
110,100,0,True,0,-3.357,0,0
120,100,0,True,0,-2.964,0,0
130,100,0,True,0,-2.53,0,0
140,100,0,True,0,-1.998,0,0
150,100,0,True,0,-1.392,0,0
160,100,0,True,0,-0.702,0,0
170,100,0,True,0,0.101,0,0
180,100,0,True,0,0.988,0,0
190,100,0,True,0,2.05,0,0
200,100,0,True,0,3.241,0,0
210,100,0,True,0,4.591,0,0
220,100,0,True,0,6.115,0,0
230,100,0,True,0,7.887,0,0
240,100,0,True,0,9.849,0,0
250,100,0,True,0,12.118,0,0
260,100,0,True,0,14.686,0,0
270,100,0,True,0,17.611,0,0
280,100,0,True,0,20.939,0,0
290,100,0,True,0,24.73,0,0
300,100,0,True,0,29.065,0,0
310,100,0,True,0,34.045,0,0
320,100,0,True,0,39.72,0,0
330,100,0,True,0,46.287,0,0
340,100,0,True,0,53.818,0,0
350,100,0,True,0,62.522,0,0
360,100,0,True,0,72.565,0,0
370,100,0,True,0,84.189,0,0
380,100,0,True,0,97.713,0,0
390,100,0,True,0,113.243,0,0
400,100,0,True,0,131.36,0,0
410,100,0,True,0,152.174,0,0
0,110,0,True,0,-5.248,0,0
10,110,0,True,0,-5.213,0,0
20,110,0,True,0,-5.141,0,0
30,110,0,True,0,-5.068,0,0
40,110,0,True,0,-4.991,0,0
50,110,0,True,0,-4.864,0,0
60,110,0,True,0,-4.725,0,0
70,110,0,True,0,-4.557,0,0
80,110,0,True,0,-4.361,0,0
90,110,0,True,0,-4.107,0,0
100,110,0,True,0,-3.828,0,0
110,110,0,True,0,-3.476,0,0
120,110,0,True,0,-3.08,0,0
130,110,0,True,0,-2.628,0,0
140,110,0,True,0,-2.111,0,0
150,110,0,True,0,-1.506,0,0
160,110,0,True,0,-0.82,0,0
170,110,0,True,0,-0.014,0,0
180,110,0,True,0,0.893,0,0
190,110,0,True,0,1.939,0,0
200,110,0,True,0,3.104,0,0
210,110,0,True,0,4.479,0,0
220,110,0,True,0,6.018,0,0
230,110,0,True,0,7.773,0,0
240,110,0,True,0,9.753,0,0
250,110,0,True,0,11.985,0,0
260,110,0,True,0,14.581,0,0
270,110,0,True,0,17.501,0,0
280,110,0,True,0,20.837,0,0
290,110,0,True,0,24.617,0,0
300,110,0,True,0,28.967,0,0
310,110,0,True,0,33.92,0,0
320,110,0,True,0,39.59,0,0
330,110,0,True,0,46.141,0,0
340,110,0,True,0,53.685,0,0
350,110,0,True,0,62.768,0,0
360,110,0,True,0,72.352,0,0
370,110,0,True,0,83.954,0,0
380,110,0,True,0,97.416,0,0
390,110,0,True,0,112.913,0,0
400,110,0,True,0,130.957,0,0
410,110,0,True,0,151.675,0,0
0,120,0,True,0,-5.372,0,0
10,120,0,True,0,-5.308,0,0
20,120,0,True,0,-5.273,0,0
30,120,0,True,0,-5.204,0,0
40,120,0,True,0,-5.127,0,0
50,120,0,True,0,-4.991,0,0
60,120,0,True,0,-4.856,0,0
70,120,0,True,0,-4.687,0,0
80,120,0,True,0,-4.51,0,0
90,120,0,True,0,-4.236,0,0
100,120,0,True,0,-3.956,0,0
110,120,0,True,0,-3.637,0,0
120,120,0,True,0,-3.225,0,0
130,120,0,True,0,-2.771,0,0
140,120,0,True,0,-2.248,0,0
150,120,0,True,0,-1.643,0,0
160,120,0,True,0,-0.95,0,0
170,120,0,True,0,-0.173,0,0
180,120,0,True,0,0.756,0,0
190,120,0,True,0,1.796,0,0
200,120,0,True,0,2.986,0,0
