#------------------------------------
2025/01/16 11:44:31  start
2025/01/17 03:09:32  end
x, y, z, status, B, Bx, By, Bz   1 Measure/1point
Area : X410 Y275 Z80 I10 T10962 -Push_Push_Push -Absolute A1
#------------------------------------
0,0,0,True,0,84.653,0,0
10,0,0,True,0,80.802,0,0
20,0,0,True,0,77.436,0,0
30,0,0,True,0,77.352,0,0
40,0,0,True,0,82.99,0,0
50,0,0,True,0,91.662,0,0
60,0,0,True,0,101.917,0,0
70,0,0,True,0,109.697,0,0
80,0,0,True,0,115.731,0,0
90,0,0,True,0,119.628,0,0
100,0,0,True,0,121.942,0,0
110,0,0,True,0,122.462,0,0
120,0,0,True,0,122.225,0,0
130,0,0,True,0,121.796,0,0
140,0,0,True,0,121.893,0,0
150,0,0,True,0,123.021,0,0
160,0,0,True,0,124.239,0,0
170,0,0,True,0,125.623,0,0
180,0,0,True,0,126.086,0,0
190,0,0,True,0,126.621,0,0
200,0,0,True,0,125.433,0,0
210,0,0,True,0,124.356,0,0
220,0,0,True,0,122.928,0,0
230,0,0,True,0,122.521,0,0
240,0,0,True,0,122.306,0,0
250,0,0,True,0,122.671,0,0
260,0,0,True,0,122.413,0,0
270,0,0,True,0,121.965,0,0
280,0,0,True,0,120.853,0,0
290,0,0,True,0,119.805,0,0
300,0,0,True,0,118.769,0,0
310,0,0,True,0,117.336,0,0
320,0,0,True,0,115.914,0,0
330,0,0,True,0,114.012,0,0
340,0,0,True,0,112.103,0,0
350,0,0,True,0,108.89,0,0
360,0,0,True,0,104.422,0,0
370,0,0,True,0,98.163,0,0
380,0,0,True,0,89.609,0,0
390,0,0,True,0,78.245,0,0
400,0,0,True,0,65.311,0,0
410,0,0,True,0,51.829,0,0
0,10,0,True,0,75.141,0,0
10,10,0,True,0,72.279,0,0
20,10,0,True,0,68.979,0,0
30,10,0,True,0,66.734,0,0
40,10,0,True,0,67.255,0,0
50,10,0,True,0,69.788,0,0
60,10,0,True,0,73.966,0,0
70,10,0,True,0,77.995,0,0
80,10,0,True,0,81.436,0,0
90,10,0,True,0,83.991,0,0
100,10,0,True,0,85.773,0,0
110,10,0,True,0,86.575,0,0
120,10,0,True,0,86.953,0,0
130,10,0,True,0,87.115,0,0
140,10,0,True,0,87.363,0,0
150,10,0,True,0,88.305,0,0
160,10,0,True,0,89.002,0,0
170,10,0,True,0,90.032,0,0
180,10,0,True,0,90.456,0,0
190,10,0,True,0,90.921,0,0
200,10,0,True,0,90.561,0,0
210,10,0,True,0,90.29,0,0
220,10,0,True,0,89.773,0,0
230,10,0,True,0,89.766,0,0
240,10,0,True,0,89.748,0,0
250,10,0,True,0,89.936,0,0
260,10,0,True,0,89.912,0,0
270,10,0,True,0,89.873,0,0
280,10,0,True,0,89.601,0,0
290,10,0,True,0,89.084,0,0
300,10,0,True,0,88.622,0,0
310,10,0,True,0,87.864,0,0
320,10,0,True,0,87.003,0,0
330,10,0,True,0,85.812,0,0
340,10,0,True,0,84.386,0,0
350,10,0,True,0,82.09,0,0
360,10,0,True,0,79.141,0,0
370,10,0,True,0,74.695,0,0
380,10,0,True,0,69.243,0,0
390,10,0,True,0,62.098,0,0
400,10,0,True,0,54.447,0,0
410,10,0,True,0,46.861,0,0
0,20,0,True,0,69.492,0,0
10,20,0,True,0,68.256,0,0
20,20,0,True,0,66.623,0,0
30,20,0,True,0,65.084,0,0
40,20,0,True,0,64.406,0,0
50,20,0,True,0,64.736,0,0
60,20,0,True,0,65.932,0,0
70,20,0,True,0,67.496,0,0
80,20,0,True,0,69.067,0,0
90,20,0,True,0,70.374,0,0
100,20,0,True,0,71.325,0,0
110,20,0,True,0,71.966,0,0
120,20,0,True,0,72.26,0,0
130,20,0,True,0,72.61,0,0
140,20,0,True,0,72.905,0,0
150,20,0,True,0,73.539,0,0
160,20,0,True,0,74.061,0,0
170,20,0,True,0,74.742,0,0
180,20,0,True,0,75.098,0,0
190,20,0,True,0,75.466,0,0
200,20,0,True,0,75.461,0,0
210,20,0,True,0,75.468,0,0
220,20,0,True,0,75.36,0,0
230,20,0,True,0,75.368,0,0
240,20,0,True,0,75.491,0,0
250,20,0,True,0,75.668,0,0
260,20,0,True,0,75.746,0,0
270,20,0,True,0,75.788,0,0
280,20,0,True,0,75.787,0,0
290,20,0,True,0,75.521,0,0
300,20,0,True,0,75.323,0,0
310,20,0,True,0,74.835,0,0
320,20,0,True,0,74.325,0,0
330,20,0,True,0,73.519,0,0
340,20,0,True,0,72.551,0,0
350,20,0,True,0,70.968,0,0
360,20,0,True,0,68.916,0,0
370,20,0,True,0,65.972,0,0
380,20,0,True,0,62.388,0,0
390,20,0,True,0,57.933,0,0
400,20,0,True,0,53.258,0,0
410,20,0,True,0,48.515,0,0
0,30,0,True,0,65.92,0,0
10,30,0,True,0,66.172,0,0
20,30,0,True,0,65.987,0,0
30,30,0,True,0,65.52,0,0
40,30,0,True,0,64.892,0,0
50,30,0,True,0,64.447,0,0
60,30,0,True,0,64.336,0,0
70,30,0,True,0,64.509,0,0
80,30,0,True,0,64.933,0,0
