#------------------------------------
2025/01/09 18:32:31  start
2025/01/10 09:57:05  end
x, y, z, status, B, Bx, By, Bz   1 Measure/1point
Area : X410 Y278 Z80 I10 T10962 -Push_Push_Push -Absolute A1
#------------------------------------
0,0,0,True,0,-5.363,0,0
10,0,0,True,0,-5.18,0,0
20,0,0,True,0,-4.956,0,0
30,0,0,True,0,-4.684,0,0
40,0,0,True,0,-4.359,0,0
50,0,0,True,0,-3.973,0,0
60,0,0,True,0,-3.528,0,0
70,0,0,True,0,-3.012,0,0
80,0,0,True,0,-2.403,0,0
90,0,0,True,0,-1.688,0,0
100,0,0,True,0,-0.898,0,0
110,0,0,True,0,0.04,0,0
120,0,0,True,0,1.098,0,0
130,0,0,True,0,2.316,0,0
140,0,0,True,0,3.708,0,0
150,0,0,True,0,5.307,0,0
160,0,0,True,0,7.143,0,0
170,0,0,True,0,9.256,0,0
180,0,0,True,0,11.688,0,0
190,0,0,True,0,14.515,0,0
200,0,0,True,0,17.742,0,0
210,0,0,True,0,21.551,0,0
220,0,0,True,0,25.94,0,0
230,0,0,True,0,31.092,0,0
240,0,0,True,0,37.113,0,0
250,0,0,True,0,44.21,0,0
260,0,0,True,0,52.566,0,0
270,0,0,True,0,62.536,0,0
280,0,0,True,0,74.33,0,0
290,0,0,True,0,88.305,0,0
300,0,0,True,0,104.855,0,0
310,0,0,True,0,124.244,0,0
320,0,0,True,0,146.675,0,0
330,0,0,True,0,171.506,0,0
340,0,0,True,0,197.982,0,0
350,0,0,True,0,222.819,0,0
360,0,0,True,0,241.896,0,0
370,0,0,True,0,248.347,0,0
380,0,0,True,0,236.925,0,0
390,0,0,True,0,205.519,0,0
400,0,0,True,0,159.901,0,0
410,0,0,True,0,107.631,0,0
0,10,0,True,0,-5.419,0,0
10,10,0,True,0,-5.224,0,0
20,10,0,True,0,-4.997,0,0
30,10,0,True,0,-4.717,0,0
40,10,0,True,0,-4.388,0,0
50,10,0,True,0,-3.998,0,0
60,10,0,True,0,-3.537,0,0
70,10,0,True,0,-3.008,0,0
80,10,0,True,0,-2.385,0,0
90,10,0,True,0,-1.659,0,0
100,10,0,True,0,-0.837,0,0
110,10,0,True,0,0.122,0,0
120,10,0,True,0,1.211,0,0
130,10,0,True,0,2.459,0,0
140,10,0,True,0,3.888,0,0
150,10,0,True,0,5.526,0,0
160,10,0,True,0,7.418,0,0
170,10,0,True,0,9.579,0,0
180,10,0,True,0,12.088,0,0
190,10,0,True,0,14.98,0,0
200,10,0,True,0,18.318,0,0
210,10,0,True,0,22.207,0,0
220,10,0,True,0,26.714,0,0
230,10,0,True,0,31.984,0,0
240,10,0,True,0,38.139,0,0
250,10,0,True,0,45.38,0,0
260,10,0,True,0,53.909,0,0
270,10,0,True,0,63.997,0,0
280,10,0,True,0,75.934,0,0
290,10,0,True,0,90.009,0,0
300,10,0,True,0,106.591,0,0
310,10,0,True,0,125.825,0,0
320,10,0,True,0,147.976,0,0
330,10,0,True,0,172.194,0,0
340,10,0,True,0,197.818,0,0
350,10,0,True,0,221.984,0,0
360,10,0,True,0,240.892,0,0
370,10,0,True,0,248.92,0,0
380,10,0,True,0,240.957,0,0
390,10,0,True,0,214.037,0,0
400,10,0,True,0,171.5,0,0
410,10,0,True,0,120.727,0,0
0,20,0,True,0,-5.483,0,0
10,20,0,True,0,-5.289,0,0
20,20,0,True,0,-5.051,0,0
30,20,0,True,0,-4.763,0,0
40,20,0,True,0,-4.426,0,0
50,20,0,True,0,-4.041,0,0
60,20,0,True,0,-3.564,0,0
70,20,0,True,0,-3.023,0,0
80,20,0,True,0,-2.382,0,0
90,20,0,True,0,-1.644,0,0
100,20,0,True,0,-0.798,0,0
110,20,0,True,0,0.168,0,0
120,20,0,True,0,1.277,0,0
130,20,0,True,0,2.559,0,0
140,20,0,True,0,4.021,0,0
150,20,0,True,0,5.69,0,0
160,20,0,True,0,7.624,0,0
170,20,0,True,0,9.835,0,0
180,20,0,True,0,12.393,0,0
190,20,0,True,0,15.353,0,0
200,20,0,True,0,18.754,0,0
210,20,0,True,0,22.726,0,0
220,20,0,True,0,27.319,0,0
230,20,0,True,0,32.672,0,0
240,20,0,True,0,38.924,0,0
250,20,0,True,0,46.281,0,0
260,20,0,True,0,54.881,0,0
270,20,0,True,0,65.086,0,0
280,20,0,True,0,77.026,0,0
290,20,0,True,0,91.134,0,0
300,20,0,True,0,107.522,0,0
310,20,0,True,0,126.609,0,0
320,20,0,True,0,148.225,0,0
330,20,0,True,0,171.936,0,0
340,20,0,True,0,196.675,0,0
350,20,0,True,0,220.111,0,0
360,20,0,True,0,238.35,0,0
370,20,0,True,0,246.508,0,0
380,20,0,True,0,239.507,0,0
390,20,0,True,0,214.555,0,0
400,20,0,True,0,174.211,0,0
410,20,0,True,0,125.208,0,0
0,30,0,True,0,-5.556,0,0
10,30,0,True,0,-5.353,0,0
20,30,0,True,0,-5.11,0,0
30,30,0,True,0,-4.821,0,0
40,30,0,True,0,-4.48,0,0
50,30,0,True,0,-4.078,0,0
60,30,0,True,0,-3.6,0,0
70,30,0,True,0,-3.049,0,0
80,30,0,True,0,-2.398,0,0
90,30,0,True,0,-1.651,0,0
100,30,0,True,0,-0.787,0,0
110,30,0,True,0,0.202,0,0
120,30,0,True,0,1.334,0,0
130,30,0,True,0,2.638,0,0
140,30,0,True,0,4.131,0,0
150,30,0,True,0,5.831,0,0
160,30,0,True,0,7.804,0,0
170,30,0,True,0,10.062,0,0
180,30,0,True,0,12.656,0,0
190,30,0,True,0,15.683,0,0
200,30,0,True,0,19.122,0,0
210,30,0,True,0,23.168,0,0
220,30,0,True,0,27.843,0,0
230,30,0,True,0,33.275,0,0
240,30,0,True,0,39.575,0,0
250,30,0,True,0,47.002,0,0
260,30,0,True,0,55.656,0,0
270,30,0,True,0,65.888,0,0
280,30,0,True,0,77.83,0,0
290,30,0,True,0,91.876,0,0
300,30,0,True,0,108.1,0,0
310,30,0,True,0,126.869,0,0
320,30,0,True,0,148.126,0,0
330,30,0,True,0,171.225,0,0
340,30,0,True,0,195.259,0,0
350,30,0,True,0,217.961,0,0
360,30,0,True,0,235.622,0,0
370,30,0,True,0,243.606,0,0
380,30,0,True,0,237.087,0,0
390,30,0,True,0,212.974,0,0
400,30,0,True,0,173.991,0,0
410,30,0,True,0,126.196,0,0
0,40,0,True,0,-5.624,0,0
10,40,0,True,0,-5.43,0,0
20,40,0,True,0,-5.178,0,0
30,40,0,True,0,-4.893,0,0
40,40,0,True,0,-4.535,0,0
50,40,0,True,0,-4.126,0,0
60,40,0,True,0,-3.643,0,0
70,40,0,True,0,-3.084,0,0
80,40,0,True,0,-2.424,0,0
90,40,0,True,0,-1.665,0,0
100,40,0,True,0,-0.784,0,0
110,40,0,True,0,0.226,0,0
120,40,0,True,0,1.376,0,0
130,40,0,True,0,2.697,0,0
140,40,0,True,0,4.204,0,0
150,40,0,True,0,5.941,0,0
160,40,0,True,0,7.935,0,0
170,40,0,True,0,10.233,0,0
180,40,0,True,0,12.858,0,0
190,40,0,True,0,15.927,0,0
200,40,0,True,0,19.414,0,0
210,40,0,True,0,23.515,0,0
220,40,0,True,0,28.21,0,0
230,40,0,True,0,33.719,0,0
240,40,0,True,0,40.066,0,0
250,40,0,True,0,47.529,0,0
260,40,0,True,0,56.197,0,0
270,40,0,True,0,66.429,0,0
280,40,0,True,0,78.355,0,0
290,40,0,True,0,92.315,0,0
300,40,0,True,0,108.417,0,0
310,40,0,True,0,126.842,0,0
320,40,0,True,0,147.802,0,0
330,40,0,True,0,170.329,0,0
340,40,0,True,0,193.833,0,0
350,40,0,True,0,215.803,0,0
360,40,0,True,0,233.187,0,0
370,40,0,True,0,240.874,0,0
380,40,0,True,0,234.517,0,0
390,40,0,True,0,210.888,0,0
400,40,0,True,0,172.64,0,0
410,40,0,True,0,125.677,0,0
0,50,0,True,0,-5.718,0,0
10,50,0,True,0,-5.505,0,0
20,50,0,True,0,-5.262,0,0
30,50,0,True,0,-4.962,0,0
40,50,0,True,0,-4.607,0,0
50,50,0,True,0,-4.191,0,0
60,50,0,True,0,-3.7,0,0
70,50,0,True,0,-3.135,0,0
80,50,0,True,0,-2.463,0,0
90,50,0,True,0,-1.691,0,0
100,50,0,True,0,-0.807,0,0
110,50,0,True,0,0.213,0,0
120,50,0,True,0,1.376,0,0
130,50,0,True,0,2.72,0,0
140,50,0,True,0,4.247,0,0
150,50,0,True,0,6.002,0,0
160,50,0,True,0,8.013,0,0
170,50,0,True,0,10.334,0,0
180,50,0,True,0,12.983,0,0
190,50,0,True,0,16.093,0,0
200,50,0,True,0,19.618,0,0
210,50,0,True,0,23.749,0,0
220,50,0,True,0,28.477,0,0
230,50,0,True,0,34.015,0,0
240,50,0,True,0,40.41,0,0
250,50,0,True,0,47.877,0,0
260,50,0,True,0,56.574,0,0
270,50,0,True,0,66.754,0,0
280,50,0,True,0,78.635,0,0
290,50,0,True,0,92.463,0,0
300,50,0,True,0,108.391,0,0
310,50,0,True,0,126.561,0,0
320,50,0,True,0,147.181,0,0
330,50,0,True,0,169.373,0,0
340,50,0,True,0,192.402,0,0
350,50,0,True,0,213.879,0,0
360,50,0,True,0,230.912,0,0
370,50,0,True,0,238.419,0,0
380,50,0,True,0,232.08,0,0
390,50,0,True,0,208.735,0,0
400,50,0,True,0,170.953,0,0
410,50,0,True,0,124.526,0,0
0,60,0,True,0,-5.812,0,0
10,60,0,True,0,-5.599,0,0
20,60,0,True,0,-5.345,0,0
30,60,0,True,0,-5.05,0,0
40,60,0,True,0,-4.689,0,0
50,60,0,True,0,-4.264,0,0
60,60,0,True,0,-3.772,0,0
70,60,0,True,0,-3.199,0,0
80,60,0,True,0,-2.527,0,0
90,60,0,True,0,-1.748,0,0
100,60,0,True,0,-0.85,0,0
110,60,0,True,0,0.183,0,0
120,60,0,True,0,1.356,0,0
130,60,0,True,0,2.712,0,0
140,60,0,True,0,4.253,0,0
150,60,0,True,0,6.027,0,0
160,60,0,True,0,8.057,0,0
170,60,0,True,0,10.404,0,0
180,60,0,True,0,13.084,0,0
190,60,0,True,0,16.207,0,0
200,60,0,True,0,19.764,0,0
210,60,0,True,0,23.911,0,0
220,60,0,True,0,28.672,0,0
230,60,0,True,0,34.206,0,0
240,60,0,True,0,40.622,0,0
250,60,0,True,0,48.092,0,0
260,60,0,True,0,56.783,0,0
270,60,0,True,0,66.908,0,0
280,60,0,True,0,78.723,0,0
290,60,0,True,0,92.442,0,0
300,60,0,True,0,108.24,0,0
310,60,0,True,0,126.177,0,0
320,60,0,True,0,146.545,0,0
330,60,0,True,0,168.417,0,0
340,60,0,True,0,191.127,0,0
350,60,0,True,0,212.357,0,0
360,60,0,True,0,229.039,0,0
370,60,0,True,0,236.461,0,0
380,60,0,True,0,230.073,0,0
390,60,0,True,0,206.963,0,0
400,60,0,True,0,169.357,0,0
410,60,0,True,0,123.319,0,0
0,70,0,True,0,-5.912,0,0
10,70,0,True,0,-5.698,0,0
20,70,0,True,0,-5.439,0,0
30,70,0,True,0,-5.141,0,0
40,70,0,True,0,-4.775,0,0
50,70,0,True,0,-4.364,0,0
60,70,0,True,0,-3.866,0,0
70,70,0,True,0,-3.283,0,0
80,70,0,True,0,-2.595,0,0
90,70,0,True,0,-1.814,0,0
100,70,0,True,0,-0.911,0,0
110,70,0,True,0,0.129,0,0
120,70,0,True,0,1.317,0,0
130,70,0,True,0,2.675,0,0
140,70,0,True,0,4.237,0,0
150,70,0,True,0,6.011,0,0
160,70,0,True,0,8.057,0,0
170,70,0,True,0,10.424,0,0
180,70,0,True,0,13.119,0,0
190,70,0,True,0,16.256,0,0
200,70,0,True,0,19.838,0,0
210,70,0,True,0,23.981,0,0
220,70,0,True,0,28.762,0,0
230,70,0,True,0,34.295,0,0
240,70,0,True,0,40.711,0,0
250,70,0,True,0,48.148,0,0
260,70,0,True,0,56.848,0,0
270,70,0,True,0,66.928,0,0
280,70,0,True,0,78.659,0,0
290,70,0,True,0,92.264,0,0
300,70,0,True,0,107.93,0,0
310,70,0,True,0,125.814,0,0
320,70,0,True,0,145.833,0,0
330,70,0,True,0,167.512,0,0
340,70,0,True,0,189.909,0,0
350,70,0,True,0,211.009,0,0
360,70,0,True,0,227.389,0,0
370,70,0,True,0,234.68,0,0
380,70,0,True,0,228.296,0,0
390,70,0,True,0,205.287,0,0
400,70,0,True,0,167.857,0,0
410,70,0,True,0,122.09,0,0
0,80,0,True,0,-6.014,0,0
10,80,0,True,0,-5.805,0,0
20,80,0,True,0,-5.546,0,0
30,80,0,True,0,-5.241,0,0
40,80,0,True,0,-4.878,0,0
50,80,0,True,0,-4.45,0,0
60,80,0,True,0,-3.952,0,0
70,80,0,True,0,-3.371,0,0
80,80,0,True,0,-2.683,0,0
90,80,0,True,0,-1.9,0,0
100,80,0,True,0,-0.988,0,0
110,80,0,True,0,0.05,0,0
120,80,0,True,0,1.245,0,0
130,80,0,True,0,2.609,0,0
140,80,0,True,0,4.182,0,0
150,80,0,True,0,5.975,0,0
160,80,0,True,0,8.038,0,0
170,80,0,True,0,10.394,0,0
180,80,0,True,0,13.097,0,0
190,80,0,True,0,16.254,0,0
200,80,0,True,0,19.838,0,0
210,80,0,True,0,23.979,0,0
220,80,0,True,0,28.781,0,0
230,80,0,True,0,34.323,0,0
240,80,0,True,0,40.696,0,0
250,80,0,True,0,48.128,0,0
260,80,0,True,0,56.757,0,0
270,80,0,True,0,66.844,0,0
280,80,0,True,0,78.494,0,0
290,80,0,True,0,92.02,0,0
300,80,0,True,0,107.549,0,0
310,80,0,True,0,125.286,0,0
320,80,0,True,0,145.135,0,0
330,80,0,True,0,166.632,0,0
340,80,0,True,0,188.818,0,0
350,80,0,True,0,209.749,0,0
360,80,0,True,0,225.962,0,0
370,80,0,True,0,233.222,0,0
380,80,0,True,0,226.78,0,0
390,80,0,True,0,203.787,0,0
400,80,0,True,0,166.585,0,0
410,80,0,True,0,120.964,0,0
0,90,0,True,0,-6.13,0,0
10,90,0,True,0,-5.921,0,0
20,90,0,True,0,-5.663,0,0
30,90,0,True,0,-5.359,0,0
40,90,0,True,0,-4.996,0,0
50,90,0,True,0,-4.57,0,0
60,90,0,True,0,-4.064,0,0
70,90,0,True,0,-3.474,0,0
80,90,0,True,0,-2.789,0,0
90,90,0,True,0,-2.01,0,0
100,90,0,True,0,-1.093,0,0
110,90,0,True,0,-0.046,0,0
120,90,0,True,0,1.148,0,0
130,90,0,True,0,2.521,0,0
140,90,0,True,0,4.093,0,0
150,90,0,True,0,5.891,0,0
160,90,0,True,0,7.943,0,0
170,90,0,True,0,10.329,0,0
180,90,0,True,0,13.031,0,0
190,90,0,True,0,16.182,0,0
200,90,0,True,0,19.782,0,0
210,90,0,True,0,23.929,0,0
220,90,0,True,0,28.712,0,0
230,90,0,True,0,34.242,0,0
240,90,0,True,0,40.599,0,0
250,90,0,True,0,48.034,0,0
260,90,0,True,0,56.613,0,0
270,90,0,True,0,66.642,0,0
280,90,0,True,0,78.204,0,0
290,90,0,True,0,91.648,0,0
300,90,0,True,0,107.104,0,0
310,90,0,True,0,124.703,0,0
320,90,0,True,0,144.396,0,0
330,90,0,True,0,165.746,0,0
340,90,0,True,0,187.773,0,0
350,90,0,True,0,208.572,0,0
360,90,0,True,0,224.744,0,0
370,90,0,True,0,231.763,0,0
380,90,0,True,0,225.497,0,0
390,90,0,True,0,202.461,0,0
400,90,0,True,0,165.346,0,0
410,90,0,True,0,119.919,0,0
0,100,0,True,0,-6.26,0,0
10,100,0,True,0,-6.041,0,0
20,100,0,True,0,-5.786,0,0
30,100,0,True,0,-5.476,0,0
40,100,0,True,0,-5.12,0,0
50,100,0,True,0,-4.693,0,0
60,100,0,True,0,-4.183,0,0
70,100,0,True,0,-3.594,0,0
80,100,0,True,0,-2.913,0,0
90,100,0,True,0,-2.13,0,0
100,100,0,True,0,-1.216,0,0
110,100,0,True,0,-0.166,0,0
120,100,0,True,0,1.026,0,0
130,100,0,True,0,2.411,0,0
140,100,0,True,0,3.98,0,0
150,100,0,True,0,5.775,0,0
160,100,0,True,0,7.829,0,0
170,100,0,True,0,10.209,0,0
180,100,0,True,0,12.911,0,0
190,100,0,True,0,16.065,0,0
200,100,0,True,0,19.656,0,0
210,100,0,True,0,23.801,0,0
220,100,0,True,0,28.568,0,0
230,100,0,True,0,34.076,0,0
240,100,0,True,0,40.423,0,0
250,100,0,True,0,47.824,0,0
260,100,0,True,0,56.391,0,0
270,100,0,True,0,66.346,0,0
280,100,0,True,0,77.876,0,0
290,100,0,True,0,91.23,0,0
300,100,0,True,0,106.578,0,0
310,100,0,True,0,124.084,0,0
320,100,0,True,0,143.704,0,0
330,100,0,True,0,164.881,0,0
340,100,0,True,0,186.867,0,0
350,100,0,True,0,207.464,0,0
360,100,0,True,0,223.576,0,0
370,100,0,True,0,230.617,0,0
380,100,0,True,0,224.233,0,0
390,100,0,True,0,201.227,0,0
400,100,0,True,0,164.203,0,0
410,100,0,True,0,118.962,0,0
0,110,0,True,0,-6.388,0,0
10,110,0,True,0,-6.18,0,0
20,110,0,True,0,-5.92,0,0
30,110,0,True,0,-5.611,0,0
40,110,0,True,0,-5.248,0,0
50,110,0,True,0,-4.822,0,0
60,110,0,True,0,-4.319,0,0
70,110,0,True,0,-3.734,0,0
80,110,0,True,0,-3.051,0,0
90,110,0,True,0,-2.253,0,0
100,110,0,True,0,-1.345,0,0
110,110,0,True,0,-0.306,0,0
120,110,0,True,0,0.884,0,0
130,110,0,True,0,2.254,0,0
140,110,0,True,0,3.834,0,0
150,110,0,True,0,5.625,0,0
160,110,0,True,0,7.686,0,0
170,110,0,True,0,10.053,0,0
180,110,0,True,0,12.758,0,0
190,110,0,True,0,15.895,0,0
200,110,0,True,0,19.475,0,0
210,110,0,True,0,23.612,0,0
220,110,0,True,0,28.36,0,0
230,110,0,True,0,33.859,0,0
240,110,0,True,0,40.202,0,0
250,110,0,True,0,47.552,0,0
260,110,0,True,0,56.077,0,0
270,110,0,True,0,65.996,0,0
280,110,0,True,0,77.477,0,0
290,110,0,True,0,90.744,0,0
300,110,0,True,0,106.083,0,0
310,110,0,True,0,123.448,0,0
320,110,0,True,0,143.005,0,0
330,110,0,True,0,164.054,0,0
340,110,0,True,0,185.927,0,0
350,110,0,True,0,206.464,0,0
360,110,0,True,0,222.543,0,0
370,110,0,True,0,229.582,0,0
380,110,0,True,0,223.074,0,0
390,110,0,True,0,200.102,0,0
400,110,0,True,0,163.185,0,0
410,110,0,True,0,118.078,0,0
0,120,0,True,0,-6.526,0,0
10,120,0,True,0,-6.316,0,0
20,120,0,True,0,-6.058,0,0
30,120,0,True,0,-5.748,0,0
40,120,0,True,0,-5.392,0,0
50,120,0,True,0,-4.962,0,0
60,120,0,True,0,-4.46,0,0
70,120,0,True,0,-3.877,0,0
80,120,0,True,0,-3.209,0,0
90,120,0,True,0,-2.408,0,0
100,120,0,True,0,-1.504,0,0
110,120,0,True,0,-0.452,0,0
120,120,0,True,0,0.738,0,0
130,120,0,True,0,2.105,0,0
140,120,0,True,0,3.666,0,0
150,120,0,True,0,5.454,0,0
160,120,0,True,0,7.515,0,0
170,120,0,True,0,9.867,0,0
180,120,0,True,0,12.573,0,0
190,120,0,True,0,15.682,0,0
200,120,0,True,0,19.271,0,0
210,120,0,True,0,23.365,0,0
220,120,0,True,0,28.128,0,0
230,120,0,True,0,33.581,0,0
240,120,0,True,0,39.911,0,0
