#------------------------------------
2025/01/17 12:46:10  start
2025/01/18 04:11:04  end
x, y, z, status, B, Bx, By, Bz   1 Measure/1point
Area : X410 Y275 Z80 I10 T10962 -Push_Push_Push -Absolute A1
#------------------------------------
0,0,0,True,0,834.545,0,0
10,0,0,True,0,983.363,0,0
20,0,0,True,0,1143.295,0,0
30,0,0,True,0,1290.199,0,0
40,0,0,True,0,1402.941,0,0
50,0,0,True,0,1474.489,0,0
60,0,0,True,0,1514.759,0,0
70,0,0,True,0,1535.023,0,0
80,0,0,True,0,1544.744,0,0
90,0,0,True,0,1548.262,0,0
100,0,0,True,0,1549.087,0,0
110,0,0,True,0,1548.858,0,0
120,0,0,True,0,1547.757,0,0
130,0,0,True,0,1546.448,0,0
140,0,0,True,0,1545.371,0,0
150,0,0,True,0,1544.157,0,0
160,0,0,True,0,1542.801,0,0
170,0,0,True,0,1541.564,0,0
180,0,0,True,0,1540.086,0,0
190,0,0,True,0,1539.237,0,0
200,0,0,True,0,1537.657,0,0
210,0,0,True,0,1536.572,0,0
220,0,0,True,0,1534.985,0,0
230,0,0,True,0,1533.303,0,0
240,0,0,True,0,1531.316,0,0
250,0,0,True,0,1529.757,0,0
260,0,0,True,0,1527.825,0,0
270,0,0,True,0,1526.323,0,0
280,0,0,True,0,1524.597,0,0
290,0,0,True,0,1523.254,0,0
300,0,0,True,0,1521.816,0,0
310,0,0,True,0,1520.235,0,0
320,0,0,True,0,1518.781,0,0
330,0,0,True,0,1516.962,0,0
340,0,0,True,0,1514.726,0,0
350,0,0,True,0,1512.193,0,0
360,0,0,True,0,1508.182,0,0
370,0,0,True,0,1501.498,0,0
380,0,0,True,0,1490.321,0,0
390,0,0,True,0,1469.845,0,0
400,0,0,True,0,1433.923,0,0
410,0,0,True,0,1371.925,0,0
0,10,0,True,0,821.113,0,0
10,10,0,True,0,953.378,0,0
20,10,0,True,0,1091.693,0,0
30,10,0,True,0,1217.935,0,0
40,10,0,True,0,1316.456,0,0
50,10,0,True,0,1381.787,0,0
60,10,0,True,0,1420.809,0,0
70,10,0,True,0,1441.801,0,0
80,10,0,True,0,1452.79,0,0
90,10,0,True,0,1457.945,0,0
100,10,0,True,0,1460.296,0,0
110,10,0,True,0,1460.928,0,0
120,10,0,True,0,1461.118,0,0
130,10,0,True,0,1460.757,0,0
140,10,0,True,0,1460.433,0,0
150,10,0,True,0,1460.175,0,0
160,10,0,True,0,1459.758,0,0
170,10,0,True,0,1459.496,0,0
180,10,0,True,0,1458.925,0,0
190,10,0,True,0,1458.59,0,0
200,10,0,True,0,1457.767,0,0
210,10,0,True,0,1457.263,0,0
220,10,0,True,0,1456.415,0,0
230,10,0,True,0,1455.805,0,0
240,10,0,True,0,1454.854,0,0
250,10,0,True,0,1454.198,0,0
260,10,0,True,0,1453.256,0,0
270,10,0,True,0,1452.583,0,0
280,10,0,True,0,1451.78,0,0
290,10,0,True,0,1451.148,0,0
300,10,0,True,0,1450.313,0,0
310,10,0,True,0,1449.388,0,0
320,10,0,True,0,1448.409,0,0
330,10,0,True,0,1447.312,0,0
340,10,0,True,0,1445.75,0,0
350,10,0,True,0,1443.525,0,0
360,10,0,True,0,1439.909,0,0
370,10,0,True,0,1433.431,0,0
380,10,0,True,0,1422.416,0,0
390,10,0,True,0,1402.856,0,0
400,10,0,True,0,1368.994,0,0
410,10,0,True,0,1312.207,0,0
0,20,0,True,0,814.007,0,0
10,20,0,True,0,938.35,0,0
20,20,0,True,0,1067.262,0,0
30,20,0,True,0,1184.91,0,0
40,20,0,True,0,1277.122,0,0
50,20,0,True,0,1339.136,0,0
60,20,0,True,0,1376.914,0,0
70,20,0,True,0,1397.911,0,0
80,20,0,True,0,1409.257,0,0
90,20,0,True,0,1415.154,0,0
100,20,0,True,0,1418.069,0,0
110,20,0,True,0,1419.277,0,0
120,20,0,True,0,1419.846,0,0
130,20,0,True,0,1420.021,0,0
140,20,0,True,0,1420.153,0,0
150,20,0,True,0,1420.364,0,0
160,20,0,True,0,1420.487,0,0
170,20,0,True,0,1420.603,0,0
180,20,0,True,0,1420.486,0,0
190,20,0,True,0,1420.396,0,0
200,20,0,True,0,1420.058,0,0
210,20,0,True,0,1419.828,0,0
220,20,0,True,0,1419.413,0,0
230,20,0,True,0,1419.131,0,0
240,20,0,True,0,1418.689,0,0
250,20,0,True,0,1418.417,0,0
260,20,0,True,0,1417.986,0,0
270,20,0,True,0,1417.664,0,0
280,20,0,True,0,1417.316,0,0
290,20,0,True,0,1416.883,0,0
300,20,0,True,0,1416.454,0,0
310,20,0,True,0,1415.822,0,0
320,20,0,True,0,1415.137,0,0
330,20,0,True,0,1414.286,0,0
340,20,0,True,0,1413.11,0,0
350,20,0,True,0,1411.133,0,0
360,20,0,True,0,1407.784,0,0
370,20,0,True,0,1401.637,0,0
380,20,0,True,0,1390.957,0,0
390,20,0,True,0,1372.065,0,0
400,20,0,True,0,1339.77,0,0
410,20,0,True,0,1286.106,0,0
0,30,0,True,0,810.718,0,0
10,30,0,True,0,931.027,0,0
