#----------wrong file name. This is "TH" data-------------------
2024/12/24 13:18:11  start
2024/12/25 04:43:39  end
x, y, z, status, B, Bx, By, Bz   1 Measure/1point
Area : X410 Y278 Z80 I10 T10962 -Push_Push_Push -Absolute A1
#------------------------------------
0,0,0,True,0,-4.056,0,0
10,0,0,True,0,-4.037,0,0
20,0,0,True,0,-4.001,0,0
30,0,0,True,0,-3.958,0,0
40,0,0,True,0,-3.889,0,0
50,0,0,True,0,-3.809,0,0
60,0,0,True,0,-3.697,0,0
70,0,0,True,0,-3.565,0,0
80,0,0,True,0,-3.394,0,0
90,0,0,True,0,-3.189,0,0
100,0,0,True,0,-2.949,0,0
110,0,0,True,0,-2.653,0,0
120,0,0,True,0,-2.306,0,0
130,0,0,True,0,-1.917,0,0
140,0,0,True,0,-1.463,0,0
150,0,0,True,0,-0.912,0,0
160,0,0,True,0,-0.331,0,0
170,0,0,True,0,0.382,0,0
180,0,0,True,0,1.183,0,0
190,0,0,True,0,2.094,0,0
200,0,0,True,0,3.134,0,0
210,0,0,True,0,4.33,0,0
220,0,0,True,0,5.681,0,0
230,0,0,True,0,7.223,0,0
240,0,0,True,0,8.968,0,0
250,0,0,True,0,10.957,0,0
260,0,0,True,0,13.204,0,0
270,0,0,True,0,15.789,0,0
280,0,0,True,0,18.76,0,0
290,0,0,True,0,22.116,0,0
300,0,0,True,0,26.019,0,0
310,0,0,True,0,30.461,0,0
320,0,0,True,0,35.641,0,0
330,0,0,True,0,41.635,0,0
340,0,0,True,0,48.631,0,0
350,0,0,True,0,56.794,0,0
360,0,0,True,0,66.41,0,0
370,0,0,True,0,77.707,0,0
380,0,0,True,0,91.129,0,0
390,0,0,True,0,106.976,0,0
400,0,0,True,0,125.757,0,0
410,0,0,True,0,148.146,0,0
0,10,0,True,0,-4.114,0,0
10,10,0,True,0,-4.12,0,0
20,10,0,True,0,-4.086,0,0
30,10,0,True,0,-4.031,0,0
40,10,0,True,0,-3.957,0,0
50,10,0,True,0,-3.875,0,0
60,10,0,True,0,-3.755,0,0
70,10,0,True,0,-3.63,0,0
80,10,0,True,0,-3.446,0,0
90,10,0,True,0,-3.006,0,0
100,10,0,True,0,-2.96,0,0
110,10,0,True,0,-2.687,0,0
120,10,0,True,0,-2.323,0,0
130,10,0,True,0,-1.925,0,0
140,10,0,True,0,-1.474,0,0
150,10,0,True,0,-0.411,0,0
160,10,0,True,0,-0.281,0,0
170,10,0,True,0,0.415,0,0
180,10,0,True,0,1.731,0,0
190,10,0,True,0,2.187,0,0
200,10,0,True,0,3.241,0,0
210,10,0,True,0,4.461,0,0
220,10,0,True,0,5.85,0,0
230,10,0,True,0,7.43,0,0
240,10,0,True,0,9.216,0,0
250,10,0,True,0,11.256,0,0
260,10,0,True,0,13.601,0,0
270,10,0,True,0,16.352,0,0
280,10,0,True,0,19.289,0,0
290,10,0,True,0,22.716,0,0
300,10,0,True,0,26.712,0,0
310,10,0,True,0,31.279,0,0
320,10,0,True,0,36.586,0,0
330,10,0,True,0,42.714,0,0
340,10,0,True,0,49.848,0,0
350,10,0,True,0,58.214,0,0
360,10,0,True,0,68.049,0,0
370,10,0,True,0,79.512,0,0
380,10,0,True,0,93.132,0,0
390,10,0,True,0,109.102,0,0
400,10,0,True,0,127.995,0,0
410,10,0,True,0,150.341,0,0
0,20,0,True,0,-4.252,0,0
10,20,0,True,0,-4.221,0,0
20,20,0,True,0,-4.181,0,0
30,20,0,True,0,-4.126,0,0
40,20,0,True,0,-4.058,0,0
50,20,0,True,0,-3.937,0,0
60,20,0,True,0,-3.846,0,0
70,20,0,True,0,-3.701,0,0
80,20,0,True,0,-3.524,0,0
90,20,0,True,0,-3.3,0,0
100,20,0,True,0,-3.036,0,0
110,20,0,True,0,-2.733,0,0
120,20,0,True,0,-2.375,0,0
130,20,0,True,0,-1.966,0,0
140,20,0,True,0,-1.496,0,0
150,20,0,True,0,-0.936,0,0
160,20,0,True,0,-0.301,0,0
170,20,0,True,0,0.441,0,0
180,20,0,True,0,1.273,0,0
190,20,0,True,0,2.237,0,0
200,20,0,True,0,3.321,0,0
210,20,0,True,0,4.564,0,0
220,20,0,True,0,5.99,0,0
230,20,0,True,0,7.616,0,0
240,20,0,True,0,9.434,0,0
250,20,0,True,0,11.522,0,0
260,20,0,True,0,13.891,0,0
270,20,0,True,0,16.599,0,0
280,20,0,True,0,19.697,0,0
290,20,0,True,0,23.231,0,0
300,20,0,True,0,27.305,0,0
310,20,0,True,0,31.984,0,0
320,20,0,True,0,37.394,0,0
330,20,0,True,0,43.644,0,0
340,20,0,True,0,50.918,0,0
350,20,0,True,0,59.391,0,0
360,20,0,True,0,69.334,0,0
370,20,0,True,0,80.961,0,0
380,20,0,True,0,94.713,0,0
390,20,0,True,0,110.689,0,0
400,20,0,True,0,129.632,0,0
410,20,0,True,0,151.768,0,0
0,30,0,True,0,-4.334,0,0
10,30,0,True,0,-4.314,0,0
20,30,0,True,0,-4.273,0,0
30,30,0,True,0,-4.217,0,0
40,30,0,True,0,-4.113,0,0
50,30,0,True,0,-3.975,0,0
60,30,0,True,0,-3.918,0,0
70,30,0,True,0,-3.772,0,0
80,30,0,True,0,-3.593,0,0
90,30,0,True,0,-3.363,0,0
100,30,0,True,0,-3.103,0,0
110,30,0,True,0,-2.781,0,0
120,30,0,True,0,-2.418,0,0
130,30,0,True,0,-1.996,0,0
140,30,0,True,0,-1.524,0,0
150,30,0,True,0,-0.948,0,0
160,30,0,True,0,-0.308,0,0
170,30,0,True,0,0.445,0,0
180,30,0,True,0,1.636,0,0
190,30,0,True,0,2.364,0,0
200,30,0,True,0,3.376,0,0
210,30,0,True,0,4.653,0,0
220,30,0,True,0,6.099,0,0
230,30,0,True,0,7.751,0,0
240,30,0,True,0,9.607,0,0
250,30,0,True,0,11.741,0,0
260,30,0,True,0,14.147,0,0
270,30,0,True,0,16.904,0,0
280,30,0,True,0,20.067,0,0
290,30,0,True,0,23.651,0,0
300,30,0,True,0,27.824,0,0
310,30,0,True,0,32.99,0,0
320,30,0,True,0,38.071,0,0
330,30,0,True,0,44.393,0,0
340,30,0,True,0,51.785,0,0
350,30,0,True,0,60.353,0,0
360,30,0,True,0,70.412,0,0
370,30,0,True,0,82.134,0,0
380,30,0,True,0,95.891,0,0
390,30,0,True,0,111.846,0,0
400,30,0,True,0,130.704,0,0
410,30,0,True,0,152.63,0,0
0,40,0,True,0,-4.453,0,0
10,40,0,True,0,-4.418,0,0
20,40,0,True,0,-4.368,0,0
30,40,0,True,0,-4.31,0,0
40,40,0,True,0,-4.23,0,0
50,40,0,True,0,-4.128,0,0
60,40,0,True,0,-4.002,0,0
70,40,0,True,0,-3.854,0,0
80,40,0,True,0,-3.671,0,0
90,40,0,True,0,-3.443,0,0
100,40,0,True,0,-3.156,0,0
110,40,0,True,0,-2.845,0,0
120,40,0,True,0,-2.483,0,0
130,40,0,True,0,-1.587,0,0
140,40,0,True,0,-1.552,0,0
150,40,0,True,0,-0.989,0,0
160,40,0,True,0,-0.326,0,0
170,40,0,True,0,0.438,0,0
180,40,0,True,0,1.293,0,0
190,40,0,True,0,2.29,0,0
200,40,0,True,0,3.421,0,0
210,40,0,True,0,4.958,0,0
220,40,0,True,0,6.207,0,0
230,40,0,True,0,7.849,0,0
240,40,0,True,0,9.752,0,0
250,40,0,True,0,11.912,0,0
260,40,0,True,0,14.366,0,0
270,40,0,True,0,17.507,0,0
280,40,0,True,0,20.374,0,0
290,40,0,True,0,24.018,0,0
300,40,0,True,0,28.231,0,0
310,40,0,True,0,33.106,0,0
320,40,0,True,0,38.679,0,0
330,40,0,True,0,45.004,0,0
340,40,0,True,0,52.466,0,0
350,40,0,True,0,61.089,0,0
360,40,0,True,0,71.204,0,0
370,40,0,True,0,82.903,0,0
380,40,0,True,0,96.71,0,0
390,40,0,True,0,112.851,0,0
400,40,0,True,0,131.384,0,0
410,40,0,True,0,153.081,0,0
0,50,0,True,0,-4.528,0,0
10,50,0,True,0,-4.516,0,0
20,50,0,True,0,-4.437,0,0
30,50,0,True,0,-4.079,0,0
40,50,0,True,0,-4.322,0,0
50,50,0,True,0,-4.225,0,0
60,50,0,True,0,-4.085,0,0
70,50,0,True,0,-3.928,0,0
80,50,0,True,0,-3.739,0,0
90,50,0,True,0,-3.504,0,0
100,50,0,True,0,-3.235,0,0
110,50,0,True,0,-2.9,0,0
120,50,0,True,0,-2.535,0,0
130,50,0,True,0,-2.101,0,0
140,50,0,True,0,-1.621,0,0
150,50,0,True,0,-0.951,0,0
160,50,0,True,0,-0.164,0,0
170,50,0,True,0,0.44,0,0
180,50,0,True,0,1.298,0,0
190,50,0,True,0,2.303,0,0
200,50,0,True,0,3.443,0,0
210,50,0,True,0,4.779,0,0
220,50,0,True,0,6.253,0,0
230,50,0,True,0,7.942,0,0
240,50,0,True,0,10.137,0,0
250,50,0,True,0,12.066,0,0
260,50,0,True,0,14.528,0,0
270,50,0,True,0,17.368,0,0
280,50,0,True,0,20.612,0,0
290,50,0,True,0,24.292,0,0
300,50,0,True,0,28.557,0,0
310,50,0,True,0,33.402,0,0
320,50,0,True,0,39.043,0,0
330,50,0,True,0,45.487,0,0
340,50,0,True,0,52.986,0,0
350,50,0,True,0,61.645,0,0
360,50,0,True,0,71.794,0,0
370,50,0,True,0,83.54,0,0
380,50,0,True,0,97.655,0,0
390,50,0,True,0,113.178,0,0
400,50,0,True,0,131.787,0,0
410,50,0,True,0,153.32,0,0
0,60,0,True,0,-4.659,0,0
10,60,0,True,0,-4.622,0,0
20,60,0,True,0,-4.569,0,0
30,60,0,True,0,-4.503,0,0
40,60,0,True,0,-4.417,0,0
50,60,0,True,0,-4.317,0,0
60,60,0,True,0,-4.184,0,0
70,60,0,True,0,-4.021,0,0
80,60,0,True,0,-3.827,0,0
90,60,0,True,0,-3.591,0,0
100,60,0,True,0,-3.32,0,0
110,60,0,True,0,-2.987,0,0
120,60,0,True,0,-2.601,0,0
130,60,0,True,0,-2.167,0,0
140,60,0,True,0,-1.657,0,0
150,60,0,True,0,-1.073,0,0
160,60,0,True,0,-0.403,0,0
170,60,0,True,0,0.379,0,0
180,60,0,True,0,1.265,0,0
190,60,0,True,0,2.285,0,0
200,60,0,True,0,3.436,0,0
210,60,0,True,0,4.763,0,0
220,60,0,True,0,6.267,0,0
230,60,0,True,0,7.976,0,0
240,60,0,True,0,9.917,0,0
250,60,0,True,0,12.119,0,0
260,60,0,True,0,14.638,0,0
270,60,0,True,0,17.497,0,0
280,60,0,True,0,20.771,0,0
290,60,0,True,0,24.494,0,0
300,60,0,True,0,28.785,0,0
310,60,0,True,0,33.681,0,0
320,60,0,True,0,39.333,0,0
330,60,0,True,0,45.835,0,0
340,60,0,True,0,53.337,0,0
350,60,0,True,0,62.05,0,0
360,60,0,True,0,72.178,0,0
370,60,0,True,0,83.916,0,0
380,60,0,True,0,97.605,0,0
390,60,0,True,0,113.453,0,0
400,60,0,True,0,132.085,0,0
410,60,0,True,0,153.263,0,0
0,70,0,True,0,-4.774,0,0
10,70,0,True,0,-4.736,0,0
20,70,0,True,0,-4.45,0,0
30,70,0,True,0,-4.602,0,0
40,70,0,True,0,-4.509,0,0
50,70,0,True,0,-4.424,0,0
60,70,0,True,0,-4.286,0,0
70,70,0,True,0,-4.125,0,0
80,70,0,True,0,-3.925,0,0
90,70,0,True,0,-3.69,0,0
100,70,0,True,0,-3.403,0,0
110,70,0,True,0,-3.072,0,0
120,70,0,True,0,-2.684,0,0
130,70,0,True,0,-2.25,0,0
140,70,0,True,0,-1.74,0,0
150,70,0,True,0,-0.996,0,0
160,70,0,True,0,-0.374,0,0
170,70,0,True,0,0.322,0,0
180,70,0,True,0,1.211,0,0
190,70,0,True,0,2.248,0,0
200,70,0,True,0,3.404,0,0
210,70,0,True,0,4.74,0,0
220,70,0,True,0,6.256,0,0
230,70,0,True,0,7.986,0,0
240,70,0,True,0,9.935,0,0
250,70,0,True,0,12.163,0,0
260,70,0,True,0,14.688,0,0
270,70,0,True,0,17.582,0,0
280,70,0,True,0,20.871,0,0
290,70,0,True,0,24.627,0,0
300,70,0,True,0,28.939,0,0
310,70,0,True,0,33.855,0,0
320,70,0,True,0,39.536,0,0
330,70,0,True,0,46.066,0,0
340,70,0,True,0,53.579,0,0
350,70,0,True,0,62.296,0,0
360,70,0,True,0,72.416,0,0
370,70,0,True,0,84.119,0,0
380,70,0,True,0,97.778,0,0
390,70,0,True,0,113.532,0,0
400,70,0,True,0,131.935,0,0
410,70,0,True,0,153.069,0,0
0,80,0,True,0,-4.895,0,0
10,80,0,True,0,-4.855,0,0
20,80,0,True,0,-4.798,0,0
30,80,0,True,0,-4.738,0,0
40,80,0,True,0,-4.64,0,0
50,80,0,True,0,-4.541,0,0
60,80,0,True,0,-3.927,0,0
70,80,0,True,0,-4.239,0,0
80,80,0,True,0,-4.037,0,0
90,80,0,True,0,-3.796,0,0
100,80,0,True,0,-3.515,0,0
110,80,0,True,0,-3.173,0,0
120,80,0,True,0,-2.785,0,0
130,80,0,True,0,-2.342,0,0
140,80,0,True,0,-1.83,0,0
150,80,0,True,0,-1.231,0,0
160,80,0,True,0,-0.548,0,0
170,80,0,True,0,0.27,0,0
180,80,0,True,0,1.143,0,0
190,80,0,True,0,2.183,0,0
200,80,0,True,0,3.349,0,0
210,80,0,True,0,4.7,0,0
220,80,0,True,0,6.226,0,0
230,80,0,True,0,7.996,0,0
240,80,0,True,0,9.95,0,0
250,80,0,True,0,12.16,0,0
260,80,0,True,0,14.703,0,0
270,80,0,True,0,17.617,0,0
280,80,0,True,0,20.913,0,0
290,80,0,True,0,24.68,0,0
300,80,0,True,0,29.014,0,0
310,80,0,True,0,33.946,0,0
320,80,0,True,0,39.642,0,0
330,80,0,True,0,46.168,0,0
340,80,0,True,0,53.716,0,0
350,80,0,True,0,62.402,0,0
360,80,0,True,0,72.564,0,0
370,80,0,True,0,84.179,0,0
380,80,0,True,0,97.811,0,0
390,80,0,True,0,113.455,0,0
400,80,0,True,0,131.748,0,0
410,80,0,True,0,152.734,0,0
0,90,0,True,0,-5.024,0,0
10,90,0,True,0,-4.986,0,0
20,90,0,True,0,-4.931,0,0
30,90,0,True,0,-4.859,0,0
40,90,0,True,0,-4.762,0,0
50,90,0,True,0,-4.659,0,0
60,90,0,True,0,-4.511,0,0
70,90,0,True,0,-4.353,0,0
80,90,0,True,0,-4.156,0,0
90,90,0,True,0,-3.904,0,0
100,90,0,True,0,-3.425,0,0
110,90,0,True,0,-3.282,0,0
120,90,0,True,0,-2.895,0,0
130,90,0,True,0,-2.444,0,0
140,90,0,True,0,-1.928,0,0
150,90,0,True,0,-1.323,0,0
160,90,0,True,0,-0.642,0,0
170,90,0,True,0,0.18,0,0
180,90,0,True,0,1.057,0,0
190,90,0,True,0,2.095,0,0
200,90,0,True,0,3.297,0,0
210,90,0,True,0,4.626,0,0
220,90,0,True,0,6.159,0,0
230,90,0,True,0,7.901,0,0
240,90,0,True,0,9.875,0,0
250,90,0,True,0,12.117,0,0
260,90,0,True,0,14.676,0,0
270,90,0,True,0,17.583,0,0
280,90,0,True,0,20.906,0,0
290,90,0,True,0,24.677,0,0
300,90,0,True,0,29.018,0,0
310,90,0,True,0,33.982,0,0
320,90,0,True,0,39.648,0,0
330,90,0,True,0,46.173,0,0
340,90,0,True,0,53.716,0,0
350,90,0,True,0,62.391,0,0
360,90,0,True,0,72.475,0,0
370,90,0,True,0,84.081,0,0
380,90,0,True,0,97.644,0,0
390,90,0,True,0,113.213,0,0
400,90,0,True,0,131.406,0,0
410,90,0,True,0,152.281,0,0
0,100,0,True,0,-5.102,0,0
10,100,0,True,0,-5.02,0,0
20,100,0,True,0,-5.053,0,0
30,100,0,True,0,-4.979,0,0
40,100,0,True,0,-4.889,0,0
50,100,0,True,0,-4.777,0,0
60,100,0,True,0,-4.637,0,0
70,100,0,True,0,-4.471,0,0
80,100,0,True,0,-4.245,0,0
90,100,0,True,0,-4.001,0,0
100,100,0,True,0,-3.74,0,0
110,100,0,True,0,-3.399,0,0
120,100,0,True,0,-3.019,0,0
130,100,0,True,0,-2.583,0,0
140,100,0,True,0,-2.051,0,0
150,100,0,True,0,-1.368,0,0
160,100,0,True,0,-0.759,0,0
170,100,0,True,0,0.048,0,0
180,100,0,True,0,0.958,0,0
190,100,0,True,0,1.994,0,0
200,100,0,True,0,3.175,0,0
210,100,0,True,0,4.529,0,0
220,100,0,True,0,6.073,0,0
230,100,0,True,0,7.811,0,0
240,100,0,True,0,9.793,0,0
250,100,0,True,0,12.04,0,0
260,100,0,True,0,14.597,0,0
270,100,0,True,0,17.511,0,0
280,100,0,True,0,20.84,0,0
290,100,0,True,0,24.612,0,0
300,100,0,True,0,28.95,0,0
310,100,0,True,0,33.876,0,0
320,100,0,True,0,39.573,0,0
330,100,0,True,0,46.091,0,0
340,100,0,True,0,53.612,0,0
350,100,0,True,0,62.295,0,0
360,100,0,True,0,72.333,0,0
370,100,0,True,0,83.918,0,0
380,100,0,True,0,97.385,0,0
390,100,0,True,0,112.933,0,0
400,100,0,True,0,130.997,0,0
410,100,0,True,0,151.816,0,0
0,110,0,True,0,-5.282,0,0
10,110,0,True,0,-5.217,0,0
20,110,0,True,0,-5.159,0,0
30,110,0,True,0,-5.112,0,0
40,110,0,True,0,-5.014,0,0
50,110,0,True,0,-4.905,0,0
60,110,0,True,0,-4.763,0,0
70,110,0,True,0,-4.595,0,0
80,110,0,True,0,-4.394,0,0
90,110,0,True,0,-4.141,0,0
100,110,0,True,0,-3.853,0,0
110,110,0,True,0,-3.515,0,0
120,110,0,True,0,-3.123,0,0
130,110,0,True,0,-2.676,0,0
140,110,0,True,0,-2.152,0,0
150,110,0,True,0,-1.557,0,0
160,110,0,True,0,-0.866,0,0
170,110,0,True,0,-0.07,0,0
180,110,0,True,0,0.835,0,0
190,110,0,True,0,1.877,0,0
200,110,0,True,0,3.056,0,0
210,110,0,True,0,4.41,0,0
220,110,0,True,0,5.95,0,0
230,110,0,True,0,7.686,0,0
240,110,0,True,0,9.666,0,0
250,110,0,True,0,11.915,0,0
260,110,0,True,0,14.473,0,0
270,110,0,True,0,17.391,0,0
280,110,0,True,0,20.709,0,0
290,110,0,True,0,24.488,0,0
300,110,0,True,0,28.817,0,0
310,110,0,True,0,33.746,0,0
320,110,0,True,0,39.426,0,0
330,110,0,True,0,45.941,0,0
340,110,0,True,0,53.416,0,0
350,110,0,True,0,62.078,0,0
360,110,0,True,0,72.072,0,0
370,110,0,True,0,83.61,0,0
380,110,0,True,0,97.026,0,0
390,110,0,True,0,112.509,0,0
400,110,0,True,0,130.488,0,0
410,110,0,True,0,151.206,0,0
0,120,0,True,0,-5.41,0,0
10,120,0,True,0,-5.372,0,0
20,120,0,True,0,-5.311,0,0
30,120,0,True,0,-5.24,0,0
40,120,0,True,0,-5.145,0,0
50,120,0,True,0,-5.034,0,0
60,120,0,True,0,-4.9,0,0
70,120,0,True,0,-4.726,0,0
80,120,0,True,0,-4.524,0,0
90,120,0,True,0,-4.274,0,0
100,120,0,True,0,-3.984,0,0
110,120,0,True,0,-3.655,0,0
120,120,0,True,0,-3.267,0,0
130,120,0,True,0,-2.813,0,0
140,120,0,True,0,-2.29,0,0
150,120,0,True,0,-1.692,0,0
160,120,0,True,0,-1.003,0,0
170,120,0,True,0,-0.203,0,0
180,120,0,True,0,0.697,0,0
190,120,0,True,0,1.731,0,0
