#------------------------------------
2024/12/18 11:26:50  start
2024/12/19 02:52:00  end
x, y, z, status, B, Bx, By, Bz   1 Measure/1point
Area : X410 Y278 Z80 I10 T10962 -Push_Push_Push -Absolute A1
#------------------------------------
0,0,0,True,0,-427.392,0,0
10,0,0,True,0,-415.365,0,0
20,0,0,True,0,-367.806,0,0
30,0,0,True,0,-296.195,0,0
40,0,0,True,0,-220.754,0,0
50,0,0,True,0,-155.836,0,0
60,0,0,True,0,-106.874,0,0
70,0,0,True,0,-72.701,0,0
80,0,0,True,0,-49.353,0,0
90,0,0,True,0,-33.475,0,0
100,0,0,True,0,-22.735,0,0
110,0,0,True,0,-15.557,0,0
120,0,0,True,0,-11.052,0,0
130,0,0,True,0,-7.85,0,0
140,0,0,True,0,-5.131,0,0
150,0,0,True,0,-2.546,0,0
160,0,0,True,0,-0.618,0,0
170,0,0,True,0,0.297,0,0
180,0,0,True,0,-0.29,0,0
190,0,0,True,0,-1.847,0,0
200,0,0,True,0,-3.64,0,0
210,0,0,True,0,-5.144,0,0
220,0,0,True,0,-6.636,0,0
230,0,0,True,0,-7.883,0,0
240,0,0,True,0,-8.204,0,0
250,0,0,True,0,-7.142,0,0
260,0,0,True,0,-5.102,0,0
270,0,0,True,0,-3.244,0,0
280,0,0,True,0,-2.308,0,0
290,0,0,True,0,-2.727,0,0
300,0,0,True,0,-3.496,0,0
310,0,0,True,0,-3.232,0,0
320,0,0,True,0,-0.786,0,0
330,0,0,True,0,4.084,0,0
340,0,0,True,0,11.986,0,0
350,0,0,True,0,23.293,0,0
360,0,0,True,0,39.7,0,0
370,0,0,True,0,63.665,0,0
380,0,0,True,0,98.772,0,0
390,0,0,True,0,148.376,0,0
400,0,0,True,0,212.584,0,0
410,0,0,True,0,265.296,0,0
0,10,0,True,0,-411.742,0,0
10,10,0,True,0,-405.923,0,0
20,10,0,True,0,-369.553,0,0
30,10,0,True,0,-309.08,0,0
40,10,0,True,0,-239.697,0,0
50,10,0,True,0,-175.38,0,0
60,10,0,True,0,-123.644,0,0
70,10,0,True,0,-85.644,0,0
80,10,0,True,0,-58.815,0,0
90,10,0,True,0,-40.297,0,0
100,10,0,True,0,-27.842,0,0
110,10,0,True,0,-19.437,0,0
120,10,0,True,0,-13.865,0,0
130,10,0,True,0,-10.094,0,0
140,10,0,True,0,-7.346,0,0
150,10,0,True,0,-5.177,0,0
160,10,0,True,0,-3.652,0,0
170,10,0,True,0,-2.757,0,0
180,10,0,True,0,-2.65,0,0
190,10,0,True,0,-3.166,0,0
200,10,0,True,0,-4.001,0,0
210,10,0,True,0,-4.857,0,0
220,10,0,True,0,-5.697,0,0
230,10,0,True,0,-6.263,0,0
240,10,0,True,0,-6.384,0,0
250,10,0,True,0,-5.903,0,0
260,10,0,True,0,-4.938,0,0
270,10,0,True,0,-3.852,0,0
280,10,0,True,0,-2.927,0,0
290,10,0,True,0,-2.511,0,0
300,10,0,True,0,-2.085,0,0
310,10,0,True,0,-1.014,0,0
320,10,0,True,0,1.575,0,0
330,10,0,True,0,6.13,0,0
340,10,0,True,0,13.553,0,0
350,10,0,True,0,24.654,0,0
360,10,0,True,0,41.112,0,0
370,10,0,True,0,65.05,0,0
380,10,0,True,0,99.445,0,0
390,10,0,True,0,146.772,0,0
400,10,0,True,0,207.039,0,0
410,10,0,True,0,267.979,0,0
0,20,0,True,0,-403.407,0,0
10,20,0,True,0,-398.184,0,0
20,20,0,True,0,-364.691,0,0
30,20,0,True,0,-308.43,0,0
40,20,0,True,0,-242.482,0,0
50,20,0,True,0,-180.422,0,0
60,20,0,True,0,-129.075,0,0
70,20,0,True,0,-90.718,0,0
80,20,0,True,0,-62.976,0,0
90,20,0,True,0,-43.665,0,0
100,20,0,True,0,-30.457,0,0
110,20,0,True,0,-21.571,0,0
120,20,0,True,0,-15.602,0,0
130,20,0,True,0,-11.614,0,0
140,20,0,True,0,-8.846,0,0
150,20,0,True,0,-6.812,0,0
160,20,0,True,0,-5.421,0,0
170,20,0,True,0,-4.541,0,0
180,20,0,True,0,-4.194,0,0
190,20,0,True,0,-4.27,0,0
200,20,0,True,0,-4.604,0,0
210,20,0,True,0,-4.994,0,0
220,20,0,True,0,-5.436,0,0
230,20,0,True,0,-5.613,0,0
240,20,0,True,0,-5.61,0,0
250,20,0,True,0,-5.232,0,0
260,20,0,True,0,-4.646,0,0
270,20,0,True,0,-3.835,0,0
280,20,0,True,0,-2.966,0,0
290,20,0,True,0,-2.171,0,0
300,20,0,True,0,-1.169,0,0
310,20,0,True,0,0.449,0,0
320,20,0,True,0,3.368,0,0
330,20,0,True,0,8.145,0,0
340,20,0,True,0,15.777,0,0
350,20,0,True,0,27.255,0,0
360,20,0,True,0,44.27,0,0
370,20,0,True,0,68.836,0,0
380,20,0,True,0,103.539,0,0
390,20,0,True,0,150.329,0,0
400,20,0,True,0,208.807,0,0
410,20,0,True,0,267.55,0,0
0,30,0,True,0,-398.172,0,0
10,30,0,True,0,-393.67,0,0
20,30,0,True,0,-361.56,0,0
30,30,0,True,0,-307.409,0,0
40,30,0,True,0,-243.442,0,0
50,30,0,True,0,-182.731,0,0
60,30,0,True,0,-132.039,0,0
70,30,0,True,0,-93.722,0,0
80,30,0,True,0,-65.625,0,0
90,30,0,True,0,-45.924,0,0
100,30,0,True,0,-32.342,0,0
110,30,0,True,0,-23.129,0,0
120,30,0,True,0,-16.968,0,0
130,30,0,True,0,-12.839,0,0
140,30,0,True,0,-10.063,0,0
150,30,0,True,0,-8.031,0,0
160,30,0,True,0,-6.692,0,0
170,30,0,True,0,-5.73,0,0
180,30,0,True,0,-5.255,0,0
190,30,0,True,0,-5.02,0,0
200,30,0,True,0,-5.122,0,0
210,30,0,True,0,-5.201,0,0
220,30,0,True,0,-5.416,0,0
230,30,0,True,0,-5.399,0,0
240,30,0,True,0,-5.275,0,0
250,30,0,True,0,-4.902,0,0
260,30,0,True,0,-4.479,0,0
270,30,0,True,0,-3.75,0,0
280,30,0,True,0,-2.869,0,0
290,30,0,True,0,-1.829,0,0
300,30,0,True,0,-0.518,0,0
310,30,0,True,0,1.363,0,0
320,30,0,True,0,4.506,0,0
330,30,0,True,0,9.447,0,0
340,30,0,True,0,17.263,0,0
350,30,0,True,0,28.998,0,0
360,30,0,True,0,46.291,0,0
370,30,0,True,0,71.085,0,0
380,30,0,True,0,105.743,0,0
390,30,0,True,0,152.086,0,0
400,30,0,True,0,209.332,0,0
410,30,0,True,0,266.916,0,0
0,40,0,True,0,-395.021,0,0
10,40,0,True,0,-390.993,0,0
20,40,0,True,0,-359.727,0,0
30,40,0,True,0,-306.721,0,0
40,40,0,True,0,-243.912,0,0
50,40,0,True,0,-183.92,0,0
60,40,0,True,0,-133.738,0,0
70,40,0,True,0,-95.523,0,0
80,40,0,True,0,-67.39,0,0
90,40,0,True,0,-47.524,0,0
100,40,0,True,0,-33.748,0,0
110,40,0,True,0,-24.26,0,0
120,40,0,True,0,-18.028,0,0
130,40,0,True,0,-13.791,0,0
140,40,0,True,0,-10.982,0,0
150,40,0,True,0,-8.917,0,0
160,40,0,True,0,-7.555,0,0
170,40,0,True,0,-6.525,0,0
180,40,0,True,0,-5.963,0,0
190,40,0,True,0,-5.574,0,0
200,40,0,True,0,-5.485,0,0
210,40,0,True,0,-5.398,0,0
220,40,0,True,0,-5.465,0,0
230,40,0,True,0,-5.351,0,0
240,40,0,True,0,-5.166,0,0
250,40,0,True,0,-4.773,0,0
260,40,0,True,0,-4.352,0,0
270,40,0,True,0,-3.702,0,0
280,40,0,True,0,-2.769,0,0
290,40,0,True,0,-1.624,0,0
300,40,0,True,0,-0.132,0,0
310,40,0,True,0,1.901,0,0
320,40,0,True,0,5.201,0,0
330,40,0,True,0,10.249,0,0
340,40,0,True,0,18.22,0,0
350,40,0,True,0,30.064,0,0
360,40,0,True,0,47.463,0,0
370,40,0,True,0,72.261,0,0
380,40,0,True,0,106.725,0,0
390,40,0,True,0,152.609,0,0
400,40,0,True,0,209.108,0,0
410,40,0,True,0,266.666,0,0
0,50,0,True,0,-393.375,0,0
10,50,0,True,0,-389.715,0,0
20,50,0,True,0,-359.054,0,0
30,50,0,True,0,-306.497,0,0
40,50,0,True,0,-244.305,0,0
50,50,0,True,0,-184.629,0,0
60,50,0,True,0,-134.794,0,0
70,50,0,True,0,-96.694,0,0
80,50,0,True,0,-68.586,0,0
90,50,0,True,0,-48.671,0,0
100,50,0,True,0,-34.792,0,0
110,50,0,True,0,-25.197,0,0
120,50,0,True,0,-18.801,0,0
130,50,0,True,0,-14.462,0,0
140,50,0,True,0,-11.632,0,0
150,50,0,True,0,-9.555,0,0
160,50,0,True,0,-8.155,0,0
170,50,0,True,0,-7.097,0,0
180,50,0,True,0,-6.461,0,0
190,50,0,True,0,-6.003,0,0
200,50,0,True,0,-5.793,0,0
210,50,0,True,0,-5.583,0,0
220,50,0,True,0,-5.559,0,0
230,50,0,True,0,-5.424,0,0
240,50,0,True,0,-5.175,0,0
250,50,0,True,0,-4.798,0,0
260,50,0,True,0,-4.33,0,0
270,50,0,True,0,-3.668,0,0
280,50,0,True,0,-2.789,0,0
290,50,0,True,0,-1.569,0,0
300,50,0,True,0,0.044,0,0
310,50,0,True,0,2.181,0,0
320,50,0,True,0,5.631,0,0
330,50,0,True,0,10.796,0,0
340,50,0,True,0,18.86,0,0
350,50,0,True,0,30.759,0,0
360,50,0,True,0,48.162,0,0
370,50,0,True,0,72.882,0,0
380,50,0,True,0,107.144,0,0
390,50,0,True,0,152.728,0,0
400,50,0,True,0,208.956,0,0
410,50,0,True,0,266.305,0,0
0,60,0,True,0,-392.729,0,0
10,60,0,True,0,-389.199,0,0
20,60,0,True,0,-358.837,0,0
30,60,0,True,0,-306.485,0,0
40,60,0,True,0,-244.648,0,0
50,60,0,True,0,-185.222,0,0
60,60,0,True,0,-135.537,0,0
70,60,0,True,0,-97.414,0,0
80,60,0,True,0,-69.416,0,0
90,60,0,True,0,-49.509,0,0
100,60,0,True,0,-35.572,0,0
110,60,0,True,0,-25.891,0,0
120,60,0,True,0,-19.421,0,0
130,60,0,True,0,-14.988,0,0
140,60,0,True,0,-12.063,0,0
150,60,0,True,0,-9.982,0,0
160,60,0,True,0,-8.523,0,0
170,60,0,True,0,-7.461,0,0
180,60,0,True,0,-6.797,0,0
190,60,0,True,0,-6.288,0,0
200,60,0,True,0,-6.008,0,0
210,60,0,True,0,-5.761,0,0
220,60,0,True,0,-5.63,0,0
230,60,0,True,0,-5.464,0,0
240,60,0,True,0,-5.224,0,0
250,60,0,True,0,-4.821,0,0
260,60,0,True,0,-4.324,0,0
270,60,0,True,0,-3.711,0,0
280,60,0,True,0,-2.834,0,0
290,60,0,True,0,-1.596,0,0
300,60,0,True,0,0.076,0,0
310,60,0,True,0,2.339,0,0
320,60,0,True,0,5.904,0,0
330,60,0,True,0,11.203,0,0
340,60,0,True,0,19.314,0,0
350,60,0,True,0,31.218,0,0
360,60,0,True,0,48.558,0,0
370,60,0,True,0,73.185,0,0
380,60,0,True,0,107.304,0,0
390,60,0,True,0,152.622,0,0
400,60,0,True,0,208.614,0,0
410,60,0,True,0,266.233,0,0
0,70,0,True,0,-392.633,0,0
10,70,0,True,0,-389.28,0,0
20,70,0,True,0,-359.053,0,0
30,70,0,True,0,-306.882,0,0
40,70,0,True,0,-245.097,0,0
50,70,0,True,0,-185.66,0,0
60,70,0,True,0,-136.15,0,0
70,70,0,True,0,-97.96,0,0
80,70,0,True,0,-70.055,0,0
90,70,0,True,0,-50.186,0,0
100,70,0,True,0,-36.154,0,0
110,70,0,True,0,-26.48,0,0
120,70,0,True,0,-19.891,0,0
130,70,0,True,0,-15.42,0,0
140,70,0,True,0,-12.337,0,0
150,70,0,True,0,-10.239,0,0
160,70,0,True,0,-8.778,0,0
170,70,0,True,0,-7.706,0,0
180,70,0,True,0,-7.014,0,0
190,70,0,True,0,-6.485,0,0
200,70,0,True,0,-6.184,0,0
210,70,0,True,0,-5.893,0,0
220,70,0,True,0,-5.712,0,0
230,70,0,True,0,-5.512,0,0
240,70,0,True,0,-5.278,0,0
250,70,0,True,0,-4.896,0,0
260,70,0,True,0,-4.391,0,0
270,70,0,True,0,-3.737,0,0
280,70,0,True,0,-2.912,0,0
290,70,0,True,0,-1.709,0,0
300,70,0,True,0,0.045,0,0
310,70,0,True,0,2.413,0,0
320,70,0,True,0,6.072,0,0
330,70,0,True,0,11.45,0,0
340,70,0,True,0,19.617,0,0
350,70,0,True,0,31.52,0,0
360,70,0,True,0,48.815,0,0
370,70,0,True,0,73.345,0,0
380,70,0,True,0,107.34,0,0
390,70,0,True,0,152.55,0,0
400,70,0,True,0,208.41,0,0
410,70,0,True,0,266.027,0,0
0,80,0,True,0,-392.913,0,0
10,80,0,True,0,-389.672,0,0
20,80,0,True,0,-359.515,0,0
30,80,0,True,0,-307.561,0,0
40,80,0,True,0,-245.567,0,0
50,80,0,True,0,-185.964,0,0
60,80,0,True,0,-136.641,0,0
70,80,0,True,0,-98.437,0,0
80,80,0,True,0,-70.572,0,0
90,80,0,True,0,-50.667,0,0
100,80,0,True,0,-36.633,0,0
110,80,0,True,0,-26.917,0,0
120,80,0,True,0,-20.261,0,0
130,80,0,True,0,-15.712,0,0
140,80,0,True,0,-12.58,0,0
150,80,0,True,0,-10.426,0,0
160,80,0,True,0,-8.927,0,0
170,80,0,True,0,-7.873,0,0
180,80,0,True,0,-7.183,0,0
190,80,0,True,0,-6.607,0,0
200,80,0,True,0,-6.281,0,0
210,80,0,True,0,-5.984,0,0
220,80,0,True,0,-5.77,0,0
230,80,0,True,0,-5.541,0,0
240,80,0,True,0,-5.312,0,0
250,80,0,True,0,-4.948,0,0
260,80,0,True,0,-4.498,0,0
270,80,0,True,0,-3.794,0,0
280,80,0,True,0,-2.999,0,0
290,80,0,True,0,-1.795,0,0
300,80,0,True,0,-0.014,0,0
310,80,0,True,0,2.463,0,0
320,80,0,True,0,6.162,0,0
330,80,0,True,0,11.658,0,0
340,80,0,True,0,19.852,0,0
350,80,0,True,0,31.743,0,0
360,80,0,True,0,48.984,0,0
370,80,0,True,0,73.444,0,0
380,80,0,True,0,107.35,0,0
390,80,0,True,0,152.496,0,0
400,80,0,True,0,208.322,0,0
410,80,0,True,0,266.019,0,0
0,90,0,True,0,-393.626,0,0
10,90,0,True,0,-390.525,0,0
20,90,0,True,0,-360.198,0,0
30,90,0,True,0,-308.478,0,0
40,90,0,True,0,-246.031,0,0
50,90,0,True,0,-186.702,0,0
60,90,0,True,0,-137.027,0,0
70,90,0,True,0,-98.885,0,0
80,90,0,True,0,-71.05,0,0
90,90,0,True,0,-51.093,0,0
100,90,0,True,0,-37.027,0,0
110,90,0,True,0,-27.291,0,0
120,90,0,True,0,-20.57,0,0
130,90,0,True,0,-15.934,0,0
140,90,0,True,0,-12.754,0,0
150,90,0,True,0,-10.593,0,0
160,90,0,True,0,-9.073,0,0
170,90,0,True,0,-7.957,0,0
180,90,0,True,0,-7.279,0,0
190,90,0,True,0,-6.695,0,0
200,90,0,True,0,-6.369,0,0
210,90,0,True,0,-6.052,0,0
220,90,0,True,0,-5.872,0,0
230,90,0,True,0,-5.58,0,0
240,90,0,True,0,-5.349,0,0
250,90,0,True,0,-5.012,0,0
260,90,0,True,0,-4.546,0,0
270,90,0,True,0,-3.863,0,0
280,90,0,True,0,-3.059,0,0
290,90,0,True,0,-1.884,0,0
300,90,0,True,0,-0.106,0,0
310,90,0,True,0,2.463,0,0
320,90,0,True,0,6.235,0,0
330,90,0,True,0,11.763,0,0
340,90,0,True,0,19.979,0,0
350,90,0,True,0,31.887,0,0
360,90,0,True,0,49.084,0,0
370,90,0,True,0,73.493,0,0
380,90,0,True,0,107.322,0,0
390,90,0,True,0,152.469,0,0
400,90,0,True,0,208.29,0,0
410,90,0,True,0,266.249,0,0
0,100,0,True,0,-394.38,0,0
10,100,0,True,0,-391.339,0,0
20,100,0,True,0,-361.146,0,0
30,100,0,True,0,-309.339,0,0
40,100,0,True,0,-246.738,0,0
50,100,0,True,0,-187.222,0,0
60,100,0,True,0,-137.57,0,0
70,100,0,True,0,-99.299,0,0
80,100,0,True,0,-71.437,0,0
90,100,0,True,0,-51.453,0,0
100,100,0,True,0,-37.366,0,0
110,100,0,True,0,-27.559,0,0
120,100,0,True,0,-20.806,0,0
130,100,0,True,0,-16.102,0,0
140,100,0,True,0,-12.91,0,0
150,100,0,True,0,-10.651,0,0
160,100,0,True,0,-9.135,0,0
170,100,0,True,0,-8.001,0,0
180,100,0,True,0,-7.33,0,0
190,100,0,True,0,-6.737,0,0
200,100,0,True,0,-6.424,0,0
210,100,0,True,0,-6.065,0,0
220,100,0,True,0,-5.883,0,0
230,100,0,True,0,-5.593,0,0
240,100,0,True,0,-5.342,0,0
250,100,0,True,0,-4.991,0,0
260,100,0,True,0,-4.568,0,0
270,100,0,True,0,-3.893,0,0
280,100,0,True,0,-3.074,0,0
290,100,0,True,0,-1.941,0,0
300,100,0,True,0,-0.138,0,0
310,100,0,True,0,2.48,0,0
320,100,0,True,0,6.326,0,0
330,100,0,True,0,11.849,0,0
340,100,0,True,0,20.107,0,0
350,100,0,True,0,31.977,0,0
360,100,0,True,0,49.181,0,0
370,100,0,True,0,73.544,0,0
380,100,0,True,0,107.339,0,0
390,100,0,True,0,152.447,0,0
400,100,0,True,0,208.302,0,0
410,100,0,True,0,266.477,0,0
0,110,0,True,0,-395.358,0,0
10,110,0,True,0,-392.258,0,0
20,110,0,True,0,-362.147,0,0
30,110,0,True,0,-310.291,0,0
40,110,0,True,0,-247.54,0,0
50,110,0,True,0,-187.939,0,0
60,110,0,True,0,-138.134,0,0
70,110,0,True,0,-99.732,0,0
80,110,0,True,0,-71.846,0,0
90,110,0,True,0,-51.776,0,0
100,110,0,True,0,-37.673,0,0
110,110,0,True,0,-27.813,0,0
120,110,0,True,0,-21.018,0,0
130,110,0,True,0,-16.251,0,0
140,110,0,True,0,-13.014,0,0
150,110,0,True,0,-10.75,0,0
160,110,0,True,0,-9.186,0,0
170,110,0,True,0,-8.054,0,0
180,110,0,True,0,-7.346,0,0
190,110,0,True,0,-6.746,0,0
200,110,0,True,0,-6.427,0,0
210,110,0,True,0,-6.062,0,0
220,110,0,True,0,-5.868,0,0
230,110,0,True,0,-5.571,0,0
240,110,0,True,0,-5.306,0,0
250,110,0,True,0,-5.007,0,0
260,110,0,True,0,-4.552,0,0
270,110,0,True,0,-3.972,0,0
280,110,0,True,0,-3.06,0,0
290,110,0,True,0,-1.93,0,0
300,110,0,True,0,-0.112,0,0
310,110,0,True,0,2.505,0,0
320,110,0,True,0,6.394,0,0
330,110,0,True,0,11.926,0,0
340,110,0,True,0,20.184,0,0
350,110,0,True,0,32.098,0,0
360,110,0,True,0,49.248,0,0
370,110,0,True,0,73.591,0,0
380,110,0,True,0,107.358,0,0
390,110,0,True,0,152.448,0,0
400,110,0,True,0,208.362,0,0
410,110,0,True,0,266.671,0,0
0,120,0,True,0,-396.423,0,0
10,120,0,True,0,-393.13,0,0
20,120,0,True,0,-363.37,0,0
30,120,0,True,0,-311.294,0,0
40,120,0,True,0,-248.293,0,0
50,120,0,True,0,-188.704,0,0
60,120,0,True,0,-138.607,0,0
70,120,0,True,0,-100.203,0,0
80,120,0,True,0,-72.227,0,0
90,120,0,True,0,-52.079,0,0
100,120,0,True,0,-37.945,0,0
110,120,0,True,0,-28.033,0,0
