#------------------------------------
2024/12/13 16:17:50  start
2024/12/14 07:42:26  end
x, y, z, status, B, Bx, By, Bz   1 Measure/1point
Area : X410 Y278 Z80 I10 T10962 -Push_Push_Push -Absolute A1
#------------------------------------
0,0,0,True,0,-14.112,0,0
10,0,0,True,0,-5.476,0,0
20,0,0,True,0,6.627,0,0
30,0,0,True,0,19.878,0,0
40,0,0,True,0,29.917,0,0
50,0,0,True,0,34.298,0,0
60,0,0,True,0,32.838,0,0
70,0,0,True,0,28.196,0,0
80,0,0,True,0,22.53,0,0
90,0,0,True,0,17.462,0,0
100,0,0,True,0,13.344,0,0
110,0,0,True,0,10.154,0,0
120,0,0,True,0,7.715,0,0
130,0,0,True,0,5.414,0,0
140,0,0,True,0,3.734,0,0
150,0,0,True,0,2.188,0,0
160,0,0,True,0,0.807,0,0
170,0,0,True,0,-1.116,0,0
180,0,0,True,0,-3.191,0,0
190,0,0,True,0,-5.719,0,0
200,0,0,True,0,-7.693,0,0
210,0,0,True,0,-9.219,0,0
220,0,0,True,0,-9.657,0,0
230,0,0,True,0,-9.614,0,0
240,0,0,True,0,-9.015,0,0
250,0,0,True,0,-7.863,0,0
260,0,0,True,0,-5.926,0,0
270,0,0,True,0,-4.394,0,0
280,0,0,True,0,-3.786,0,0
290,0,0,True,0,-3.827,0,0
300,0,0,True,0,-4.252,0,0
310,0,0,True,0,-3.858,0,0
320,0,0,True,0,-2.424,0,0
330,0,0,True,0,0.299,0,0
340,0,0,True,0,3.411,0,0
350,0,0,True,0,7.034,0,0
360,0,0,True,0,10.643,0,0
370,0,0,True,0,15.004,0,0
380,0,0,True,0,20.44,0,0
390,0,0,True,0,28.002,0,0
400,0,0,True,0,37.091,0,0
410,0,0,True,0,46.956,0,0
0,10,0,True,0,-9.675,0,0
10,10,0,True,0,-3.507,0,0
20,10,0,True,0,4.846,0,0
30,10,0,True,0,14.134,0,0
40,10,0,True,0,22.181,0,0
50,10,0,True,0,27.507,0,0
60,10,0,True,0,29.407,0,0
70,10,0,True,0,28.707,0,0
80,10,0,True,0,26.615,0,0
90,10,0,True,0,24.163,0,0
100,10,0,True,0,21.782,0,0
110,10,0,True,0,19.75,0,0
120,10,0,True,0,18.165,0,0
130,10,0,True,0,16.592,0,0
140,10,0,True,0,15.324,0,0
150,10,0,True,0,14.123,0,0
160,10,0,True,0,13.0,0,0
170,10,0,True,0,11.611,0,0
180,10,0,True,0,10.304,0,0
190,10,0,True,0,8.79,0,0
200,10,0,True,0,7.601,0,0
210,10,0,True,0,6.656,0,0
220,10,0,True,0,6.26,0,0
230,10,0,True,0,6.167,0,0
240,10,0,True,0,6.558,0,0
250,10,0,True,0,7.048,0,0
260,10,0,True,0,7.918,0,0
270,10,0,True,0,8.669,0,0
280,10,0,True,0,9.054,0,0
290,10,0,True,0,9.296,0,0
300,10,0,True,0,9.404,0,0
310,10,0,True,0,9.943,0,0
320,10,0,True,0,10.959,0,0
330,10,0,True,0,12.715,0,0
340,10,0,True,0,14.566,0,0
350,10,0,True,0,16.913,0,0
360,10,0,True,0,19.491,0,0
370,10,0,True,0,22.715,0,0
380,10,0,True,0,26.569,0,0
390,10,0,True,0,31.573,0,0
400,10,0,True,0,37.145,0,0
410,10,0,True,0,42.65,0,0
0,20,0,True,0,-7.35,0,0
10,20,0,True,0,-3.216,0,0
20,20,0,True,0,2.43,0,0
30,20,0,True,0,8.977,0,0
40,20,0,True,0,15.294,0,0
50,20,0,True,0,20.363,0,0
60,20,0,True,0,23.461,0,0
70,20,0,True,0,24.751,0,0
80,20,0,True,0,24.626,0,0
90,20,0,True,0,23.802,0,0
100,20,0,True,0,22.737,0,0
110,20,0,True,0,21.599,0,0
120,20,0,True,0,20.586,0,0
130,20,0,True,0,19.564,0,0
140,20,0,True,0,18.718,0,0
150,20,0,True,0,17.794,0,0
160,20,0,True,0,16.937,0,0
170,20,0,True,0,15.976,0,0
180,20,0,True,0,15.088,0,0
190,20,0,True,0,14.153,0,0
200,20,0,True,0,13.394,0,0
210,20,0,True,0,12.775,0,0
220,20,0,True,0,12.461,0,0
230,20,0,True,0,12.344,0,0
240,20,0,True,0,12.48,0,0
250,20,0,True,0,12.752,0,0
260,20,0,True,0,13.18,0,0
270,20,0,True,0,13.571,0,0
280,20,0,True,0,13.832,0,0
290,20,0,True,0,14.08,0,0
300,20,0,True,0,14.291,0,0
310,20,0,True,0,14.773,0,0
320,20,0,True,0,15.524,0,0
330,20,0,True,0,16.635,0,0
340,20,0,True,0,17.875,0,0
350,20,0,True,0,19.466,0,0
360,20,0,True,0,21.31,0,0
370,20,0,True,0,23.64,0,0
380,20,0,True,0,26.361,0,0
390,20,0,True,0,29.688,0,0
400,20,0,True,0,33.268,0,0
410,20,0,True,0,36.593,0,0
0,30,0,True,0,-6.015,0,0
10,30,0,True,0,-3.348,0,0
20,30,0,True,0,0.496,0,0
30,30,0,True,0,5.259,0,0
40,30,0,True,0,10.317,0,0
50,30,0,True,0,14.902,0,0
60,30,0,True,0,18.373,0,0
70,30,0,True,0,20.474,0,0
80,30,0,True,0,21.403,0,0
90,30,0,True,0,21.575,0,0
100,30,0,True,0,21.32,0,0
110,30,0,True,0,20.817,0,0
120,30,0,True,0,20.239,0,0
130,30,0,True,0,19.596,0,0
140,30,0,True,0,19.009,0,0
150,30,0,True,0,18.369,0,0
160,30,0,True,0,17.777,0,0
170,30,0,True,0,17.153,0,0
180,30,0,True,0,16.568,0,0
190,30,0,True,0,15.984,0,0
200,30,0,True,0,15.484,0,0
210,30,0,True,0,15.093,0,0
220,30,0,True,0,14.846,0,0
230,30,0,True,0,14.742,0,0
240,30,0,True,0,14.773,0,0
250,30,0,True,0,14.905,0,0
260,30,0,True,0,15.121,0,0
270,30,0,True,0,15.339,0,0
280,30,0,True,0,15.496,0,0
290,30,0,True,0,15.671,0,0
300,30,0,True,0,15.863,0,0
310,30,0,True,0,16.18,0,0
320,30,0,True,0,16.702,0,0
330,30,0,True,0,17.41,0,0
340,30,0,True,0,18.294,0,0
350,30,0,True,0,19.441,0,0
360,30,0,True,0,20.811,0,0
370,30,0,True,0,22.522,0,0
380,30,0,True,0,24.497,0,0
390,30,0,True,0,26.842,0,0
400,30,0,True,0,29.307,0,0
410,30,0,True,0,31.603,0,0
0,40,0,True,0,-5.134,0,0
10,40,0,True,0,-3.482,0,0
20,40,0,True,0,-0.84,0,0
30,40,0,True,0,2.767,0,0
40,40,0,True,0,6.973,0,0
50,40,0,True,0,11.111,0,0
60,40,0,True,0,14.584,0,0
70,40,0,True,0,17.035,0,0
80,40,0,True,0,18.511,0,0
90,40,0,True,0,19.219,0,0
100,40,0,True,0,19.438,0,0
110,40,0,True,0,19.34,0,0
120,40,0,True,0,19.046,0,0
130,40,0,True,0,18.669,0,0
140,40,0,True,0,18.279,0,0
150,40,0,True,0,17.887,0,0
160,40,0,True,0,17.507,0,0
170,40,0,True,0,17.131,0,0
180,40,0,True,0,16.777,0,0
190,40,0,True,0,16.417,0,0
200,40,0,True,0,16.102,0,0
210,40,0,True,0,15.843,0,0
220,40,0,True,0,15.674,0,0
230,40,0,True,0,15.584,0,0
240,40,0,True,0,15.576,0,0
250,40,0,True,0,15.631,0,0
260,40,0,True,0,15.738,0,0
270,40,0,True,0,15.854,0,0
280,40,0,True,0,15.941,0,0
290,40,0,True,0,16.035,0,0
300,40,0,True,0,16.139,0,0
310,40,0,True,0,16.253,0,0
320,40,0,True,0,16.664,0,0
330,40,0,True,0,17.115,0,0
340,40,0,True,0,17.76,0,0
350,40,0,True,0,18.648,0,0
360,40,0,True,0,19.712,0,0
370,40,0,True,0,21.044,0,0
380,40,0,True,0,22.577,0,0
390,40,0,True,0,24.342,0,0
400,40,0,True,0,26.237,0,0
410,40,0,True,0,28.096,0,0
0,50,0,True,0,-4.368,0,0
10,50,0,True,0,-3.429,0,0
20,50,0,True,0,-1.564,0,0
30,50,0,True,0,1.284,0,0
40,50,0,True,0,4.913,0,0
50,50,0,True,0,8.685,0,0
60,50,0,True,0,12.066,0,0
70,50,0,True,0,14.62,0,0
80,50,0,True,0,16.33,0,0
90,50,0,True,0,17.331,0,0
100,50,0,True,0,17.836,0,0
110,50,0,True,0,17.977,0,0
120,50,0,True,0,17.895,0,0
130,50,0,True,0,17.683,0,0
140,50,0,True,0,17.444,0,0
150,50,0,True,0,17.237,0,0
160,50,0,True,0,17.021,0,0
170,50,0,True,0,16.827,0,0
180,50,0,True,0,16.617,0,0
190,50,0,True,0,16.412,0,0
200,50,0,True,0,16.215,0,0
210,50,0,True,0,16.062,0,0
220,50,0,True,0,15.945,0,0
230,50,0,True,0,15.884,0,0
240,50,0,True,0,15.861,0,0
250,50,0,True,0,15.882,0,0
260,50,0,True,0,15.943,0,0
270,50,0,True,0,15.994,0,0
280,50,0,True,0,16.041,0,0
290,50,0,True,0,16.058,0,0
300,50,0,True,0,16.151,0,0
310,50,0,True,0,16.229,0,0
320,50,0,True,0,16.393,0,0
330,50,0,True,0,16.692,0,0
340,50,0,True,0,17.189,0,0
350,50,0,True,0,17.895,0,0
360,50,0,True,0,18.788,0,0
370,50,0,True,0,19.872,0,0
380,50,0,True,0,21.11,0,0
390,50,0,True,0,22.591,0,0
400,50,0,True,0,24.195,0,0
410,50,0,True,0,25.872,0,0
0,60,0,True,0,-3.658,0,0
10,60,0,True,0,-3.204,0,0
20,60,0,True,0,-1.86,0,0
30,60,0,True,0,0.516,0,0
40,60,0,True,0,3.749,0,0
50,60,0,True,0,7.26,0,0
60,60,0,True,0,10.522,0,0
70,60,0,True,0,13.069,0,0
80,60,0,True,0,14.871,0,0
90,60,0,True,0,16.033,0,0
100,60,0,True,0,16.671,0,0
110,60,0,True,0,16.96,0,0
120,60,0,True,0,17.021,0,0
130,60,0,True,0,16.953,0,0
140,60,0,True,0,16.831,0,0
150,60,0,True,0,16.731,0,0
160,60,0,True,0,16.638,0,0
170,60,0,True,0,16.533,0,0
180,60,0,True,0,16.428,0,0
190,60,0,True,0,16.321,0,0
200,60,0,True,0,16.201,0,0
210,60,0,True,0,16.128,0,0
220,60,0,True,0,16.049,0,0
230,60,0,True,0,16.008,0,0
240,60,0,True,0,15.995,0,0
250,60,0,True,0,16.004,0,0
260,60,0,True,0,16.035,0,0
270,60,0,True,0,16.072,0,0
280,60,0,True,0,16.089,0,0
290,60,0,True,0,16.074,0,0
300,60,0,True,0,16.08,0,0
310,60,0,True,0,16.11,0,0
320,60,0,True,0,16.168,0,0
330,60,0,True,0,16.318,0,0
340,60,0,True,0,16.853,0,0
350,60,0,True,0,17.445,0,0
360,60,0,True,0,18.193,0,0
370,60,0,True,0,19.126,0,0
380,60,0,True,0,20.217,0,0
390,60,0,True,0,21.541,0,0
400,60,0,True,0,23.003,0,0
410,60,0,True,0,24.646,0,0
0,70,0,True,0,-2.897,0,0
10,70,0,True,0,-2.764,0,0
20,70,0,True,0,-1.743,0,0
30,70,0,True,0,0.283,0,0
40,70,0,True,0,3.252,0,0
50,70,0,True,0,6.573,0,0
60,70,0,True,0,9.723,0,0
70,70,0,True,0,12.236,0,0
80,70,0,True,0,14.015,0,0
90,70,0,True,0,15.241,0,0
100,70,0,True,0,15.981,0,0
110,70,0,True,0,16.378,0,0
120,70,0,True,0,16.537,0,0
130,70,0,True,0,16.574,0,0
140,70,0,True,0,16.541,0,0
150,70,0,True,0,16.505,0,0
160,70,0,True,0,16.465,0,0
170,70,0,True,0,16.429,0,0
180,70,0,True,0,16.386,0,0
190,70,0,True,0,16.337,0,0
200,70,0,True,0,16.285,0,0
210,70,0,True,0,16.254,0,0
220,70,0,True,0,16.212,0,0
230,70,0,True,0,16.201,0,0
240,70,0,True,0,16.205,0,0
250,70,0,True,0,16.226,0,0
260,70,0,True,0,16.254,0,0
270,70,0,True,0,16.276,0,0
280,70,0,True,0,16.293,0,0
290,70,0,True,0,16.289,0,0
300,70,0,True,0,16.289,0,0
310,70,0,True,0,16.317,0,0
320,70,0,True,0,16.4,0,0
330,70,0,True,0,16.548,0,0
340,70,0,True,0,16.818,0,0
350,70,0,True,0,17.437,0,0
360,70,0,True,0,18.096,0,0
370,70,0,True,0,18.936,0,0
380,70,0,True,0,19.93,0,0
390,70,0,True,0,21.179,0,0
400,70,0,True,0,22.595,0,0
410,70,0,True,0,24.231,0,0
0,80,0,True,0,-2.123,0,0
10,80,0,True,0,-2.206,0,0
20,80,0,True,0,-1.4,0,0
30,80,0,True,0,0.413,0,0
40,80,0,True,0,3.214,0,0
50,80,0,True,0,6.4,0,0
60,80,0,True,0,9.437,0,0
70,80,0,True,0,11.91,0,0
80,80,0,True,0,13.66,0,0
90,80,0,True,0,14.902,0,0
100,80,0,True,0,15.687,0,0
110,80,0,True,0,16.145,0,0
120,80,0,True,0,16.375,0,0
130,80,0,True,0,16.482,0,0
140,80,0,True,0,16.513,0,0
150,80,0,True,0,16.519,0,0
160,80,0,True,0,16.527,0,0
170,80,0,True,0,16.522,0,0
180,80,0,True,0,16.517,0,0
190,80,0,True,0,16.495,0,0
200,80,0,True,0,16.481,0,0
210,80,0,True,0,16.469,0,0
220,80,0,True,0,16.472,0,0
230,80,0,True,0,16.472,0,0
240,80,0,True,0,16.495,0,0
250,80,0,True,0,16.528,0,0
260,80,0,True,0,16.56,0,0
270,80,0,True,0,16.58,0,0
280,80,0,True,0,16.614,0,0
290,80,0,True,0,16.605,0,0
300,80,0,True,0,16.633,0,0
310,80,0,True,0,16.682,0,0
320,80,0,True,0,16.788,0,0
330,80,0,True,0,16.977,0,0
340,80,0,True,0,17.289,0,0
350,80,0,True,0,17.743,0,0
360,80,0,True,0,18.345,0,0
370,80,0,True,0,19.113,0,0
380,80,0,True,0,20.066,0,0
390,80,0,True,0,21.274,0,0
400,80,0,True,0,22.683,0,0
410,80,0,True,0,24.373,0,0
0,90,0,True,0,-1.309,0,0
10,90,0,True,0,-1.514,0,0
20,90,0,True,0,-0.853,0,0
30,90,0,True,0,0.837,0,0
40,90,0,True,0,3.516,0,0
50,90,0,True,0,6.605,0,0
60,90,0,True,0,9.542,0,0
70,90,0,True,0,11.948,0,0
80,90,0,True,0,13.667,0,0
90,90,0,True,0,14.898,0,0
100,90,0,True,0,15.688,0,0
110,90,0,True,0,16.194,0,0
120,90,0,True,0,16.468,0,0
130,90,0,True,0,16.621,0,0
140,90,0,True,0,16.692,0,0
150,90,0,True,0,16.729,0,0
160,90,0,True,0,16.751,0,0
170,90,0,True,0,16.785,0,0
180,90,0,True,0,16.795,0,0
190,90,0,True,0,16.805,0,0
200,90,0,True,0,16.811,0,0
210,90,0,True,0,16.825,0,0
220,90,0,True,0,16.841,0,0
230,90,0,True,0,16.861,0,0
240,90,0,True,0,16.89,0,0
250,90,0,True,0,16.938,0,0
260,90,0,True,0,16.989,0,0
270,90,0,True,0,17.037,0,0
280,90,0,True,0,17.091,0,0
290,90,0,True,0,17.099,0,0
300,90,0,True,0,17.157,0,0
310,90,0,True,0,17.259,0,0
320,90,0,True,0,17.39,0,0
330,90,0,True,0,17.6,0,0
340,90,0,True,0,17.908,0,0
350,90,0,True,0,18.344,0,0
360,90,0,True,0,18.897,0,0
370,90,0,True,0,19.644,0,0
380,90,0,True,0,20.576,0,0
390,90,0,True,0,21.769,0,0
400,90,0,True,0,23.224,0,0
410,90,0,True,0,24.929,0,0
0,100,0,True,0,-0.48,0,0
10,100,0,True,0,-0.77,0,0
20,100,0,True,0,-0.207,0,0
30,100,0,True,0,1.417,0,0
40,100,0,True,0,4.006,0,0
50,100,0,True,0,7.027,0,0
60,100,0,True,0,9.884,0,0
70,100,0,True,0,12.23,0,0
80,100,0,True,0,13.91,0,0
90,100,0,True,0,15.12,0,0
100,100,0,True,0,15.922,0,0
110,100,0,True,0,16.442,0,0
120,100,0,True,0,16.729,0,0
130,100,0,True,0,16.913,0,0
140,100,0,True,0,17.02,0,0
150,100,0,True,0,17.083,0,0
160,100,0,True,0,17.112,0,0
170,100,0,True,0,17.153,0,0
180,100,0,True,0,17.167,0,0
190,100,0,True,0,17.198,0,0
200,100,0,True,0,17.218,0,0
210,100,0,True,0,17.244,0,0
220,100,0,True,0,17.26,0,0
230,100,0,True,0,17.298,0,0
240,100,0,True,0,17.353,0,0
250,100,0,True,0,17.417,0,0
260,100,0,True,0,17.482,0,0
270,100,0,True,0,17.545,0,0
280,100,0,True,0,17.61,0,0
290,100,0,True,0,17.664,0,0
300,100,0,True,0,17.773,0,0
310,100,0,True,0,17.913,0,0
320,100,0,True,0,18.079,0,0
330,100,0,True,0,18.317,0,0
340,100,0,True,0,18.635,0,0
350,100,0,True,0,19.053,0,0
360,100,0,True,0,19.6,0,0
370,100,0,True,0,20.33,0,0
380,100,0,True,0,21.257,0,0
390,100,0,True,0,22.45,0,0
400,100,0,True,0,23.952,0,0
410,100,0,True,0,25.697,0,0
0,110,0,True,0,0.42,0,0
10,110,0,True,0,0.07,0,0
20,110,0,True,0,0.576,0,0
30,110,0,True,0,2.146,0,0
40,110,0,True,0,4.677,0,0
50,110,0,True,0,7.638,0,0
60,110,0,True,0,10.433,0,0
70,110,0,True,0,12.712,0,0
80,110,0,True,0,14.351,0,0
90,110,0,True,0,15.54,0,0
100,110,0,True,0,16.333,0,0
110,110,0,True,0,16.84,0,0
120,110,0,True,0,17.156,0,0
130,110,0,True,0,17.356,0,0
140,110,0,True,0,17.468,0,0
150,110,0,True,0,17.539,0,0
160,110,0,True,0,17.599,0,0
170,110,0,True,0,17.632,0,0
180,110,0,True,0,17.644,0,0
190,110,0,True,0,17.69,0,0
200,110,0,True,0,17.723,0,0
210,110,0,True,0,17.753,0,0
220,110,0,True,0,17.79,0,0
230,110,0,True,0,17.833,0,0
240,110,0,True,0,17.885,0,0
250,110,0,True,0,17.965,0,0
260,110,0,True,0,18.052,0,0
270,110,0,True,0,18.152,0,0
280,110,0,True,0,18.236,0,0
290,110,0,True,0,18.324,0,0
300,110,0,True,0,18.477,0,0
310,110,0,True,0,18.659,0,0
320,110,0,True,0,18.862,0,0
330,110,0,True,0,19.138,0,0
340,110,0,True,0,19.459,0,0
350,110,0,True,0,19.873,0,0
360,110,0,True,0,20.447,0,0
370,110,0,True,0,21.161,0,0
380,110,0,True,0,22.105,0,0
390,110,0,True,0,23.325,0,0
400,110,0,True,0,24.857,0,0
410,110,0,True,0,26.658,0,0
0,120,0,True,0,1.291,0,0
10,120,0,True,0,0.908,0,0
20,120,0,True,0,1.365,0,0
30,120,0,True,0,2.9,0,0
40,120,0,True,0,5.399,0,0
50,120,0,True,0,8.301,0,0
60,120,0,True,0,11.076,0,0
70,120,0,True,0,13.285,0,0
80,120,0,True,0,14.866,0,0
90,120,0,True,0,16.029,0,0
100,120,0,True,0,16.81,0,0
110,120,0,True,0,17.321,0,0
120,120,0,True,0,17.648,0,0
130,120,0,True,0,17.848,0,0
140,120,0,True,0,17.974,0,0
150,120,0,True,0,18.055,0,0
160,120,0,True,0,18.116,0,0
170,120,0,True,0,18.153,0,0
180,120,0,True,0,18.173,0,0
190,120,0,True,0,18.204,0,0
200,120,0,True,0,18.234,0,0
210,120,0,True,0,18.262,0,0
220,120,0,True,0,18.298,0,0
230,120,0,True,0,18.353,0,0
240,120,0,True,0,18.417,0,0
250,120,0,True,0,18.5,0,0
260,120,0,True,0,18.611,0,0
270,120,0,True,0,18.724,0,0
280,120,0,True,0,18.839,0,0
290,120,0,True,0,18.963,0,0
300,120,0,True,0,19.16,0,0
