#------------------------------------
2024/12/16 13:18:16  start
2024/12/17 04:43:27  end
x, y, z, status, B, Bx, By, Bz   1 Measure/1point
Area : X410 Y278 Z80 I10 T10962 -Push_Push_Push -Absolute A1
#------------------------------------
0,0,0,True,0,875.163,0,0
10,0,0,True,0,1039.204,0,0
20,0,0,True,0,1198.351,0,0
30,0,0,True,0,1327.543,0,0
40,0,0,True,0,1413.639,0,0
50,0,0,True,0,1464.418,0,0
60,0,0,True,0,1491.292,0,0
70,0,0,True,0,1504.845,0,0
80,0,0,True,0,1511.154,0,0
90,0,0,True,0,1513.932,0,0
100,0,0,True,0,1514.847,0,0
110,0,0,True,0,1514.95,0,0
120,0,0,True,0,1514.494,0,0
130,0,0,True,0,1514.277,0,0
140,0,0,True,0,1513.749,0,0
150,0,0,True,0,1513.138,0,0
160,0,0,True,0,1512.172,0,0
170,0,0,True,0,1510.787,0,0
180,0,0,True,0,1509.676,0,0
190,0,0,True,0,1508.119,0,0
200,0,0,True,0,1507.226,0,0
210,0,0,True,0,1506.131,0,0
220,0,0,True,0,1505.366,0,0
230,0,0,True,0,1504.274,0,0
240,0,0,True,0,1503.697,0,0
250,0,0,True,0,1502.507,0,0
260,0,0,True,0,1501.64,0,0
270,0,0,True,0,1499.944,0,0
280,0,0,True,0,1498.232,0,0
290,0,0,True,0,1496.47,0,0
300,0,0,True,0,1494.641,0,0
310,0,0,True,0,1493.427,0,0
320,0,0,True,0,1491.697,0,0
330,0,0,True,0,1490.079,0,0
340,0,0,True,0,1487.518,0,0
350,0,0,True,0,1484.355,0,0
360,0,0,True,0,1478.803,0,0
370,0,0,True,0,1470.182,0,0
380,0,0,True,0,1454.05,0,0
390,0,0,True,0,1425.455,0,0
400,0,0,True,0,1373.495,0,0
410,0,0,True,0,1295.879,0,0
0,10,0,True,0,843.952,0,0
10,10,0,True,0,984.8,0,0
20,10,0,True,0,1120.898,0,0
30,10,0,True,0,1233.875,0,0
40,10,0,True,0,1313.222,0,0
50,10,0,True,0,1362.932,0,0
60,10,0,True,0,1391.206,0,0
70,10,0,True,0,1406.622,0,0
80,10,0,True,0,1414.677,0,0
90,10,0,True,0,1418.832,0,0
100,10,0,True,0,1420.965,0,0
110,10,0,True,0,1422.023,0,0
120,10,0,True,0,1422.458,0,0
130,10,0,True,0,1422.813,0,0
140,10,0,True,0,1422.967,0,0
150,10,0,True,0,1423.056,0,0
160,10,0,True,0,1422.946,0,0
170,10,0,True,0,1422.589,0,0
180,10,0,True,0,1422.282,0,0
190,10,0,True,0,1421.898,0,0
200,10,0,True,0,1421.512,0,0
210,10,0,True,0,1421.116,0,0
220,10,0,True,0,1420.868,0,0
230,10,0,True,0,1420.416,0,0
240,10,0,True,0,1420.137,0,0
250,10,0,True,0,1419.648,0,0
260,10,0,True,0,1419.174,0,0
270,10,0,True,0,1418.444,0,0
280,10,0,True,0,1417.58,0,0
290,10,0,True,0,1416.587,0,0
300,10,0,True,0,1415.412,0,0
310,10,0,True,0,1414.403,0,0
320,10,0,True,0,1413.122,0,0
330,10,0,True,0,1411.784,0,0
340,10,0,True,0,1409.71,0,0
350,10,0,True,0,1406.792,0,0
360,10,0,True,0,1401.681,0,0
370,10,0,True,0,1393.254,0,0
380,10,0,True,0,1378.024,0,0
390,10,0,True,0,1351.094,0,0
400,10,0,True,0,1304.4,0,0
410,10,0,True,0,1232.026,0,0
0,20,0,True,0,834.016,0,0
10,20,0,True,0,964.917,0,0
20,20,0,True,0,1091.763,0,0
30,20,0,True,0,1197.412,0,0
40,20,0,True,0,1272.465,0,0
50,20,0,True,0,1320.322,0,0
60,20,0,True,0,1348.209,0,0
70,20,0,True,0,1363.917,0,0
80,20,0,True,0,1372.422,0,0
90,20,0,True,0,1377.044,0,0
100,20,0,True,0,1379.459,0,0
110,20,0,True,0,1380.836,0,0
120,20,0,True,0,1381.582,0,0
130,20,0,True,0,1382.171,0,0
140,20,0,True,0,1382.6,0,0
150,20,0,True,0,1382.978,0,0
160,20,0,True,0,1383.235,0,0
170,20,0,True,0,1383.315,0,0
180,20,0,True,0,1383.311,0,0
190,20,0,True,0,1383.275,0,0
200,20,0,True,0,1383.172,0,0
210,20,0,True,0,1383.029,0,0
220,20,0,True,0,1382.941,0,0
230,20,0,True,0,1382.752,0,0
240,20,0,True,0,1382.579,0,0
250,20,0,True,0,1382.313,0,0
260,20,0,True,0,1382.022,0,0
270,20,0,True,0,1381.534,0,0
280,20,0,True,0,1380.901,0,0
290,20,0,True,0,1380.097,0,0
300,20,0,True,0,1379.086,0,0
310,20,0,True,0,1377.985,0,0
320,20,0,True,0,1376.905,0,0
330,20,0,True,0,1375.647,0,0
340,20,0,True,0,1373.737,0,0
350,20,0,True,0,1370.851,0,0
360,20,0,True,0,1365.857,0,0
370,20,0,True,0,1357.476,0,0
380,20,0,True,0,1342.629,0,0
390,20,0,True,0,1316.665,0,0
400,20,0,True,0,1272.477,0,0
410,20,0,True,0,1204.161,0,0
0,30,0,True,0,829.48,0,0
10,30,0,True,0,957.072,0,0
20,30,0,True,0,1079.878,0,0
30,30,0,True,0,1182.201,0,0
40,30,0,True,0,1255.124,0,0
50,30,0,True,0,1301.856,0,0
60,30,0,True,0,1329.307,0,0
70,30,0,True,0,1344.969,0,0
80,30,0,True,0,1353.586,0,0
90,30,0,True,0,1358.366,0,0
100,30,0,True,0,1360.944,0,0
110,30,0,True,0,1362.387,0,0
120,30,0,True,0,1363.246,0,0
130,30,0,True,0,1363.937,0,0
140,30,0,True,0,1364.584,0,0
150,30,0,True,0,1365.154,0,0
160,30,0,True,0,1365.555,0,0
170,30,0,True,0,1365.848,0,0
180,30,0,True,0,1366.006,0,0
190,30,0,True,0,1366.125,0,0
200,30,0,True,0,1366.153,0,0
210,30,0,True,0,1366.144,0,0
220,30,0,True,0,1366.141,0,0
230,30,0,True,0,1366.084,0,0
240,30,0,True,0,1366.014,0,0
250,30,0,True,0,1365.843,0,0
260,30,0,True,0,1365.608,0,0
270,30,0,True,0,1365.221,0,0
280,30,0,True,0,1364.674,0,0
290,30,0,True,0,1363.886,0,0
300,30,0,True,0,1362.943,0,0
310,30,0,True,0,1361.855,0,0
320,30,0,True,0,1360.739,0,0
330,30,0,True,0,1359.536,0,0
340,30,0,True,0,1357.787,0,0
350,30,0,True,0,1354.924,0,0
360,30,0,True,0,1350.032,0,0
370,30,0,True,0,1341.796,0,0
380,30,0,True,0,1327.359,0,0
390,30,0,True,0,1302.07,0,0
400,30,0,True,0,1259.379,0,0
410,30,0,True,0,1193.241,0,0
0,40,0,True,0,828.952,0,0
10,40,0,True,0,954.671,0,0
20,40,0,True,0,1075.759,0,0
30,40,0,True,0,1176.653,0,0
40,40,0,True,0,1248.604,0,0
50,40,0,True,0,1294.579,0,0
60,40,0,True,0,1321.755,0,0
70,40,0,True,0,1337.207,0,0
80,40,0,True,0,1345.837,0,0
90,40,0,True,0,1350.633,0,0
100,40,0,True,0,1353.265,0,0
110,40,0,True,0,1354.727,0,0
120,40,0,True,0,1355.623,0,0
130,40,0,True,0,1356.375,0,0
140,40,0,True,0,1357.093,0,0
150,40,0,True,0,1357.734,0,0
160,40,0,True,0,1358.236,0,0
170,40,0,True,0,1358.607,0,0
180,40,0,True,0,1358.835,0,0
190,40,0,True,0,1359.025,0,0
200,40,0,True,0,1359.12,0,0
210,40,0,True,0,1359.191,0,0
220,40,0,True,0,1359.23,0,0
230,40,0,True,0,1359.227,0,0
240,40,0,True,0,1359.19,0,0
250,40,0,True,0,1359.08,0,0
260,40,0,True,0,1358.885,0,0
270,40,0,True,0,1358.544,0,0
280,40,0,True,0,1358.027,0,0
290,40,0,True,0,1357.291,0,0
300,40,0,True,0,1356.35,0,0
310,40,0,True,0,1355.248,0,0
320,40,0,True,0,1354.174,0,0
330,40,0,True,0,1352.994,0,0
340,40,0,True,0,1351.291,0,0
350,40,0,True,0,1348.507,0,0
360,40,0,True,0,1343.709,0,0
370,40,0,True,0,1335.612,0,0
380,40,0,True,0,1321.458,0,0
390,40,0,True,0,1296.706,0,0
400,40,0,True,0,1254.862,0,0
410,40,0,True,0,1190.107,0,0
0,50,0,True,0,829.696,0,0
10,50,0,True,0,954.569,0,0
20,50,0,True,0,1075.003,0,0
30,50,0,True,0,1175.212,0,0
40,50,0,True,0,1246.726,0,0
50,50,0,True,0,1292.301,0,0
60,50,0,True,0,1319.254,0,0
70,50,0,True,0,1334.575,0,0
80,50,0,True,0,1343.157,0,0
90,50,0,True,0,1347.941,0,0
100,50,0,True,0,1350.613,0,0
110,50,0,True,0,1352.113,0,0
120,50,0,True,0,1353.037,0,0
130,50,0,True,0,1353.795,0,0
140,50,0,True,0,1354.507,0,0
150,50,0,True,0,1355.133,0,0
160,50,0,True,0,1355.633,0,0
170,50,0,True,0,1356.019,0,0
180,50,0,True,0,1356.286,0,0
190,50,0,True,0,1356.49,0,0
200,50,0,True,0,1356.621,0,0
210,50,0,True,0,1356.719,0,0
220,50,0,True,0,1356.787,0,0
230,50,0,True,0,1356.802,0,0
240,50,0,True,0,1356.791,0,0
250,50,0,True,0,1356.702,0,0
260,50,0,True,0,1356.521,0,0
270,50,0,True,0,1356.219,0,0
280,50,0,True,0,1355.748,0,0
290,50,0,True,0,1355.065,0,0
300,50,0,True,0,1354.189,0,0
310,50,0,True,0,1353.175,0,0
320,50,0,True,0,1352.13,0,0
330,50,0,True,0,1350.946,0,0
340,50,0,True,0,1349.215,0,0
350,50,0,True,0,1346.443,0,0
360,50,0,True,0,1341.704,0,0
370,50,0,True,0,1333.716,0,0
380,50,0,True,0,1319.785,0,0
390,50,0,True,0,1295.498,0,0
400,50,0,True,0,1254.367,0,0
410,50,0,True,0,1191.053,0,0
0,60,0,True,0,830.901,0,0
10,60,0,True,0,955.379,0,0
20,60,0,True,0,1075.556,0,0
30,60,0,True,0,1175.543,0,0
40,60,0,True,0,1246.832,0,0
50,60,0,True,0,1292.283,0,0
60,60,0,True,0,1319.113,0,0
70,60,0,True,0,1334.317,0,0
80,60,0,True,0,1342.842,0,0
90,60,0,True,0,1347.65,0,0
100,60,0,True,0,1350.337,0,0
110,60,0,True,0,1351.878,0,0
120,60,0,True,0,1352.846,0,0
130,60,0,True,0,1353.579,0,0
140,60,0,True,0,1354.209,0,0
150,60,0,True,0,1354.771,0,0
160,60,0,True,0,1355.226,0,0
170,60,0,True,0,1355.578,0,0
180,60,0,True,0,1355.845,0,0
190,60,0,True,0,1356.032,0,0
200,60,0,True,0,1356.183,0,0
210,60,0,True,0,1356.288,0,0
220,60,0,True,0,1356.349,0,0
230,60,0,True,0,1356.378,0,0
240,60,0,True,0,1356.369,0,0
250,60,0,True,0,1356.289,0,0
260,60,0,True,0,1356.125,0,0
270,60,0,True,0,1355.857,0,0
280,60,0,True,0,1355.424,0,0
290,60,0,True,0,1354.838,0,0
300,60,0,True,0,1354.061,0,0
310,60,0,True,0,1353.171,0,0
320,60,0,True,0,1352.153,0,0
330,60,0,True,0,1350.938,0,0
340,60,0,True,0,1349.168,0,0
350,60,0,True,0,1346.372,0,0
360,60,0,True,0,1341.689,0,0
370,60,0,True,0,1333.818,0,0
380,60,0,True,0,1320.155,0,0
390,60,0,True,0,1296.166,0,0
400,60,0,True,0,1255.494,0,0
410,60,0,True,0,1192.404,0,0
0,70,0,True,0,832.169,0,0
10,70,0,True,0,956.498,0,0
20,70,0,True,0,1076.601,0,0
30,70,0,True,0,1176.625,0,0
40,70,0,True,0,1247.981,0,0
50,70,0,True,0,1293.256,0,0
60,70,0,True,0,1319.972,0,0
70,70,0,True,0,1335.131,0,0
80,70,0,True,0,1343.574,0,0
90,70,0,True,0,1348.359,0,0
100,70,0,True,0,1351.074,0,0
110,70,0,True,0,1352.653,0,0
120,70,0,True,0,1353.634,0,0
130,70,0,True,0,1354.326,0,0
140,70,0,True,0,1354.886,0,0
150,70,0,True,0,1355.352,0,0
160,70,0,True,0,1355.741,0,0
170,70,0,True,0,1356.044,0,0
180,70,0,True,0,1356.274,0,0
190,70,0,True,0,1356.443,0,0
200,70,0,True,0,1356.576,0,0
210,70,0,True,0,1356.682,0,0
220,70,0,True,0,1356.734,0,0
230,70,0,True,0,1356.768,0,0
240,70,0,True,0,1356.746,0,0
250,70,0,True,0,1356.664,0,0
260,70,0,True,0,1356.519,0,0
270,70,0,True,0,1356.276,0,0
280,70,0,True,0,1355.909,0,0
290,70,0,True,0,1355.395,0,0
300,70,0,True,0,1354.737,0,0
310,70,0,True,0,1353.941,0,0
320,70,0,True,0,1352.981,0,0
330,70,0,True,0,1351.729,0,0
340,70,0,True,0,1349.924,0,0
350,70,0,True,0,1347.104,0,0
360,70,0,True,0,1342.482,0,0
370,70,0,True,0,1334.693,0,0
380,70,0,True,0,1321.213,0,0
390,70,0,True,0,1297.535,0,0
400,70,0,True,0,1257.236,0,0
410,70,0,True,0,1194.561,0,0
0,80,0,True,0,833.269,0,0
10,80,0,True,0,957.444,0,0
20,80,0,True,0,1077.727,0,0
30,80,0,True,0,1178.004,0,0
40,80,0,True,0,1249.4,0,0
50,80,0,True,0,1294.587,0,0
60,80,0,True,0,1321.139,0,0
70,80,0,True,0,1336.293,0,0
80,80,0,True,0,1344.67,0,0
90,80,0,True,0,1349.452,0,0
100,80,0,True,0,1352.163,0,0
110,80,0,True,0,1353.748,0,0
120,80,0,True,0,1354.748,0,0
130,80,0,True,0,1355.402,0,0
140,80,0,True,0,1355.88,0,0
150,80,0,True,0,1356.27,0,0
160,80,0,True,0,1356.577,0,0
170,80,0,True,0,1356.819,0,0
180,80,0,True,0,1357.011,0,0
190,80,0,True,0,1357.153,0,0
200,80,0,True,0,1357.258,0,0
210,80,0,True,0,1357.332,0,0
220,80,0,True,0,1357.368,0,0
230,80,0,True,0,1357.409,0,0
240,80,0,True,0,1357.369,0,0
250,80,0,True,0,1357.297,0,0
260,80,0,True,0,1357.172,0,0
270,80,0,True,0,1356.937,0,0
280,80,0,True,0,1356.62,0,0
290,80,0,True,0,1356.174,0,0
300,80,0,True,0,1355.604,0,0
310,80,0,True,0,1354.896,0,0
320,80,0,True,0,1353.962,0,0
330,80,0,True,0,1352.712,0,0
340,80,0,True,0,1350.891,0,0
350,80,0,True,0,1348.052,0,0
360,80,0,True,0,1343.492,0,0
370,80,0,True,0,1335.793,0,0
380,80,0,True,0,1322.496,0,0
390,80,0,True,0,1299.054,0,0
400,80,0,True,0,1259.102,0,0
410,80,0,True,0,1196.63,0,0
0,90,0,True,0,834.179,0,0
10,90,0,True,0,958.419,0,0
20,90,0,True,0,1078.776,0,0
30,90,0,True,0,1179.202,0,0
40,90,0,True,0,1250.703,0,0
50,90,0,True,0,1295.934,0,0
60,90,0,True,0,1322.472,0,0
70,90,0,True,0,1337.528,0,0
80,90,0,True,0,1345.868,0,0
90,90,0,True,0,1350.607,0,0
100,90,0,True,0,1353.314,0,0
110,90,0,True,0,1354.922,0,0
120,90,0,True,0,1355.863,0,0
130,90,0,True,0,1356.476,0,0
140,90,0,True,0,1356.914,0,0
150,90,0,True,0,1357.219,0,0
160,90,0,True,0,1357.481,0,0
170,90,0,True,0,1357.664,0,0
180,90,0,True,0,1357.794,0,0
190,90,0,True,0,1357.9,0,0
200,90,0,True,0,1357.98,0,0
210,90,0,True,0,1358.031,0,0
220,90,0,True,0,1358.058,0,0
230,90,0,True,0,1358.051,0,0
240,90,0,True,0,1358.022,0,0
250,90,0,True,0,1357.931,0,0
260,90,0,True,0,1357.803,0,0
270,90,0,True,0,1357.593,0,0
280,90,0,True,0,1357.305,0,0
290,90,0,True,0,1356.914,0,0
300,90,0,True,0,1356.41,0,0
310,90,0,True,0,1355.731,0,0
320,90,0,True,0,1354.853,0,0
330,90,0,True,0,1353.589,0,0
340,90,0,True,0,1351.764,0,0
350,90,0,True,0,1348.951,0,0
360,90,0,True,0,1344.414,0,0
370,90,0,True,0,1336.794,0,0
380,90,0,True,0,1323.686,0,0
390,90,0,True,0,1300.51,0,0
400,90,0,True,0,1260.916,0,0
410,90,0,True,0,1198.503,0,0
0,100,0,True,0,834.753,0,0
10,100,0,True,0,958.94,0,0
20,100,0,True,0,1079.533,0,0
30,100,0,True,0,1180.165,0,0
40,100,0,True,0,1251.798,0,0
50,100,0,True,0,1297.101,0,0
60,100,0,True,0,1323.659,0,0
70,100,0,True,0,1338.66,0,0
80,100,0,True,0,1346.894,0,0
90,100,0,True,0,1351.687,0,0
100,100,0,True,0,1354.381,0,0
110,100,0,True,0,1355.957,0,0
120,100,0,True,0,1356.888,0,0
130,100,0,True,0,1357.464,0,0
140,100,0,True,0,1357.835,0,0
150,100,0,True,0,1358.091,0,0
160,100,0,True,0,1358.287,0,0
170,100,0,True,0,1358.407,0,0
180,100,0,True,0,1358.508,0,0
190,100,0,True,0,1358.577,0,0
200,100,0,True,0,1358.614,0,0
210,100,0,True,0,1358.65,0,0
220,100,0,True,0,1358.642,0,0
230,100,0,True,0,1358.612,0,0
240,100,0,True,0,1358.558,0,0
250,100,0,True,0,1358.457,0,0
260,100,0,True,0,1358.326,0,0
270,100,0,True,0,1358.126,0,0
280,100,0,True,0,1357.856,0,0
290,100,0,True,0,1357.503,0,0
300,100,0,True,0,1357.024,0,0
310,100,0,True,0,1356.373,0,0
320,100,0,True,0,1355.504,0,0
330,100,0,True,0,1354.248,0,0
340,100,0,True,0,1352.44,0,0
350,100,0,True,0,1349.641,0,0
360,100,0,True,0,1345.156,0,0
370,100,0,True,0,1337.662,0,0
380,100,0,True,0,1324.658,0,0
390,100,0,True,0,1301.744,0,0
400,100,0,True,0,1262.177,0,0
410,100,0,True,0,1199.848,0,0
0,110,0,True,0,835.06,0,0
10,110,0,True,0,959.358,0,0
20,110,0,True,0,1080.079,0,0
30,110,0,True,0,1180.956,0,0
40,110,0,True,0,1252.78,0,0
50,110,0,True,0,1298.137,0,0
60,110,0,True,0,1324.831,0,0
70,110,0,True,0,1339.679,0,0
80,110,0,True,0,1347.984,0,0
90,110,0,True,0,1352.626,0,0
100,110,0,True,0,1355.287,0,0
110,110,0,True,0,1356.841,0,0
120,110,0,True,0,1357.743,0,0
130,110,0,True,0,1358.279,0,0
140,110,0,True,0,1358.603,0,0
150,110,0,True,0,1358.819,0,0
160,110,0,True,0,1358.949,0,0
170,110,0,True,0,1359.033,0,0
180,110,0,True,0,1359.093,0,0
190,110,0,True,0,1359.116,0,0
200,110,0,True,0,1359.129,0,0
210,110,0,True,0,1359.117,0,0
220,110,0,True,0,1359.09,0,0
230,110,0,True,0,1359.046,0,0
240,110,0,True,0,1358.959,0,0
250,110,0,True,0,1358.849,0,0
260,110,0,True,0,1358.707,0,0
270,110,0,True,0,1358.496,0,0
280,110,0,True,0,1358.235,0,0
290,110,0,True,0,1357.881,0,0
300,110,0,True,0,1357.415,0,0
310,110,0,True,0,1356.786,0,0
320,110,0,True,0,1355.913,0,0
330,110,0,True,0,1354.68,0,0
340,110,0,True,0,1352.878,0,0
350,110,0,True,0,1350.129,0,0
360,110,0,True,0,1345.675,0,0
370,110,0,True,0,1338.255,0,0
380,110,0,True,0,1325.43,0,0
390,110,0,True,0,1302.597,0,0
400,110,0,True,0,1263.352,0,0
410,110,0,True,0,1199.367,0,0
0,120,0,True,0,835.017,0,0
10,120,0,True,0,959.321,0,0
20,120,0,True,0,1080.257,0,0
30,120,0,True,0,1181.351,0,0
40,120,0,True,0,1253.495,0,0
50,120,0,True,0,1298.883,0,0
