#------------------------------------
2024/08/19 19:16:07  start
2024/08/20 05:30:16  end
x, y, z, status, B, Bx, By, Bz   3 Measure/1point
Area : X500 Y270 Z20 I10 T4284 -Push_Push_Push -Absolute A3
#------------------------------------
0,0,0,True,0,638.401,0,0
0,0,0,True,0,638.404,0,0
0,0,0,True,0,638.401,0,0
10,0,0,True,0,719.407,0,0
10,0,0,True,0,719.428,0,0
10,0,0,True,0,719.421,0,0
20,0,0,True,0,800.888,0,0
20,0,0,True,0,800.862,0,0
20,0,0,True,0,800.862,0,0
30,0,0,True,0,878.135,0,0
30,0,0,True,0,878.091,0,0
30,0,0,True,0,878.107,0,0
40,0,0,True,0,947.863,0,0
40,0,0,True,0,947.834,0,0
40,0,0,True,0,947.85,0,0
50,0,0,True,0,1008.245,0,0
50,0,0,True,0,1008.227,0,0
50,0,0,True,0,1008.235,0,0
60,0,0,True,0,1058.837,0,0
60,0,0,True,0,1058.807,0,0
60,0,0,True,0,1058.803,0,0
70,0,0,True,0,1099.265,0,0
70,0,0,True,0,1099.233,0,0
70,0,0,True,0,1099.232,0,0
80,0,0,True,0,1130.318,0,0
80,0,0,True,0,1130.299,0,0
80,0,0,True,0,1130.294,0,0
90,0,0,True,0,1153.55,0,0
90,0,0,True,0,1153.548,0,0
90,0,0,True,0,1153.548,0,0
100,0,0,True,0,1170.057,0,0
100,0,0,True,0,1170.057,0,0
100,0,0,True,0,1170.063,0,0
110,0,0,True,0,1181.779,0,0
110,0,0,True,0,1181.78,0,0
110,0,0,True,0,1181.778,0,0
120,0,0,True,0,1189.359,0,0
120,0,0,True,0,1189.34,0,0
120,0,0,True,0,1189.345,0,0
130,0,0,True,0,1194.64,0,0
130,0,0,True,0,1194.628,0,0
130,0,0,True,0,1194.626,0,0
140,0,0,True,0,1197.539,0,0
140,0,0,True,0,1197.527,0,0
140,0,0,True,0,1197.529,0,0
150,0,0,True,0,1199.514,0,0
150,0,0,True,0,1199.518,0,0
150,0,0,True,0,1199.514,0,0
160,0,0,True,0,1200.258,0,0
160,0,0,True,0,1200.256,0,0
160,0,0,True,0,1200.252,0,0
170,0,0,True,0,1200.482,0,0
170,0,0,True,0,1200.471,0,0
170,0,0,True,0,1200.465,0,0
180,0,0,True,0,1199.968,0,0
180,0,0,True,0,1199.93,0,0
180,0,0,True,0,1199.93,0,0
190,0,0,True,0,1199.755,0,0
190,0,0,True,0,1199.736,0,0
190,0,0,True,0,1199.731,0,0
200,0,0,True,0,1199.248,0,0
200,0,0,True,0,1199.214,0,0
200,0,0,True,0,1199.205,0,0
210,0,0,True,0,1199.673,0,0
210,0,0,True,0,1199.633,0,0
210,0,0,True,0,1199.626,0,0
220,0,0,True,0,1200.113,0,0
220,0,0,True,0,1200.062,0,0
220,0,0,True,0,1200.064,0,0
230,0,0,True,0,1201.022,0,0
230,0,0,True,0,1200.991,0,0
230,0,0,True,0,1200.985,0,0
240,0,0,True,0,1201.676,0,0
240,0,0,True,0,1201.682,0,0
240,0,0,True,0,1201.685,0,0
250,0,0,True,0,1202.315,0,0
250,0,0,True,0,1202.317,0,0
250,0,0,True,0,1202.318,0,0
260,0,0,True,0,1203.16,0,0
260,0,0,True,0,1203.184,0,0
260,0,0,True,0,1203.179,0,0
270,0,0,True,0,1204.207,0,0
270,0,0,True,0,1204.201,0,0
270,0,0,True,0,1204.201,0,0
280,0,0,True,0,1205.304,0,0
280,0,0,True,0,1205.331,0,0
280,0,0,True,0,1205.328,0,0
290,0,0,True,0,1206.137,0,0
290,0,0,True,0,1206.119,0,0
290,0,0,True,0,1206.122,0,0
300,0,0,True,0,1207.142,0,0
300,0,0,True,0,1207.06,0,0
300,0,0,True,0,1207.053,0,0
310,0,0,True,0,1207.072,0,0
310,0,0,True,0,1207.022,0,0
310,0,0,True,0,1207.034,0,0
320,0,0,True,0,1206.948,0,0
320,0,0,True,0,1207.115,0,0
320,0,0,True,0,1207.081,0,0
330,0,0,True,0,1205.972,0,0
330,0,0,True,0,1206.024,0,0
330,0,0,True,0,1206.061,0,0
340,0,0,True,0,1204.94,0,0
340,0,0,True,0,1204.795,0,0
340,0,0,True,0,1204.761,0,0
350,0,0,True,0,1201.635,0,0
350,0,0,True,0,1201.56,0,0
350,0,0,True,0,1201.607,0,0
360,0,0,True,0,1196.571,0,0
360,0,0,True,0,1196.868,0,0
360,0,0,True,0,1196.852,0,0
370,0,0,True,0,1188.353,0,0
370,0,0,True,0,1188.416,0,0
370,0,0,True,0,1188.441,0,0
380,0,0,True,0,1176.422,0,0
380,0,0,True,0,1176.251,0,0
380,0,0,True,0,1176.251,0,0
390,0,0,True,0,1157.772,0,0
390,0,0,True,0,1157.959,0,0
390,0,0,True,0,1157.926,0,0
400,0,0,True,0,1132.623,0,0
400,0,0,True,0,1132.742,0,0
400,0,0,True,0,1132.754,0,0
410,0,0,True,0,1098.125,0,0
410,0,0,True,0,1098.143,0,0
410,0,0,True,0,1098.133,0,0
420,0,0,True,0,1053.618,0,0
420,0,0,True,0,1053.577,0,0
420,0,0,True,0,1053.58,0,0
430,0,0,True,0,997.863,0,0
430,0,0,True,0,997.843,0,0
430,0,0,True,0,997.829,0,0
440,0,0,True,0,931.885,0,0
440,0,0,True,0,931.878,0,0
440,0,0,True,0,931.873,0,0
450,0,0,True,0,857.107,0,0
450,0,0,True,0,857.124,0,0
450,0,0,True,0,857.113,0,0
460,0,0,True,0,776.351,0,0
460,0,0,True,0,776.341,0,0
460,0,0,True,0,776.352,0,0
470,0,0,True,0,693.495,0,0
470,0,0,True,0,693.473,0,0
470,0,0,True,0,693.477,0,0
480,0,0,True,0,612.958,0,0
480,0,0,True,0,612.948,0,0
480,0,0,True,0,612.944,0,0
490,0,0,True,0,537.928,0,0
490,0,0,True,0,537.909,0,0
490,0,0,True,0,537.908,0,0
500,0,0,True,0,470.449,0,0
500,0,0,True,0,470.436,0,0
500,0,0,True,0,470.434,0,0
0,10,0,True,0,645.943,0,0
0,10,0,True,0,645.926,0,0
0,10,0,True,0,645.92,0,0
10,10,0,True,0,727.796,0,0
10,10,0,True,0,727.78,0,0
10,10,0,True,0,727.778,0,0
20,10,0,True,0,811.558,0,0
20,10,0,True,0,811.553,0,0
20,10,0,True,0,811.551,0,0
30,10,0,True,0,893.052,0,0
30,10,0,True,0,893.032,0,0
30,10,0,True,0,893.036,0,0
40,10,0,True,0,968.379,0,0
40,10,0,True,0,968.377,0,0
40,10,0,True,0,968.375,0,0
50,10,0,True,0,1034.421,0,0
50,10,0,True,0,1034.405,0,0
50,10,0,True,0,1034.404,0,0
60,10,0,True,0,1089.637,0,0
60,10,0,True,0,1089.634,0,0
60,10,0,True,0,1089.628,0,0
70,10,0,True,0,1133.493,0,0
70,10,0,True,0,1133.515,0,0
70,10,0,True,0,1133.514,0,0
80,10,0,True,0,1167.118,0,0
80,10,0,True,0,1167.135,0,0
80,10,0,True,0,1167.138,0,0
90,10,0,True,0,1192.091,0,0
90,10,0,True,0,1192.108,0,0
90,10,0,True,0,1192.101,0,0
100,10,0,True,0,1209.929,0,0
100,10,0,True,0,1209.936,0,0
100,10,0,True,0,1209.937,0,0
110,10,0,True,0,1222.649,0,0
110,10,0,True,0,1222.654,0,0
110,10,0,True,0,1222.656,0,0
120,10,0,True,0,1231.175,0,0
120,10,0,True,0,1231.178,0,0
120,10,0,True,0,1231.176,0,0
130,10,0,True,0,1237.076,0,0
130,10,0,True,0,1237.096,0,0
130,10,0,True,0,1237.098,0,0
140,10,0,True,0,1240.784,0,0
140,10,0,True,0,1240.793,0,0
140,10,0,True,0,1240.796,0,0
150,10,0,True,0,1243.214,0,0
150,10,0,True,0,1243.22,0,0
150,10,0,True,0,1243.219,0,0
160,10,0,True,0,1244.561,0,0
160,10,0,True,0,1244.569,0,0
160,10,0,True,0,1244.572,0,0
170,10,0,True,0,1245.302,0,0
170,10,0,True,0,1245.297,0,0
170,10,0,True,0,1245.292,0,0
180,10,0,True,0,1245.458,0,0
180,10,0,True,0,1245.446,0,0
180,10,0,True,0,1245.448,0,0
190,10,0,True,0,1245.677,0,0
190,10,0,True,0,1245.672,0,0
190,10,0,True,0,1245.663,0,0
200,10,0,True,0,1245.644,0,0
200,10,0,True,0,1245.642,0,0
200,10,0,True,0,1245.637,0,0
210,10,0,True,0,1246.048,0,0
210,10,0,True,0,1246.045,0,0
210,10,0,True,0,1246.041,0,0
220,10,0,True,0,1246.424,0,0
220,10,0,True,0,1246.411,0,0
220,10,0,True,0,1246.411,0,0
230,10,0,True,0,1247.042,0,0
230,10,0,True,0,1247.035,0,0
230,10,0,True,0,1247.04,0,0
240,10,0,True,0,1247.615,0,0
240,10,0,True,0,1247.595,0,0
240,10,0,True,0,1247.593,0,0
250,10,0,True,0,1248.139,0,0
250,10,0,True,0,1248.125,0,0
250,10,0,True,0,1248.12,0,0
260,10,0,True,0,1248.754,0,0
260,10,0,True,0,1248.75,0,0
260,10,0,True,0,1248.757,0,0
270,10,0,True,0,1249.357,0,0
270,10,0,True,0,1249.398,0,0
270,10,0,True,0,1249.391,0,0
280,10,0,True,0,1249.988,0,0
280,10,0,True,0,1250.002,0,0
280,10,0,True,0,1250.009,0,0
290,10,0,True,0,1250.334,0,0
290,10,0,True,0,1250.328,0,0
290,10,0,True,0,1250.324,0,0
300,10,0,True,0,1250.698,0,0
300,10,0,True,0,1250.673,0,0
300,10,0,True,0,1250.67,0,0
310,10,0,True,0,1250.355,0,0
310,10,0,True,0,1250.325,0,0
310,10,0,True,0,1250.344,0,0
320,10,0,True,0,1249.693,0,0
320,10,0,True,0,1249.809,0,0
320,10,0,True,0,1249.78,0,0
330,10,0,True,0,1248.21,0,0
330,10,0,True,0,1248.259,0,0
330,10,0,True,0,1248.279,0,0
340,10,0,True,0,1246.096,0,0
340,10,0,True,0,1246.07,0,0
340,10,0,True,0,1246.053,0,0
350,10,0,True,0,1242.163,0,0
350,10,0,True,0,1242.064,0,0
350,10,0,True,0,1242.087,0,0
360,10,0,True,0,1236.11,0,0
360,10,0,True,0,1236.204,0,0
360,10,0,True,0,1236.175,0,0
370,10,0,True,0,1226.691,0,0
370,10,0,True,0,1226.78,0,0
370,10,0,True,0,1226.802,0,0
380,10,0,True,0,1213.327,0,0
380,10,0,True,0,1213.271,0,0
380,10,0,True,0,1213.268,0,0
390,10,0,True,0,1193.517,0,0
390,10,0,True,0,1193.475,0,0
390,10,0,True,0,1193.487,0,0
400,10,0,True,0,1166.09,0,0
400,10,0,True,0,1166.165,0,0
400,10,0,True,0,1166.156,0,0
410,10,0,True,0,1128.871,0,0
410,10,0,True,0,1128.922,0,0
410,10,0,True,0,1128.927,0,0
420,10,0,True,0,1080.686,0,0
420,10,0,True,0,1080.67,0,0
420,10,0,True,0,1080.667,0,0
430,10,0,True,0,1020.558,0,0
430,10,0,True,0,1020.549,0,0
430,10,0,True,0,1020.537,0,0
440,10,0,True,0,949.635,0,0
440,10,0,True,0,949.607,0,0
440,10,0,True,0,949.606,0,0
450,10,0,True,0,870.267,0,0
450,10,0,True,0,870.265,0,0
450,10,0,True,0,870.266,0,0
460,10,0,True,0,786.294,0,0
460,10,0,True,0,786.29,0,0
460,10,0,True,0,786.29,0,0
470,10,0,True,0,701.724,0,0
470,10,0,True,0,701.726,0,0
470,10,0,True,0,701.718,0,0
480,10,0,True,0,620.614,0,0
480,10,0,True,0,620.606,0,0
480,10,0,True,0,620.606,0,0
490,10,0,True,0,545.402,0,0
490,10,0,True,0,545.399,0,0
490,10,0,True,0,545.395,0,0
500,10,0,True,0,477.863,0,0
500,10,0,True,0,477.86,0,0
500,10,0,True,0,477.86,0,0
0,20,0,True,0,650.771,0,0
0,20,0,True,0,650.758,0,0
0,20,0,True,0,650.755,0,0
10,20,0,True,0,732.389,0,0
10,20,0,True,0,732.366,0,0
10,20,0,True,0,732.37,0,0
20,20,0,True,0,816.419,0,0
20,20,0,True,0,816.399,0,0
20,20,0,True,0,816.397,0,0
30,20,0,True,0,898.824,0,0
30,20,0,True,0,898.803,0,0
30,20,0,True,0,898.803,0,0
40,20,0,True,0,975.72,0,0
40,20,0,True,0,975.716,0,0
40,20,0,True,0,975.712,0,0
50,20,0,True,0,1043.675,0,0
50,20,0,True,0,1043.665,0,0
50,20,0,True,0,1043.663,0,0
60,20,0,True,0,1100.792,0,0
60,20,0,True,0,1100.79,0,0
60,20,0,True,0,1100.787,0,0
70,20,0,True,0,1146.341,0,0
70,20,0,True,0,1146.364,0,0
70,20,0,True,0,1146.368,0,0
80,20,0,True,0,1181.381,0,0
80,20,0,True,0,1181.39,0,0
80,20,0,True,0,1181.39,0,0
90,20,0,True,0,1207.49,0,0
90,20,0,True,0,1207.503,0,0
90,20,0,True,0,1207.496,0,0
100,20,0,True,0,1226.276,0,0
100,20,0,True,0,1226.285,0,0
100,20,0,True,0,1226.285,0,0
110,20,0,True,0,1239.703,0,0
110,20,0,True,0,1239.717,0,0
110,20,0,True,0,1239.715,0,0
120,20,0,True,0,1248.935,0,0
120,20,0,True,0,1248.944,0,0
120,20,0,True,0,1248.94,0,0
130,20,0,True,0,1255.329,0,0
130,20,0,True,0,1255.334,0,0
130,20,0,True,0,1255.336,0,0
140,20,0,True,0,1259.551,0,0
140,20,0,True,0,1259.552,0,0
140,20,0,True,0,1259.56,0,0
150,20,0,True,0,1262.396,0,0
150,20,0,True,0,1262.395,0,0
150,20,0,True,0,1262.395,0,0
160,20,0,True,0,1264.184,0,0
160,20,0,True,0,1264.192,0,0
160,20,0,True,0,1264.186,0,0
170,20,0,True,0,1265.316,0,0
170,20,0,True,0,1265.319,0,0
170,20,0,True,0,1265.317,0,0
180,20,0,True,0,1265.952,0,0
180,20,0,True,0,1265.959,0,0
180,20,0,True,0,1265.958,0,0
190,20,0,True,0,1266.445,0,0
190,20,0,True,0,1266.445,0,0
190,20,0,True,0,1266.447,0,0
200,20,0,True,0,1266.738,0,0
200,20,0,True,0,1266.745,0,0
200,20,0,True,0,1266.733,0,0
210,20,0,True,0,1267.178,0,0
210,20,0,True,0,1267.172,0,0
210,20,0,True,0,1267.179,0,0
220,20,0,True,0,1267.558,0,0
220,20,0,True,0,1267.56,0,0
220,20,0,True,0,1267.561,0,0
230,20,0,True,0,1268.047,0,0
230,20,0,True,0,1268.045,0,0
230,20,0,True,0,1268.038,0,0
240,20,0,True,0,1268.499,0,0
240,20,0,True,0,1268.498,0,0
240,20,0,True,0,1268.504,0,0
250,20,0,True,0,1268.908,0,0
250,20,0,True,0,1268.903,0,0
250,20,0,True,0,1268.908,0,0
260,20,0,True,0,1269.396,0,0
260,20,0,True,0,1269.384,0,0
260,20,0,True,0,1269.388,0,0
270,20,0,True,0,1269.762,0,0
270,20,0,True,0,1269.78,0,0
270,20,0,True,0,1269.775,0,0
280,20,0,True,0,1270.082,0,0
280,20,0,True,0,1270.101,0,0
280,20,0,True,0,1270.099,0,0
290,20,0,True,0,1270.173,0,0
290,20,0,True,0,1270.169,0,0
290,20,0,True,0,1270.18,0,0
300,20,0,True,0,1270.177,0,0
300,20,0,True,0,1270.149,0,0
300,20,0,True,0,1270.15,0,0
310,20,0,True,0,1269.622,0,0
310,20,0,True,0,1269.584,0,0
310,20,0,True,0,1269.592,0,0
320,20,0,True,0,1268.62,0,0
320,20,0,True,0,1268.663,0,0
320,20,0,True,0,1268.653,0,0
330,20,0,True,0,1266.792,0,0
330,20,0,True,0,1266.826,0,0
330,20,0,True,0,1266.842,0,0
340,20,0,True,0,1264.096,0,0
340,20,0,True,0,1264.093,0,0
340,20,0,True,0,1264.094,0,0
350,20,0,True,0,1259.687,0,0
350,20,0,True,0,1259.621,0,0
350,20,0,True,0,1259.63,0,0
360,20,0,True,0,1252.988,0,0
360,20,0,True,0,1253.034,0,0
360,20,0,True,0,1253.018,0,0
370,20,0,True,0,1242.924,0,0
370,20,0,True,0,1242.982,0,0
370,20,0,True,0,1242.993,0,0
380,20,0,True,0,1228.484,0,0
380,20,0,True,0,1228.541,0,0
380,20,0,True,0,1228.553,0,0
390,20,0,True,0,1207.777,0,0
390,20,0,True,0,1207.814,0,0
390,20,0,True,0,1207.824,0,0
400,20,0,True,0,1179.228,0,0
400,20,0,True,0,1179.222,0,0
400,20,0,True,0,1179.222,0,0
410,20,0,True,0,1140.628,0,0
410,20,0,True,0,1140.629,0,0
410,20,0,True,0,1140.62,0,0
420,20,0,True,0,1090.768,0,0
420,20,0,True,0,1090.735,0,0
420,20,0,True,0,1090.734,0,0
430,20,0,True,0,1028.995,0,0
430,20,0,True,0,1028.972,0,0
430,20,0,True,0,1028.971,0,0
440,20,0,True,0,956.504,0,0
440,20,0,True,0,956.465,0,0
440,20,0,True,0,956.48,0,0
450,20,0,True,0,875.983,0,0
450,20,0,True,0,875.967,0,0
450,20,0,True,0,875.971,0,0
460,20,0,True,0,791.43,0,0
460,20,0,True,0,791.424,0,0
460,20,0,True,0,791.413,0,0
470,20,0,True,0,706.792,0,0
470,20,0,True,0,706.779,0,0
470,20,0,True,0,706.782,0,0
480,20,0,True,0,625.948,0,0
480,20,0,True,0,625.952,0,0
480,20,0,True,0,625.945,0,0
490,20,0,True,0,551.021,0,0
490,20,0,True,0,551.015,0,0
490,20,0,True,0,551.015,0,0
500,20,0,True,0,483.616,0,0
500,20,0,True,0,483.61,0,0
500,20,0,True,0,483.611,0,0
0,30,0,True,0,654.102,0,0
0,30,0,True,0,654.083,0,0
0,30,0,True,0,654.081,0,0
10,30,0,True,0,735.02,0,0
10,30,0,True,0,734.989,0,0
10,30,0,True,0,735.001,0,0
20,30,0,True,0,818.535,0,0
20,30,0,True,0,818.507,0,0
20,30,0,True,0,818.524,0,0
30,30,0,True,0,900.715,0,0
30,30,0,True,0,900.698,0,0
30,30,0,True,0,900.699,0,0
40,30,0,True,0,977.743,0,0
40,30,0,True,0,977.723,0,0
40,30,0,True,0,977.721,0,0
50,30,0,True,0,1046.114,0,0
50,30,0,True,0,1046.108,0,0
50,30,0,True,0,1046.101,0,0
60,30,0,True,0,1103.855,0,0
60,30,0,True,0,1103.857,0,0
60,30,0,True,0,1103.853,0,0
70,30,0,True,0,1150.117,0,0
70,30,0,True,0,1150.129,0,0
70,30,0,True,0,1150.118,0,0
80,30,0,True,0,1185.897,0,0
80,30,0,True,0,1185.913,0,0
80,30,0,True,0,1185.917,0,0
90,30,0,True,0,1212.632,0,0
90,30,0,True,0,1212.654,0,0
90,30,0,True,0,1212.655,0,0
100,30,0,True,0,1232.049,0,0
100,30,0,True,0,1232.062,0,0
100,30,0,True,0,1232.065,0,0
110,30,0,True,0,1245.97,0,0
110,30,0,True,0,1245.988,0,0
110,30,0,True,0,1245.982,0,0
120,30,0,True,0,1255.694,0,0
120,30,0,True,0,1255.697,0,0
120,30,0,True,0,1255.7,0,0
130,30,0,True,0,1262.464,0,0
130,30,0,True,0,1262.463,0,0
130,30,0,True,0,1262.461,0,0
140,30,0,True,0,1267.065,0,0
140,30,0,True,0,1267.061,0,0
140,30,0,True,0,1267.062,0,0
150,30,0,True,0,1270.216,0,0
150,30,0,True,0,1270.217,0,0
150,30,0,True,0,1270.218,0,0
