#------------------------------------
2024/09/06 13:53:16  start
2024/09/07 11:36:53  end
x, y, z, status, B, Bx, By, Bz   1 Measure/1point
Area : X85 Y55 Z55 I2.5 T18515 -Push_Push_Push -Absolute A1
#------------------------------------
0,0,0,True,0,-30.091,0,0
2.5,0,0,True,0,-30.129,0,0
5.0,0,0,True,0,-30.141,0,0
7.5,0,0,True,0,-30.174,0,0
10.0,0,0,True,0,-30.197,0,0
12.5,0,0,True,0,-30.206,0,0
15.0,0,0,True,0,-30.26,0,0
17.5,0,0,True,0,-30.265,0,0
20.0,0,0,True,0,-30.281,0,0
22.5,0,0,True,0,-30.329,0,0
25.0,0,0,True,0,-30.351,0,0
27.5,0,0,True,0,-30.383,0,0
30.0,0,0,True,0,-30.4,0,0
32.5,0,0,True,0,-30.397,0,0
35.0,0,0,True,0,-30.439,0,0
37.5,0,0,True,0,-30.446,0,0
40.0,0,0,True,0,-30.454,0,0
42.5,0,0,True,0,-30.487,0,0
45.0,0,0,True,0,-30.523,0,0
47.5,0,0,True,0,-30.517,0,0
50.0,0,0,True,0,-30.532,0,0
52.5,0,0,True,0,-30.548,0,0
55.0,0,0,True,0,-30.564,0,0
57.5,0,0,True,0,-30.585,0,0
60.0,0,0,True,0,-30.588,0,0
62.5,0,0,True,0,-30.6,0,0
65.0,0,0,True,0,-30.63,0,0
67.5,0,0,True,0,-30.639,0,0
70.0,0,0,True,0,-30.653,0,0
72.5,0,0,True,0,-30.654,0,0
75.0,0,0,True,0,-30.662,0,0
77.5,0,0,True,0,-30.701,0,0
80.0,0,0,True,0,-30.699,0,0
82.5,0,0,True,0,-30.693,0,0
85.0,0,0,True,0,-30.707,0,0
0,2.5,0,True,0,-29.723,0,0
2.5,2.5,0,True,0,-29.741,0,0
5.0,2.5,0,True,0,-29.784,0,0
7.5,2.5,0,True,0,-29.791,0,0
10.0,2.5,0,True,0,-29.831,0,0
12.5,2.5,0,True,0,-29.848,0,0
15.0,2.5,0,True,0,-29.869,0,0
17.5,2.5,0,True,0,-29.897,0,0
20.0,2.5,0,True,0,-29.919,0,0
22.5,2.5,0,True,0,-29.949,0,0
25.0,2.5,0,True,0,-29.96,0,0
27.5,2.5,0,True,0,-30.007,0,0
30.0,2.5,0,True,0,-30.007,0,0
32.5,2.5,0,True,0,-30.044,0,0
35.0,2.5,0,True,0,-30.059,0,0
37.5,2.5,0,True,0,-30.066,0,0
40.0,2.5,0,True,0,-30.106,0,0
42.5,2.5,0,True,0,-30.103,0,0
45.0,2.5,0,True,0,-30.132,0,0
47.5,2.5,0,True,0,-30.147,0,0
50.0,2.5,0,True,0,-30.166,0,0
52.5,2.5,0,True,0,-30.168,0,0
55.0,2.5,0,True,0,-30.181,0,0
57.5,2.5,0,True,0,-30.218,0,0
60.0,2.5,0,True,0,-30.23,0,0
62.5,2.5,0,True,0,-30.241,0,0
65.0,2.5,0,True,0,-30.252,0,0
67.5,2.5,0,True,0,-30.269,0,0
70.0,2.5,0,True,0,-30.273,0,0
72.5,2.5,0,True,0,-30.28,0,0
75.0,2.5,0,True,0,-30.299,0,0
77.5,2.5,0,True,0,-30.303,0,0
80.0,2.5,0,True,0,-30.318,0,0
82.5,2.5,0,True,0,-30.332,0,0
85.0,2.5,0,True,0,-30.343,0,0
0,5.0,0,True,0,-29.345,0,0
2.5,5.0,0,True,0,-29.362,0,0
5.0,5.0,0,True,0,-29.382,0,0
7.5,5.0,0,True,0,-29.423,0,0
10.0,5.0,0,True,0,-29.43,0,0
12.5,5.0,0,True,0,-29.458,0,0
15.0,5.0,0,True,0,-29.479,0,0
17.5,5.0,0,True,0,-29.506,0,0
20.0,5.0,0,True,0,-29.533,0,0
22.5,5.0,0,True,0,-29.572,0,0
25.0,5.0,0,True,0,-29.58,0,0
27.5,5.0,0,True,0,-29.624,0,0
30.0,5.0,0,True,0,-29.638,0,0
32.5,5.0,0,True,0,-29.653,0,0
35.0,5.0,0,True,0,-29.673,0,0
37.5,5.0,0,True,0,-29.7,0,0
40.0,5.0,0,True,0,-29.693,0,0
42.5,5.0,0,True,0,-29.723,0,0
45.0,5.0,0,True,0,-29.741,0,0
47.5,5.0,0,True,0,-29.749,0,0
50.0,5.0,0,True,0,-29.794,0,0
52.5,5.0,0,True,0,-29.805,0,0
55.0,5.0,0,True,0,-29.792,0,0
57.5,5.0,0,True,0,-29.823,0,0
60.0,5.0,0,True,0,-29.837,0,0
62.5,5.0,0,True,0,-29.848,0,0
65.0,5.0,0,True,0,-29.872,0,0
67.5,5.0,0,True,0,-29.862,0,0
70.0,5.0,0,True,0,-29.897,0,0
72.5,5.0,0,True,0,-29.892,0,0
75.0,5.0,0,True,0,-29.924,0,0
77.5,5.0,0,True,0,-29.914,0,0
80.0,5.0,0,True,0,-29.938,0,0
82.5,5.0,0,True,0,-29.953,0,0
85.0,5.0,0,True,0,-29.95,0,0
0,7.5,0,True,0,-29.008,0,0
2.5,7.5,0,True,0,-29.027,0,0
5.0,7.5,0,True,0,-29.064,0,0
7.5,7.5,0,True,0,-29.073,0,0
10.0,7.5,0,True,0,-29.112,0,0
12.5,7.5,0,True,0,-29.135,0,0
15.0,7.5,0,True,0,-29.158,0,0
17.5,7.5,0,True,0,-29.184,0,0
