#------------------------------------
2024/09/09 13:37:19  start
2024/09/10 11:20:57  end
x, y, z, status, B, Bx, By, Bz   1 Measure/1point
Area : X85 Y55 Z55 I2.5 T18515 -Push_Push_Push -Absolute A1
#------------------------------------
0,0,0,True,0,1278.003,0,0
2.5,0,0,True,0,1278.326,0,0
5.0,0,0,True,0,1278.616,0,0
7.5,0,0,True,0,1278.895,0,0
10.0,0,0,True,0,1279.167,0,0
12.5,0,0,True,0,1279.412,0,0
15.0,0,0,True,0,1279.64,0,0
17.5,0,0,True,0,1279.857,0,0
20.0,0,0,True,0,1280.065,0,0
22.5,0,0,True,0,1280.268,0,0
25.0,0,0,True,0,1280.463,0,0
27.5,0,0,True,0,1280.645,0,0
30.0,0,0,True,0,1280.835,0,0
32.5,0,0,True,0,1281.001,0,0
35.0,0,0,True,0,1281.181,0,0
37.5,0,0,True,0,1281.332,0,0
40.0,0,0,True,0,1281.49,0,0
42.5,0,0,True,0,1281.668,0,0
45.0,0,0,True,0,1281.816,0,0
47.5,0,0,True,0,1281.956,0,0
50.0,0,0,True,0,1282.101,0,0
52.5,0,0,True,0,1282.251,0,0
55.0,0,0,True,0,1282.393,0,0
57.5,0,0,True,0,1282.53,0,0
60.0,0,0,True,0,1282.646,0,0
62.5,0,0,True,0,1282.784,0,0
65.0,0,0,True,0,1282.911,0,0
67.5,0,0,True,0,1283.036,0,0
70.0,0,0,True,0,1283.165,0,0
72.5,0,0,True,0,1283.266,0,0
75.0,0,0,True,0,1283.391,0,0
77.5,0,0,True,0,1283.5,0,0
80.0,0,0,True,0,1283.618,0,0
82.5,0,0,True,0,1283.715,0,0
85.0,0,0,True,0,1283.821,0,0
0,2.5,0,True,0,1277.651,0,0
2.5,2.5,0,True,0,1277.972,0,0
5.0,2.5,0,True,0,1278.264,0,0
7.5,2.5,0,True,0,1278.538,0,0
10.0,2.5,0,True,0,1278.811,0,0
12.5,2.5,0,True,0,1279.068,0,0
15.0,2.5,0,True,0,1279.308,0,0
17.5,2.5,0,True,0,1279.532,0,0
20.0,2.5,0,True,0,1279.749,0,0
22.5,2.5,0,True,0,1279.97,0,0
25.0,2.5,0,True,0,1280.181,0,0
27.5,2.5,0,True,0,1280.363,0,0
30.0,2.5,0,True,0,1280.562,0,0
32.5,2.5,0,True,0,1280.74,0,0
35.0,2.5,0,True,0,1280.911,0,0
37.5,2.5,0,True,0,1281.077,0,0
40.0,2.5,0,True,0,1281.254,0,0
42.5,2.5,0,True,0,1281.409,0,0
45.0,2.5,0,True,0,1281.568,0,0
47.5,2.5,0,True,0,1281.709,0,0
50.0,2.5,0,True,0,1281.865,0,0
52.5,2.5,0,True,0,1282.012,0,0
55.0,2.5,0,True,0,1282.157,0,0
57.5,2.5,0,True,0,1282.282,0,0
60.0,2.5,0,True,0,1282.419,0,0
62.5,2.5,0,True,0,1282.546,0,0
65.0,2.5,0,True,0,1282.677,0,0
67.5,2.5,0,True,0,1282.792,0,0
70.0,2.5,0,True,0,1282.922,0,0
72.5,2.5,0,True,0,1283.036,0,0
75.0,2.5,0,True,0,1283.152,0,0
77.5,2.5,0,True,0,1283.26,0,0
80.0,2.5,0,True,0,1283.378,0,0
82.5,2.5,0,True,0,1283.482,0,0
85.0,2.5,0,True,0,1283.569,0,0
0,5.0,0,True,0,1277.428,0,0
2.5,5.0,0,True,0,1277.733,0,0
5.0,5.0,0,True,0,1278.037,0,0
7.5,5.0,0,True,0,1278.315,0,0
10.0,5.0,0,True,0,1278.59,0,0
12.5,5.0,0,True,0,1278.834,0,0
15.0,5.0,0,True,0,1279.078,0,0
17.5,5.0,0,True,0,1279.296,0,0
20.0,5.0,0,True,0,1279.525,0,0
22.5,5.0,0,True,0,1279.747,0,0
25.0,5.0,0,True,0,1279.938,0,0
27.5,5.0,0,True,0,1280.133,0,0
30.0,5.0,0,True,0,1280.333,0,0
32.5,5.0,0,True,0,1280.51,0,0
35.0,5.0,0,True,0,1280.693,0,0
37.5,5.0,0,True,0,1280.865,0,0
40.0,5.0,0,True,0,1281.021,0,0
42.5,5.0,0,True,0,1281.192,0,0
45.0,5.0,0,True,0,1281.344,0,0
47.5,5.0,0,True,0,1281.5,0,0
50.0,5.0,0,True,0,1281.637,0,0
52.5,5.0,0,True,0,1281.783,0,0
55.0,5.0,0,True,0,1281.924,0,0
57.5,5.0,0,True,0,1282.063,0,0
60.0,5.0,0,True,0,1282.191,0,0
62.5,5.0,0,True,0,1282.315,0,0
65.0,5.0,0,True,0,1282.453,0,0
67.5,5.0,0,True,0,1282.564,0,0
70.0,5.0,0,True,0,1282.697,0,0
72.5,5.0,0,True,0,1282.811,0,0
75.0,5.0,0,True,0,1282.927,0,0
77.5,5.0,0,True,0,1283.031,0,0
80.0,5.0,0,True,0,1283.145,0,0
82.5,5.0,0,True,0,1283.249,0,0
85.0,5.0,0,True,0,1283.345,0,0
0,7.5,0,True,0,1277.199,0,0
2.5,7.5,0,True,0,1277.513,0,0
5.0,7.5,0,True,0,1277.805,0,0
7.5,7.5,0,True,0,1278.098,0,0
10.0,7.5,0,True,0,1278.365,0,0
12.5,7.5,0,True,0,1278.613,0,0
15.0,7.5,0,True,0,1278.851,0,0
17.5,7.5,0,True,0,1279.089,0,0
