#------------------------------------
2025/02/06 15:33:21  start
2025/02/06 16:18:00  end
x, y, z, status, B, Bx, By, Bz   1 Measure/1point
Area : X100 Y60 Z60 I10 T539 -Push_Push_Push -Absolute A1
#------------------------------------
0,0,0,True,0,1559.805,0,0
10,0,0,True,0,1561.251,0,0
20,0,0,True,0,1562.092,0,0
30,0,0,True,0,1562.534,0,0
40,0,0,True,0,1562.905,0,0
50,0,0,True,0,1563.194,0,0
60,0,0,True,0,1563.599,0,0
70,0,0,True,0,1564.15,0,0
80,0,0,True,0,1564.808,0,0
90,0,0,True,0,1565.519,0,0
100,0,0,True,0,1566.445,0,0
0,10,0,True,0,1557.234,0,0
10,10,0,True,0,1559.664,0,0
20,10,0,True,0,1561.177,0,0
30,10,0,True,0,1562.1,0,0
40,10,0,True,0,1562.704,0,0
50,10,0,True,0,1563.262,0,0
60,10,0,True,0,1563.641,0,0
70,10,0,True,0,1564.083,0,0
80,10,0,True,0,1564.685,0,0
90,10,0,True,0,1565.174,0,0
100,10,0,True,0,1565.603,0,0
0,20,0,True,0,1555.437,0,0
10,20,0,True,0,1558.635,0,0
20,20,0,True,0,1560.535,0,0
30,20,0,True,0,1561.817,0,0
40,20,0,True,0,1562.587,0,0
50,20,0,True,0,1563.16,0,0
60,20,0,True,0,1563.653,0,0
70,20,0,True,0,1564.138,0,0
80,20,0,True,0,1564.602,0,0
90,20,0,True,0,1564.933,0,0
100,20,0,True,0,1565.007,0,0
0,30,0,True,0,1554.807,0,0
10,30,0,True,0,1558.282,0,0
20,30,0,True,0,1560.364,0,0
30,30,0,True,0,1561.686,0,0
40,30,0,True,0,1562.523,0,0
50,30,0,True,0,1563.17,0,0
60,30,0,True,0,1563.694,0,0
70,30,0,True,0,1564.243,0,0
80,30,0,True,0,1564.659,0,0
90,30,0,True,0,1564.9,0,0
100,30,0,True,0,1564.887,0,0
0,40,0,True,0,1555.397,0,0
10,40,0,True,0,1558.741,0,0
20,40,0,True,0,1560.677,0,0
30,40,0,True,0,1561.902,0,0
40,40,0,True,0,1562.753,0,0
50,40,0,True,0,1563.337,0,0
60,40,0,True,0,1563.858,0,0
70,40,0,True,0,1564.365,0,0
80,40,0,True,0,1564.752,0,0
90,40,0,True,0,1565.134,0,0
100,40,0,True,0,1565.113,0,0
0,50,0,True,0,1557.259,0,0
10,50,0,True,0,1559.927,0,0
20,50,0,True,0,1561.446,0,0
30,50,0,True,0,1562.35,0,0
40,50,0,True,0,1563.122,0,0
50,50,0,True,0,1563.623,0,0
60,50,0,True,0,1564.094,0,0
70,50,0,True,0,1564.636,0,0
80,50,0,True,0,1565.091,0,0
90,50,0,True,0,1565.565,0,0
100,50,0,True,0,1565.856,0,0
0,60,0,True,0,1560.058,0,0
10,60,0,True,0,1561.665,0,0
20,60,0,True,0,1562.582,0,0
30,60,0,True,0,1563.083,0,0
40,60,0,True,0,1563.434,0,0
50,60,0,True,0,1563.857,0,0
60,60,0,True,0,1564.212,0,0
70,60,0,True,0,1564.743,0,0
80,60,0,True,0,1565.382,0,0
90,60,0,True,0,1566.159,0,0
100,60,0,True,0,1566.764,0,0
0,0,10,True,0,1557.495,0,0
10,0,10,True,0,1559.873,0,0
20,0,10,True,0,1561.273,0,0
30,0,10,True,0,1562.107,0,0
40,0,10,True,0,1562.747,0,0
50,0,10,True,0,1563.247,0,0
60,0,10,True,0,1563.685,0,0
70,0,10,True,0,1564.202,0,0
80,0,10,True,0,1564.658,0,0
90,0,10,True,0,1565.242,0,0
100,0,10,True,0,1565.613,0,0
0,10,10,True,0,1554.522,0,0
10,10,10,True,0,1558.057,0,0
20,10,10,True,0,1560.227,0,0
30,10,10,True,0,1561.558,0,0
40,10,10,True,0,1562.368,0,0
50,10,10,True,0,1563.077,0,0
60,10,10,True,0,1563.619,0,0
70,10,10,True,0,1564.06,0,0
80,10,10,True,0,1564.449,0,0
90,10,10,True,0,1564.679,0,0
100,10,10,True,0,1564.542,0,0
0,20,10,True,0,1552.662,0,0
10,20,10,True,0,1556.844,0,0
20,20,10,True,0,1559.556,0,0
30,20,10,True,0,1561.25,0,0
40,20,10,True,0,1562.36,0,0
50,20,10,True,0,1563.113,0,0
60,20,10,True,0,1563.673,0,0
70,20,10,True,0,1564.105,0,0
80,20,10,True,0,1564.319,0,0
90,20,10,True,0,1564.354,0,0
100,20,10,True,0,1563.829,0,0
0,30,10,True,0,1551.998,0,0
10,30,10,True,0,1556.513,0,0
20,30,10,True,0,1559.346,0,0
30,30,10,True,0,1561.1,0,0
40,30,10,True,0,1562.286,0,0
50,30,10,True,0,1563.063,0,0
60,30,10,True,0,1563.705,0,0
70,30,10,True,0,1564.086,0,0
80,30,10,True,0,1564.289,0,0
90,30,10,True,0,1564.216,0,0
100,30,10,True,0,1563.552,0,0
0,40,10,True,0,1552.665,0,0
10,40,10,True,0,1556.99,0,0
20,40,10,True,0,1559.664,0,0
30,40,10,True,0,1561.318,0,0
40,40,10,True,0,1562.462,0,0
50,40,10,True,0,1563.222,0,0
60,40,10,True,0,1563.804,0,0
70,40,10,True,0,1564.198,0,0
80,40,10,True,0,1564.444,0,0
90,40,10,True,0,1564.398,0,0
100,40,10,True,0,1563.825,0,0
0,50,10,True,0,1554.661,0,0
10,50,10,True,0,1558.157,0,0
20,50,10,True,0,1560.454,0,0
30,50,10,True,0,1561.843,0,0
40,50,10,True,0,1562.824,0,0
50,50,10,True,0,1563.507,0,0
60,50,10,True,0,1564.027,0,0
70,50,10,True,0,1564.378,0,0
80,50,10,True,0,1564.759,0,0
90,50,10,True,0,1564.923,0,0
100,50,10,True,0,1564.611,0,0
0,60,10,True,0,1557.541,0,0
10,60,10,True,0,1560.225,0,0
20,60,10,True,0,1561.693,0,0
30,60,10,True,0,1562.602,0,0
40,60,10,True,0,1563.254,0,0
50,60,10,True,0,1563.799,0,0
60,60,10,True,0,1564.183,0,0
70,60,10,True,0,1564.663,0,0
80,60,10,True,0,1565.211,0,0
90,60,10,True,0,1565.585,0,0
100,60,10,True,0,1565.751,0,0
0,0,20,True,0,1556.129,0,0
10,0,20,True,0,1559.133,0,0
20,0,20,True,0,1560.884,0,0
30,0,20,True,0,1561.972,0,0
40,0,20,True,0,1562.737,0,0
50,0,20,True,0,1563.374,0,0
60,0,20,True,0,1563.845,0,0
70,0,20,True,0,1564.296,0,0
80,0,20,True,0,1564.676,0,0
90,0,20,True,0,1564.994,0,0
100,0,20,True,0,1565.017,0,0
0,10,20,True,0,1553.114,0,0
10,10,20,True,0,1557.188,0,0
20,10,20,True,0,1559.785,0,0
30,10,20,True,0,1561.35,0,0
40,10,20,True,0,1562.39,0,0
50,10,20,True,0,1563.147,0,0
60,10,20,True,0,1563.694,0,0
70,10,20,True,0,1564.064,0,0
80,10,20,True,0,1564.364,0,0
90,10,20,True,0,1564.256,0,0
100,10,20,True,0,1563.763,0,0
0,20,20,True,0,1551.018,0,0
10,20,20,True,0,1555.823,0,0
20,20,20,True,0,1558.869,0,0
30,20,20,True,0,1560.886,0,0
40,20,20,True,0,1562.133,0,0
50,20,20,True,0,1563.007,0,0
60,20,20,True,0,1563.551,0,0
70,20,20,True,0,1563.962,0,0
80,20,20,True,0,1564.078,0,0
90,20,20,True,0,1563.754,0,0
100,20,20,True,0,1562.891,0,0
0,30,20,True,0,1550.274,0,0
10,30,20,True,0,1555.423,0,0
20,30,20,True,0,1558.692,0,0
30,30,20,True,0,1560.742,0,0
40,30,20,True,0,1562.108,0,0
50,30,20,True,0,1562.918,0,0
60,30,20,True,0,1563.5,0,0
70,30,20,True,0,1563.903,0,0
80,30,20,True,0,1564.015,0,0
90,30,20,True,0,1563.67,0,0
100,30,20,True,0,1562.653,0,0
0,40,20,True,0,1550.966,0,0
10,40,20,True,0,1555.91,0,0
20,40,20,True,0,1559.066,0,0
30,40,20,True,0,1561.014,0,0
40,40,20,True,0,1562.234,0,0
50,40,20,True,0,1563.154,0,0
60,40,20,True,0,1563.692,0,0
70,40,20,True,0,1564.114,0,0
80,40,20,True,0,1564.261,0,0
90,40,20,True,0,1563.939,0,0
100,40,20,True,0,1562.922,0,0
0,50,20,True,0,1553.085,0,0
10,50,20,True,0,1557.218,0,0
20,50,20,True,0,1559.868,0,0
30,50,20,True,0,1561.605,0,0
40,50,20,True,0,1562.606,0,0
50,50,20,True,0,1563.387,0,0
60,50,20,True,0,1563.884,0,0
70,50,20,True,0,1564.272,0,0
80,50,20,True,0,1564.454,0,0
90,50,20,True,0,1564.38,0,0
100,50,20,True,0,1563.739,0,0
0,60,20,True,0,1556.184,0,0
10,60,20,True,0,1559.309,0,0
20,60,20,True,0,1561.194,0,0
30,60,20,True,0,1562.344,0,0
40,60,20,True,0,1563.12,0,0
50,60,20,True,0,1563.708,0,0
60,60,20,True,0,1564.136,0,0
70,60,20,True,0,1564.554,0,0
80,60,20,True,0,1564.945,0,0
90,60,20,True,0,1565.199,0,0
100,60,20,True,0,1564.982,0,0
0,0,30,True,0,1555.917,0,0
10,0,30,True,0,1559.016,0,0
20,0,30,True,0,1560.934,0,0
30,0,30,True,0,1562.068,0,0
40,0,30,True,0,1562.885,0,0
50,0,30,True,0,1563.46,0,0
60,0,30,True,0,1563.953,0,0
70,0,30,True,0,1564.393,0,0
80,0,30,True,0,1564.73,0,0
90,0,30,True,0,1564.96,0,0
100,0,30,True,0,1564.838,0,0
0,10,30,True,0,1552.783,0,0
10,10,30,True,0,1557.089,0,0
20,10,30,True,0,1559.805,0,0
30,10,30,True,0,1561.45,0,0
40,10,30,True,0,1562.524,0,0
50,10,30,True,0,1563.251,0,0
60,10,30,True,0,1563.899,0,0
70,10,30,True,0,1564.174,0,0
80,10,30,True,0,1564.388,0,0
90,10,30,True,0,1564.257,0,0
100,10,30,True,0,1563.573,0,0
0,20,30,True,0,1550.803,0,0
10,20,30,True,0,1555.806,0,0
20,20,30,True,0,1558.924,0,0
30,20,30,True,0,1560.94,0,0
40,20,30,True,0,1562.303,0,0
50,20,30,True,0,1563.067,0,0
60,20,30,True,0,1563.703,0,0
70,20,30,True,0,1564.051,0,0
80,20,30,True,0,1564.176,0,0
90,20,30,True,0,1563.761,0,0
100,20,30,True,0,1562.76,0,0
0,30,30,True,0,1550.081,0,0
10,30,30,True,0,1555.267,0,0
20,30,30,True,0,1558.681,0,0
30,30,30,True,0,1560.818,0,0
40,30,30,True,0,1562.165,0,0
50,30,30,True,0,1563.034,0,0
60,30,30,True,0,1563.654,0,0
70,30,30,True,0,1564.04,0,0
80,30,30,True,0,1564.008,0,0
90,30,30,True,0,1563.577,0,0
100,30,30,True,0,1562.38,0,0
0,40,30,True,0,1550.812,0,0
10,40,30,True,0,1555.815,0,0
20,40,30,True,0,1558.981,0,0
30,40,30,True,0,1560.989,0,0
40,40,30,True,0,1562.287,0,0
50,40,30,True,0,1563.159,0,0
60,40,30,True,0,1563.717,0,0
70,40,30,True,0,1564.1,0,0
80,40,30,True,0,1564.086,0,0
90,40,30,True,0,1563.736,0,0
100,40,30,True,0,1562.642,0,0
0,50,30,True,0,1552.756,0,0
10,50,30,True,0,1557.156,0,0
20,50,30,True,0,1559.884,0,0
30,50,30,True,0,1561.6,0,0
40,50,30,True,0,1562.712,0,0
