#------------------------------------
2025/02/06 16:50:57  start
2025/02/06 17:35:59  end
x, y, z, status, B, Bx, By, Bz   1 Measure/1point
Area : X100 Y60 Z60 I10 T539 -Push_Push_Push -Absolute A1
#------------------------------------
0,0,0,True,0,71.302,0,0
10,0,0,True,0,68.369,0,0
20,0,0,True,0,66.613,0,0
30,0,0,True,0,65.658,0,0
40,0,0,True,0,65.146,0,0
50,0,0,True,0,64.93,0,0
60,0,0,True,0,64.931,0,0
70,0,0,True,0,64.999,0,0
80,0,0,True,0,64.975,0,0
90,0,0,True,0,64.907,0,0
100,0,0,True,0,64.482,0,0
0,10,0,True,0,69.528,0,0
10,10,0,True,0,67.396,0,0
20,10,0,True,0,66.091,0,0
30,10,0,True,0,65.401,0,0
40,10,0,True,0,64.999,0,0
50,10,0,True,0,64.836,0,0
60,10,0,True,0,64.848,0,0
70,10,0,True,0,64.892,0,0
80,10,0,True,0,64.86,0,0
90,10,0,True,0,64.774,0,0
100,10,0,True,0,64.389,0,0
0,20,0,True,0,66.723,0,0
10,20,0,True,0,65.653,0,0
20,20,0,True,0,65.029,0,0
30,20,0,True,0,64.71,0,0
40,20,0,True,0,64.553,0,0
50,20,0,True,0,64.487,0,0
60,20,0,True,0,64.559,0,0
70,20,0,True,0,64.633,0,0
80,20,0,True,0,64.657,0,0
90,20,0,True,0,64.648,0,0
100,20,0,True,0,64.454,0,0
0,30,0,True,0,63.465,0,0
10,30,0,True,0,63.634,0,0
20,30,0,True,0,63.757,0,0
30,30,0,True,0,63.907,0,0
40,30,0,True,0,64.023,0,0
50,30,0,True,0,64.119,0,0
60,30,0,True,0,64.281,0,0
70,30,0,True,0,64.424,0,0
80,30,0,True,0,64.509,0,0
90,30,0,True,0,64.652,0,0
100,30,0,True,0,64.717,0,0
0,40,0,True,0,60.069,0,0
10,40,0,True,0,61.422,0,0
20,40,0,True,0,62.316,0,0
30,40,0,True,0,62.941,0,0
40,40,0,True,0,63.318,0,0
50,40,0,True,0,63.577,0,0
60,40,0,True,0,63.823,0,0
70,40,0,True,0,64.022,0,0
80,40,0,True,0,64.205,0,0
90,40,0,True,0,64.5,0,0
100,40,0,True,0,64.849,0,0
0,50,0,True,0,57.285,0,0
10,50,0,True,0,59.682,0,0
20,50,0,True,0,61.221,0,0
30,50,0,True,0,62.203,0,0
40,50,0,True,0,62.804,0,0
50,50,0,True,0,63.161,0,0
60,50,0,True,0,63.466,0,0
70,50,0,True,0,63.703,0,0
80,50,0,True,0,63.933,0,0
90,50,0,True,0,64.342,0,0
100,50,0,True,0,64.923,0,0
0,60,0,True,0,55.257,0,0
10,60,0,True,0,58.382,0,0
20,60,0,True,0,60.347,0,0
30,60,0,True,0,61.555,0,0
40,60,0,True,0,62.245,0,0
50,60,0,True,0,62.621,0,0
60,60,0,True,0,62.924,0,0
70,60,0,True,0,63.143,0,0
80,60,0,True,0,63.375,0,0
90,60,0,True,0,63.817,0,0
100,60,0,True,0,64.507,0,0
0,0,10,True,0,71.846,0,0
10,0,10,True,0,68.722,0,0
20,0,10,True,0,66.808,0,0
30,0,10,True,0,65.723,0,0
40,0,10,True,0,65.11,0,0
50,0,10,True,0,64.799,0,0
60,0,10,True,0,64.734,0,0
70,0,10,True,0,64.701,0,0
80,0,10,True,0,64.589,0,0
90,0,10,True,0,64.364,0,0
100,0,10,True,0,63.737,0,0
0,10,10,True,0,69.741,0,0
10,10,10,True,0,67.518,0,0
20,10,10,True,0,66.128,0,0
30,10,10,True,0,65.344,0,0
40,10,10,True,0,64.886,0,0
50,10,10,True,0,64.638,0,0
60,10,10,True,0,64.598,0,0
70,10,10,True,0,64.556,0,0
80,10,10,True,0,64.442,0,0
90,10,10,True,0,64.254,0,0
100,10,10,True,0,63.728,0,0
0,20,10,True,0,66.62,0,0
10,20,10,True,0,65.558,0,0
20,20,10,True,0,64.906,0,0
30,20,10,True,0,64.554,0,0
40,20,10,True,0,64.349,0,0
50,20,10,True,0,64.252,0,0
60,20,10,True,0,64.292,0,0
70,20,10,True,0,64.315,0,0
80,20,10,True,0,64.275,0,0
90,20,10,True,0,64.192,0,0
100,20,10,True,0,63.902,0,0
0,30,10,True,0,63.094,0,0
10,30,10,True,0,63.324,0,0
20,30,10,True,0,63.482,0,0
30,30,10,True,0,63.646,0,0
40,30,10,True,0,63.762,0,0
50,30,10,True,0,63.847,0,0
60,30,10,True,0,63.993,0,0
70,30,10,True,0,64.108,0,0
80,30,10,True,0,64.186,0,0
90,30,10,True,0,64.27,0,0
100,30,10,True,0,64.313,0,0
0,40,10,True,0,59.422,0,0
10,40,10,True,0,60.931,0,0
20,40,10,True,0,61.919,0,0
30,40,10,True,0,62.603,0,0
40,40,10,True,0,63.009,0,0
50,40,10,True,0,63.283,0,0
60,40,10,True,0,63.537,0,0
70,40,10,True,0,63.738,0,0
80,40,10,True,0,63.911,0,0
90,40,10,True,0,64.197,0,0
100,40,10,True,0,64.56,0,0
0,50,10,True,0,56.391,0,0
10,50,10,True,0,59.015,0,0
20,50,10,True,0,60.708,0,0
30,50,10,True,0,61.81,0,0
40,50,10,True,0,62.47,0,0
50,50,10,True,0,62.864,0,0
60,50,10,True,0,63.193,0,0
70,50,10,True,0,63.438,0,0
80,50,10,True,0,63.695,0,0
90,50,10,True,0,64.137,0,0
100,50,10,True,0,64.768,0,0
0,60,10,True,0,54.151,0,0
10,60,10,True,0,57.608,0,0
20,60,10,True,0,59.771,0,0
30,60,10,True,0,61.133,0,0
40,60,10,True,0,61.916,0,0
50,60,10,True,0,62.354,0,0
60,60,10,True,0,62.683,0,0
70,60,10,True,0,62.931,0,0
80,60,10,True,0,63.203,0,0
90,60,10,True,0,63.692,0,0
100,60,10,True,0,64.474,0,0
0,0,20,True,0,71.982,0,0
10,0,20,True,0,68.809,0,0
20,0,20,True,0,66.823,0,0
30,0,20,True,0,65.681,0,0
40,0,20,True,0,65.013,0,0
50,0,20,True,0,64.657,0,0
60,0,20,True,0,64.532,0,0
70,0,20,True,0,64.44,0,0
80,0,20,True,0,64.268,0,0
90,0,20,True,0,63.962,0,0
100,0,20,True,0,63.236,0,0
0,10,20,True,0,69.708,0,0
10,10,20,True,0,67.482,0,0
20,10,20,True,0,66.057,0,0
30,10,20,True,0,65.225,0,0
40,10,20,True,0,64.738,0,0
50,10,20,True,0,64.462,0,0
60,10,20,True,0,64.363,0,0
70,10,20,True,0,64.292,0,0
80,10,20,True,0,64.122,0,0
90,10,20,True,0,63.847,0,0
100,10,20,True,0,63.265,0,0
0,20,20,True,0,66.407,0,0
10,20,20,True,0,65.402,0,0
20,20,20,True,0,64.744,0,0
30,20,20,True,0,64.379,0,0
40,20,20,True,0,64.16,0,0
50,20,20,True,0,64.041,0,0
60,20,20,True,0,64.038,0,0
70,20,20,True,0,64.03,0,0
80,20,20,True,0,63.947,0,0
90,20,20,True,0,63.826,0,0
100,20,20,True,0,63.497,0,0
0,30,20,True,0,62.744,0,0
10,30,20,True,0,63.054,0,0
20,30,20,True,0,63.241,0,0
30,30,20,True,0,63.427,0,0
40,30,20,True,0,63.523,0,0
50,30,20,True,0,63.618,0,0
60,30,20,True,0,63.739,0,0
70,30,20,True,0,63.825,0,0
80,30,20,True,0,63.874,0,0
90,30,20,True,0,63.95,0,0
100,30,20,True,0,63.958,0,0
0,40,20,True,0,58.958,0,0
10,40,20,True,0,60.597,0,0
20,40,20,True,0,61.63,0,0
30,40,20,True,0,62.328,0,0
40,40,20,True,0,62.763,0,0
50,40,20,True,0,63.035,0,0
60,40,20,True,0,63.287,0,0
70,40,20,True,0,63.473,0,0
80,40,20,True,0,63.65,0,0
90,40,20,True,0,63.928,0,0
100,40,20,True,0,64.287,0,0
0,50,20,True,0,55.848,0,0
10,50,20,True,0,58.635,0,0
20,50,20,True,0,60.379,0,0
30,50,20,True,0,61.53,0,0
40,50,20,True,0,62.215,0,0
50,50,20,True,0,62.616,0,0
60,50,20,True,0,62.966,0,0
70,50,20,True,0,63.219,0,0
80,50,20,True,0,63.473,0,0
90,50,20,True,0,63.925,0,0
100,50,20,True,0,64.568,0,0
0,60,20,True,0,53.527,0,0
10,60,20,True,0,57.184,0,0
20,60,20,True,0,59.428,0,0
30,60,20,True,0,60.855,0,0
40,60,20,True,0,61.674,0,0
50,60,20,True,0,62.14,0,0
60,60,20,True,0,62.497,0,0
70,60,20,True,0,62.755,0,0
80,60,20,True,0,63.035,0,0
90,60,20,True,0,63.55,0,0
100,60,20,True,0,64.369,0,0
0,0,30,True,0,71.723,0,0
10,0,30,True,0,68.649,0,0
20,0,30,True,0,66.674,0,0
30,0,30,True,0,65.54,0,0
40,0,30,True,0,64.859,0,0
50,0,30,True,0,64.496,0,0
60,0,30,True,0,64.355,0,0
70,0,30,True,0,64.225,0,0
80,0,30,True,0,64.022,0,0
90,0,30,True,0,63.692,0,0
100,0,30,True,0,62.965,0,0
0,10,30,True,0,69.436,0,0
10,10,30,True,0,67.296,0,0
20,10,30,True,0,65.88,0,0
30,10,30,True,0,65.063,0,0
40,10,30,True,0,64.562,0,0
50,10,30,True,0,64.279,0,0
60,10,30,True,0,64.174,0,0
70,10,30,True,0,64.076,0,0
80,10,30,True,0,63.876,0,0
90,10,30,True,0,63.593,0,0
100,10,30,True,0,62.978,0,0
0,20,30,True,0,66.155,0,0
10,20,30,True,0,65.203,0,0
20,20,30,True,0,64.545,0,0
30,20,30,True,0,64.205,0,0
40,20,30,True,0,63.991,0,0
50,20,30,True,0,63.85,0,0
60,20,30,True,0,63.837,0,0
70,20,30,True,0,63.822,0,0
80,20,30,True,0,63.698,0,0
90,20,30,True,0,63.569,0,0
100,20,30,True,0,63.212,0,0
0,30,30,True,0,62.507,0,0
10,30,30,True,0,62.881,0,0
20,30,30,True,0,63.074,0,0
30,30,30,True,0,63.269,0,0
40,30,30,True,0,63.366,0,0
50,30,30,True,0,63.428,0,0
60,30,30,True,0,63.538,0,0
70,30,30,True,0,63.602,0,0
80,30,30,True,0,63.63,0,0
90,30,30,True,0,63.69,0,0
100,30,30,True,0,63.691,0,0
0,40,30,True,0,58.779,0,0
10,40,30,True,0,60.457,0,0
20,40,30,True,0,61.473,0,0
30,40,30,True,0,62.199,0,0
40,40,30,True,0,62.634,0,0
50,40,30,True,0,62.887,0,0
60,40,30,True,0,63.113,0,0
70,40,30,True,0,63.287,0,0
80,40,30,True,0,63.425,0,0
90,40,30,True,0,63.699,0,0
100,40,30,True,0,64.05,0,0
0,50,30,True,0,55.707,0,0
10,50,30,True,0,58.521,0,0
20,50,30,True,0,60.269,0,0
30,50,30,True,0,61.42,0,0
40,50,30,True,0,62.09,0,0
50,50,30,True,0,62.488,0,0
60,50,30,True,0,62.803,0,0
70,50,30,True,0,63.04,0,0
80,50,30,True,0,63.29,0,0
90,50,30,True,0,63.716,0,0
100,50,30,True,0,64.356,0,0
0,60,30,True,0,53.474,0,0
10,60,30,True,0,57.118,0,0
20,60,30,True,0,59.36,0,0
30,60,30,True,0,60.769,0,0
40,60,30,True,0,61.597,0,0
50,60,30,True,0,62.046,0,0
60,60,30,True,0,62.378,0,0
70,60,30,True,0,62.613,0,0
80,60,30,True,0,62.884,0,0
90,60,30,True,0,63.392,0,0
100,60,30,True,0,64.197,0,0
