#------------------------------------
2025/02/06 18:20:36  start
2025/02/06 19:05:36  end
x, y, z, status, B, Bx, By, Bz   1 Measure/1point
Area : X100 Y60 Z60 I10 T539 -Push_Push_Push -Absolute A1
#------------------------------------
0,0,0,True,0,38.481,0,0
10,0,0,True,0,36.418,0,0
20,0,0,True,0,35.311,0,0
30,0,0,True,0,34.679,0,0
40,0,0,True,0,34.509,0,0
50,0,0,True,0,34.449,0,0
60,0,0,True,0,34.645,0,0
70,0,0,True,0,34.865,0,0
80,0,0,True,0,34.969,0,0
90,0,0,True,0,35.053,0,0
100,0,0,True,0,34.721,0,0
0,10,0,True,0,39.245,0,0
10,10,0,True,0,36.942,0,0
20,10,0,True,0,35.595,0,0
30,10,0,True,0,34.826,0,0
40,10,0,True,0,34.502,0,0
50,10,0,True,0,34.356,0,0
60,10,0,True,0,34.478,0,0
70,10,0,True,0,34.556,0,0
80,10,0,True,0,34.576,0,0
90,10,0,True,0,34.507,0,0
100,10,0,True,0,34.0,0,0
0,20,0,True,0,39.594,0,0
10,20,0,True,0,37.159,0,0
20,20,0,True,0,35.681,0,0
30,20,0,True,0,34.79,0,0
40,20,0,True,0,34.426,0,0
50,20,0,True,0,34.185,0,0
60,20,0,True,0,34.225,0,0
70,20,0,True,0,34.273,0,0
80,20,0,True,0,34.211,0,0
90,20,0,True,0,34.033,0,0
100,20,0,True,0,33.367,0,0
0,30,0,True,0,39.591,0,0
10,30,0,True,0,37.103,0,0
20,30,0,True,0,35.581,0,0
30,30,0,True,0,34.651,0,0
40,30,0,True,0,34.231,0,0
50,30,0,True,0,33.957,0,0
60,30,0,True,0,33.946,0,0
70,30,0,True,0,33.955,0,0
80,30,0,True,0,33.869,0,0
90,30,0,True,0,33.577,0,0
100,30,0,True,0,32.884,0,0
0,40,0,True,0,39.266,0,0
10,40,0,True,0,36.833,0,0
20,40,0,True,0,35.321,0,0
30,40,0,True,0,34.394,0,0
40,40,0,True,0,33.975,0,0
50,40,0,True,0,33.706,0,0
60,40,0,True,0,33.67,0,0
70,40,0,True,0,33.655,0,0
80,40,0,True,0,33.561,0,0
90,40,0,True,0,33.247,0,0
100,40,0,True,0,32.517,0,0
0,50,0,True,0,38.622,0,0
10,50,0,True,0,36.316,0,0
20,50,0,True,0,34.906,0,0
30,50,0,True,0,34.027,0,0
40,50,0,True,0,33.643,0,0
50,50,0,True,0,33.386,0,0
60,50,0,True,0,33.393,0,0
70,50,0,True,0,33.352,0,0
80,50,0,True,0,33.264,0,0
90,50,0,True,0,33.002,0,0
100,50,0,True,0,32.311,0,0
0,60,0,True,0,37.731,0,0
10,60,0,True,0,35.639,0,0
20,60,0,True,0,34.374,0,0
30,60,0,True,0,33.616,0,0
40,60,0,True,0,33.293,0,0
50,60,0,True,0,33.094,0,0
60,60,0,True,0,33.117,0,0
70,60,0,True,0,33.104,0,0
80,60,0,True,0,33.068,0,0
90,60,0,True,0,32.858,0,0
100,60,0,True,0,32.26,0,0
0,0,10,True,0,36.042,0,0
10,0,10,True,0,34.963,0,0
20,0,10,True,0,34.36,0,0
30,0,10,True,0,34.066,0,0
40,0,10,True,0,34.054,0,0
50,0,10,True,0,34.093,0,0
60,0,10,True,0,34.362,0,0
70,0,10,True,0,34.542,0,0
80,0,10,True,0,34.68,0,0
90,0,10,True,0,34.755,0,0
100,0,10,True,0,34.555,0,0
0,10,10,True,0,36.395,0,0
10,10,10,True,0,35.171,0,0
20,10,10,True,0,34.465,0,0
30,10,10,True,0,34.096,0,0
40,10,10,True,0,34.017,0,0
50,10,10,True,0,33.978,0,0
60,10,10,True,0,34.18,0,0
70,10,10,True,0,34.284,0,0
80,10,10,True,0,34.352,0,0
90,10,10,True,0,34.326,0,0
100,10,10,True,0,33.998,0,0
0,20,10,True,0,36.527,0,0
10,20,10,True,0,35.239,0,0
20,20,10,True,0,34.473,0,0
30,20,10,True,0,34.02,0,0
40,20,10,True,0,33.904,0,0
50,20,10,True,0,33.815,0,0
60,20,10,True,0,33.954,0,0
70,20,10,True,0,34.02,0,0
80,20,10,True,0,34.049,0,0
90,20,10,True,0,33.928,0,0
100,20,10,True,0,33.5,0,0
0,30,10,True,0,36.455,0,0
10,30,10,True,0,35.156,0,0
20,30,10,True,0,34.371,0,0
30,30,10,True,0,33.888,0,0
40,30,10,True,0,33.746,0,0
50,30,10,True,0,33.621,0,0
60,30,10,True,0,33.71,0,0
70,30,10,True,0,33.747,0,0
80,30,10,True,0,33.723,0,0
90,30,10,True,0,33.549,0,0
100,30,10,True,0,33.104,0,0
0,40,10,True,0,36.238,0,0
10,40,10,True,0,34.964,0,0
20,40,10,True,0,34.178,0,0
30,40,10,True,0,33.703,0,0
40,40,10,True,0,33.546,0,0
50,40,10,True,0,33.421,0,0
60,40,10,True,0,33.496,0,0
70,40,10,True,0,33.516,0,0
80,40,10,True,0,33.463,0,0
90,40,10,True,0,33.28,0,0
100,40,10,True,0,32.799,0,0
0,50,10,True,0,35.905,0,0
10,50,10,True,0,34.666,0,0
20,50,10,True,0,33.929,0,0
30,50,10,True,0,33.468,0,0
40,50,10,True,0,33.316,0,0
50,50,10,True,0,33.199,0,0
60,50,10,True,0,33.278,0,0
70,50,10,True,0,33.276,0,0
80,50,10,True,0,33.243,0,0
90,50,10,True,0,33.074,0,0
100,50,10,True,0,32.59,0,0
0,60,10,True,0,35.406,0,0
10,60,10,True,0,34.244,0,0
20,60,10,True,0,33.632,0,0
30,60,10,True,0,33.225,0,0
40,60,10,True,0,33.104,0,0
50,60,10,True,0,33.005,0,0
60,60,10,True,0,33.085,0,0
70,60,10,True,0,33.095,0,0
80,60,10,True,0,33.078,0,0
90,60,10,True,0,32.946,0,0
100,60,10,True,0,32.518,0,0
0,0,20,True,0,33.086,0,0
10,0,20,True,0,33.079,0,0
20,0,20,True,0,33.207,0,0
30,0,20,True,0,33.319,0,0
40,0,20,True,0,33.558,0,0
50,0,20,True,0,33.72,0,0
60,0,20,True,0,34.072,0,0
70,0,20,True,0,34.294,0,0
80,0,20,True,0,34.503,0,0
90,0,20,True,0,34.694,0,0
100,0,20,True,0,34.699,0,0
0,10,20,True,0,33.086,0,0
10,10,20,True,0,33.057,0,0
20,10,20,True,0,33.15,0,0
30,10,20,True,0,33.252,0,0
40,10,20,True,0,33.462,0,0
50,10,20,True,0,33.582,0,0
60,10,20,True,0,33.92,0,0
70,10,20,True,0,34.095,0,0
80,10,20,True,0,34.246,0,0
90,10,20,True,0,34.373,0,0
100,10,20,True,0,34.332,0,0
0,20,20,True,0,32.999,0,0
10,20,20,True,0,32.997,0,0
20,20,20,True,0,33.07,0,0
30,20,20,True,0,33.148,0,0
40,20,20,True,0,33.327,0,0
50,20,20,True,0,33.451,0,0
60,20,20,True,0,33.728,0,0
70,20,20,True,0,33.881,0,0
80,20,20,True,0,34.027,0,0
90,20,20,True,0,34.082,0,0
100,20,20,True,0,33.992,0,0
0,30,20,True,0,32.885,0,0
10,30,20,True,0,32.859,0,0
20,30,20,True,0,32.961,0,0
30,30,20,True,0,33.016,0,0
40,30,20,True,0,33.18,0,0
50,30,20,True,0,33.279,0,0
60,30,20,True,0,33.53,0,0
70,30,20,True,0,33.659,0,0
80,30,20,True,0,33.793,0,0
90,30,20,True,0,33.801,0,0
100,30,20,True,0,33.707,0,0
0,40,20,True,0,32.78,0,0
10,40,20,True,0,32.766,0,0
20,40,20,True,0,32.85,0,0
30,40,20,True,0,32.919,0,0
40,40,20,True,0,33.025,0,0
50,40,20,True,0,33.152,0,0
60,40,20,True,0,33.352,0,0
70,40,20,True,0,33.471,0,0
80,40,20,True,0,33.577,0,0
90,40,20,True,0,33.57,0,0
100,40,20,True,0,33.427,0,0
0,50,20,True,0,32.68,0,0
10,50,20,True,0,32.659,0,0
20,50,20,True,0,32.73,0,0
30,50,20,True,0,32.768,0,0
40,50,20,True,0,32.891,0,0
50,50,20,True,0,33.001,0,0
60,50,20,True,0,33.188,0,0
70,50,20,True,0,33.282,0,0
80,50,20,True,0,33.389,0,0
90,50,20,True,0,33.365,0,0
100,50,20,True,0,33.215,0,0
0,60,20,True,0,32.604,0,0
10,60,20,True,0,32.601,0,0
20,60,20,True,0,32.649,0,0
30,60,20,True,0,32.683,0,0
40,60,20,True,0,32.792,0,0
50,60,20,True,0,32.887,0,0
60,60,20,True,0,33.057,0,0
70,60,20,True,0,33.151,0,0
80,60,20,True,0,33.256,0,0
90,60,20,True,0,33.218,0,0
100,60,20,True,0,33.081,0,0
0,0,30,True,0,30.147,0,0
10,0,30,True,0,31.205,0,0
20,0,30,True,0,32.058,0,0
30,0,30,True,0,32.6,0,0
40,0,30,True,0,33.04,0,0
50,0,30,True,0,33.395,0,0
60,0,30,True,0,33.847,0,0
70,0,30,True,0,34.141,0,0
80,0,30,True,0,34.452,0,0
90,0,30,True,0,34.757,0,0
100,0,30,True,0,35.072,0,0
0,10,30,True,0,29.726,0,0
10,10,30,True,0,30.877,0,0
20,10,30,True,0,31.769,0,0
30,10,30,True,0,32.341,0,0
40,10,30,True,0,32.833,0,0
50,10,30,True,0,33.189,0,0
60,10,30,True,0,33.639,0,0
70,10,30,True,0,33.939,0,0
80,10,30,True,0,34.223,0,0
90,10,30,True,0,34.53,0,0
100,10,30,True,0,34.828,0,0
0,20,30,True,0,29.39,0,0
10,20,30,True,0,30.677,0,0
20,20,30,True,0,31.587,0,0
30,20,30,True,0,32.202,0,0
40,20,30,True,0,32.7,0,0
50,20,30,True,0,33.06,0,0
60,20,30,True,0,33.462,0,0
70,20,30,True,0,33.769,0,0
80,20,30,True,0,34.046,0,0
90,20,30,True,0,34.319,0,0
100,20,30,True,0,34.614,0,0
0,30,30,True,0,29.202,0,0
10,30,30,True,0,30.534,0,0
20,30,30,True,0,31.461,0,0
30,30,30,True,0,32.051,0,0
40,30,30,True,0,32.56,0,0
50,30,30,True,0,32.917,0,0
60,30,30,True,0,33.288,0,0
70,30,30,True,0,33.576,0,0
80,30,30,True,0,33.858,0,0
90,30,30,True,0,34.099,0,0
100,30,30,True,0,34.371,0,0
0,40,30,True,0,29.202,0,0
10,40,30,True,0,30.493,0,0
20,40,30,True,0,31.401,0,0
30,40,30,True,0,31.993,0,0
40,40,30,True,0,32.468,0,0
50,40,30,True,0,32.809,0,0
60,40,30,True,0,33.149,0,0
70,40,30,True,0,33.409,0,0
80,40,30,True,0,33.671,0,0
90,40,30,True,0,33.894,0,0
100,40,30,True,0,34.132,0,0
0,50,30,True,0,29.35,0,0
10,50,30,True,0,30.591,0,0
20,50,30,True,0,31.449,0,0
30,50,30,True,0,31.985,0,0
40,50,30,True,0,32.41,0,0
50,50,30,True,0,32.728,0,0
60,50,30,True,0,33.036,0,0
70,50,30,True,0,33.254,0,0
80,50,30,True,0,33.494,0,0
90,50,30,True,0,33.687,0,0
100,50,30,True,0,33.902,0,0
0,60,30,True,0,29.698,0,0
10,60,30,True,0,30.82,0,0
20,60,30,True,0,31.58,0,0
30,60,30,True,0,32.043,0,0
40,60,30,True,0,32.431,0,0
50,60,30,True,0,32.698,0,0
60,60,30,True,0,32.97,0,0
70,60,30,True,0,33.15,0,0
80,60,30,True,0,33.374,0,0
90,60,30,True,0,33.522,0,0
100,60,30,True,0,33.69,0,0
