#------------------------------------
2024/11/23 16:47:12  start
2024/11/23 22:26:25  end
x, y, z, status, B, Bx, By, Bz   1 Measure/1point
Area : X300 Y250 Z40 I10 T4030 -Push_Push_Push -Absolute A1
#------------------------------------
0,0,0,True,0,1550.872,0,0
10,0,0,True,0,1538.345,0,0
20,0,0,True,0,1525.857,0,0
30,0,0,True,0,1515.269,0,0
40,0,0,True,0,1508.053,0,0
50,0,0,True,0,1506.229,0,0
60,0,0,True,0,1509.911,0,0
70,0,0,True,0,1514.39,0,0
80,0,0,True,0,1516.183,0,0
90,0,0,True,0,1517.41,0,0
100,0,0,True,0,1518.54,0,0
110,0,0,True,0,1517.508,0,0
120,0,0,True,0,1514.707,0,0
130,0,0,True,0,1512.198,0,0
140,0,0,True,0,1509.712,0,0
150,0,0,True,0,1505.202,0,0
160,0,0,True,0,1497.754,0,0
170,0,0,True,0,1494.293,0,0
180,0,0,True,0,1502.653,0,0
190,0,0,True,0,1519.857,0,0
200,0,0,True,0,1534.238,0,0
210,0,0,True,0,1538.619,0,0
220,0,0,True,0,1536.654,0,0
230,0,0,True,0,1536.58,0,0
240,0,0,True,0,1541.827,0,0
250,0,0,True,0,1551.08,0,0
260,0,0,True,0,1558.936,0,0
270,0,0,True,0,1561.316,0,0
280,0,0,True,0,1558.938,0,0
290,0,0,True,0,1553.881,0,0
300,0,0,True,0,1548.376,0,0
0,10,0,True,0,1550.667,0,0
10,10,0,True,0,1538.568,0,0
20,10,0,True,0,1528.197,0,0
30,10,0,True,0,1519.886,0,0
40,10,0,True,0,1514.321,0,0
50,10,0,True,0,1512.081,0,0
60,10,0,True,0,1512.791,0,0
70,10,0,True,0,1514.528,0,0
80,10,0,True,0,1515.926,0,0
90,10,0,True,0,1516.739,0,0
100,10,0,True,0,1517.113,0,0
110,10,0,True,0,1516.468,0,0
120,10,0,True,0,1515.042,0,0
130,10,0,True,0,1512.935,0,0
140,10,0,True,0,1510.647,0,0
150,10,0,True,0,1507.915,0,0
160,10,0,True,0,1505.412,0,0
170,10,0,True,0,1505.784,0,0
180,10,0,True,0,1511.298,0,0
190,10,0,True,0,1520.531,0,0
200,10,0,True,0,1529.108,0,0
210,10,0,True,0,1534.163,0,0
220,10,0,True,0,1536.41,0,0
230,10,0,True,0,1538.783,0,0
240,10,0,True,0,1542.906,0,0
250,10,0,True,0,1548.358,0,0
260,10,0,True,0,1553.245,0,0
270,10,0,True,0,1555.461,0,0
280,10,0,True,0,1555.205,0,0
290,10,0,True,0,1553.777,0,0
300,10,0,True,0,1553.054,0,0
0,20,0,True,0,1547.652,0,0
10,20,0,True,0,1536.953,0,0
20,20,0,True,0,1528.431,0,0
30,20,0,True,0,1521.851,0,0
40,20,0,True,0,1517.404,0,0
50,20,0,True,0,1515.128,0,0
60,20,0,True,0,1514.621,0,0
70,20,0,True,0,1515.094,0,0
80,20,0,True,0,1515.779,0,0
90,20,0,True,0,1516.249,0,0
100,20,0,True,0,1516.38,0,0
110,20,0,True,0,1515.932,0,0
120,20,0,True,0,1514.972,0,0
130,20,0,True,0,1513.703,0,0
140,20,0,True,0,1512.29,0,0
150,20,0,True,0,1510.97,0,0
160,20,0,True,0,1510.551,0,0
170,20,0,True,0,1512.028,0,0
180,20,0,True,0,1516.054,0,0
190,20,0,True,0,1521.845,0,0
200,20,0,True,0,1527.924,0,0
210,20,0,True,0,1532.361,0,0
220,20,0,True,0,1535.781,0,0
230,20,0,True,0,1538.783,0,0
240,20,0,True,0,1542.315,0,0
250,20,0,True,0,1546.119,0,0
260,20,0,True,0,1549.394,0,0
270,20,0,True,0,1551.474,0,0
280,20,0,True,0,1552.427,0,0
290,20,0,True,0,1552.853,0,0
300,20,0,True,0,1554.489,0,0
0,30,0,True,0,1541.113,0,0
10,30,0,True,0,1533.134,0,0
20,30,0,True,0,1526.774,0,0
30,30,0,True,0,1521.821,0,0
40,30,0,True,0,1518.382,0,0
50,30,0,True,0,1516.395,0,0
60,30,0,True,0,1515.562,0,0
70,30,0,True,0,1515.464,0,0
80,30,0,True,0,1515.735,0,0
90,30,0,True,0,1516.008,0,0
100,30,0,True,0,1516.063,0,0
110,30,0,True,0,1515.812,0,0
120,30,0,True,0,1515.32,0,0
130,30,0,True,0,1514.587,0,0
140,30,0,True,0,1513.92,0,0
150,30,0,True,0,1513.553,0,0
160,30,0,True,0,1514.062,0,0
170,30,0,True,0,1515.803,0,0
180,30,0,True,0,1518.998,0,0
190,30,0,True,0,1523.184,0,0
200,30,0,True,0,1527.654,0,0
210,30,0,True,0,1531.589,0,0
220,30,0,True,0,1535.063,0,0
230,30,0,True,0,1538.188,0,0
240,30,0,True,0,1541.223,0,0
250,30,0,True,0,1544.178,0,0
260,30,0,True,0,1546.707,0,0
270,30,0,True,0,1548.575,0,0
280,30,0,True,0,1549.86,0,0
290,30,0,True,0,1551.122,0,0
300,30,0,True,0,1553.237,0,0
0,40,0,True,0,1532.026,0,0
10,40,0,True,0,1527.329,0,0
20,40,0,True,0,1523.401,0,0
30,40,0,True,0,1520.203,0,0
40,40,0,True,0,1517.857,0,0
50,40,0,True,0,1516.445,0,0
60,40,0,True,0,1515.75,0,0
70,40,0,True,0,1515.575,0,0
80,40,0,True,0,1515.689,0,0
90,40,0,True,0,1515.853,0,0
100,40,0,True,0,1515.926,0,0
110,40,0,True,0,1515.891,0,0
120,40,0,True,0,1515.681,0,0
130,40,0,True,0,1515.483,0,0
140,40,0,True,0,1515.399,0,0
150,40,0,True,0,1515.679,0,0
160,40,0,True,0,1516.6,0,0
170,40,0,True,0,1518.34,0,0
180,40,0,True,0,1520.989,0,0
190,40,0,True,0,1524.343,0,0
200,40,0,True,0,1527.909,0,0
210,40,0,True,0,1531.352,0,0
220,40,0,True,0,1534.498,0,0
230,40,0,True,0,1537.39,0,0
240,40,0,True,0,1540.001,0,0
250,40,0,True,0,1542.335,0,0
260,40,0,True,0,1544.396,0,0
270,40,0,True,0,1545.857,0,0
280,40,0,True,0,1547.096,0,0
290,40,0,True,0,1548.236,0,0
