#------------------------------------
2024/11/25 10:34:31  start
2024/11/25 16:13:44  end
x, y, z, status, B, Bx, By, Bz   1 Measure/1point
Area : X300 Y250 Z40 I10 T4030 -Push_Push_Push -Absolute A1
#------------------------------------
0,0,0,True,0,68.613,0,0
10,0,0,True,0,69.488,0,0
20,0,0,True,0,67.652,0,0
30,0,0,True,0,62.831,0,0
40,0,0,True,0,55.458,0,0
50,0,0,True,0,45.261,0,0
60,0,0,True,0,37.447,0,0
70,0,0,True,0,37.534,0,0
80,0,0,True,0,39.803,0,0
90,0,0,True,0,39.303,0,0
100,0,0,True,0,40.863,0,0
110,0,0,True,0,44.674,0,0
120,0,0,True,0,45.287,0,0
130,0,0,True,0,44.37,0,0
140,0,0,True,0,44.228,0,0
150,0,0,True,0,45.771,0,0
160,0,0,True,0,42.745,0,0
170,0,0,True,0,28.253,0,0
180,0,0,True,0,8.146,0,0
190,0,0,True,0,-0.329,0,0
200,0,0,True,0,7.44,0,0
210,0,0,True,0,20.001,0,0
220,0,0,True,0,24.462,0,0
230,0,0,True,0,20.61,0,0
240,0,0,True,0,16.094,0,0
250,0,0,True,0,14.575,0,0
260,0,0,True,0,21.958,0,0
270,0,0,True,0,31.577,0,0
280,0,0,True,0,39.149,0,0
290,0,0,True,0,42.722,0,0
300,0,0,True,0,40.993,0,0
0,10,0,True,0,56.362,0,0
10,10,0,True,0,57.317,0,0
20,10,0,True,0,56.825,0,0
30,10,0,True,0,54.283,0,0
40,10,0,True,0,49.854,0,0
50,10,0,True,0,44.587,0,0
60,10,0,True,0,40.493,0,0
70,10,0,True,0,39.188,0,0
80,10,0,True,0,39.379,0,0
90,10,0,True,0,39.856,0,0
100,10,0,True,0,40.749,0,0
110,10,0,True,0,42.12,0,0
120,10,0,True,0,42.609,0,0
130,10,0,True,0,42.225,0,0
140,10,0,True,0,41.347,0,0
150,10,0,True,0,39.812,0,0
160,10,0,True,0,35.643,0,0
170,10,0,True,0,27.62,0,0
180,10,0,True,0,18.453,0,0
190,10,0,True,0,13.759,0,0
200,10,0,True,0,15.51,0,0
210,10,0,True,0,19.96,0,0
220,10,0,True,0,22.624,0,0
230,10,0,True,0,22.245,0,0
240,10,0,True,0,21.266,0,0
250,10,0,True,0,22.031,0,0
260,10,0,True,0,26.083,0,0
270,10,0,True,0,31.602,0,0
280,10,0,True,0,36.43,0,0
290,10,0,True,0,38.847,0,0
300,10,0,True,0,37.985,0,0
0,20,0,True,0,42.776,0,0
10,20,0,True,0,46.171,0,0
20,20,0,True,0,47.62,0,0
30,20,0,True,0,47.249,0,0
40,20,0,True,0,45.339,0,0
50,20,0,True,0,42.853,0,0
60,20,0,True,0,40.685,0,0
70,20,0,True,0,39.637,0,0
80,20,0,True,0,39.418,0,0
90,20,0,True,0,39.739,0,0
100,20,0,True,0,40.183,0,0
110,20,0,True,0,40.783,0,0
120,20,0,True,0,40.885,0,0
130,20,0,True,0,40.45,0,0
140,20,0,True,0,39.304,0,0
150,20,0,True,0,37.238,0,0
160,20,0,True,0,33.696,0,0
170,20,0,True,0,28.784,0,0
180,20,0,True,0,23.848,0,0
190,20,0,True,0,20.868,0,0
200,20,0,True,0,20.805,0,0
210,20,0,True,0,22.26,0,0
220,20,0,True,0,23.732,0,0
230,20,0,True,0,24.268,0,0
240,20,0,True,0,24.788,0,0
250,20,0,True,0,26.134,0,0
260,20,0,True,0,28.989,0,0
270,20,0,True,0,32.603,0,0
280,20,0,True,0,36.044,0,0
290,20,0,True,0,38.278,0,0
300,20,0,True,0,38.991,0,0
0,30,0,True,0,30.138,0,0
10,30,0,True,0,36.305,0,0
20,30,0,True,0,39.815,0,0
30,30,0,True,0,41.343,0,0
40,30,0,True,0,41.384,0,0
50,30,0,True,0,40.709,0,0
60,30,0,True,0,39.848,0,0
70,30,0,True,0,39.344,0,0
80,30,0,True,0,39.202,0,0
90,30,0,True,0,39.413,0,0
100,30,0,True,0,39.616,0,0
110,30,0,True,0,39.834,0,0
120,30,0,True,0,39.717,0,0
130,30,0,True,0,39.157,0,0
140,30,0,True,0,38.005,0,0
150,30,0,True,0,36.105,0,0
160,30,0,True,0,33.423,0,0
170,30,0,True,0,30.173,0,0
180,30,0,True,0,27.116,0,0
190,30,0,True,0,25.041,0,0
200,30,0,True,0,24.491,0,0
210,30,0,True,0,24.857,0,0
220,30,0,True,0,25.704,0,0
230,30,0,True,0,26.425,0,0
240,30,0,True,0,27.392,0,0
250,30,0,True,0,28.899,0,0
260,30,0,True,0,31.224,0,0
270,30,0,True,0,34.019,0,0
280,30,0,True,0,36.952,0,0
290,30,0,True,0,39.504,0,0
300,30,0,True,0,41.771,0,0
0,40,0,True,0,19.99,0,0
10,40,0,True,0,28.254,0,0
20,40,0,True,0,33.464,0,0
30,40,0,True,0,36.506,0,0
40,40,0,True,0,37.999,0,0
50,40,0,True,0,38.568,0,0
60,40,0,True,0,38.654,0,0
70,40,0,True,0,38.674,0,0
80,40,0,True,0,38.789,0,0
90,40,0,True,0,38.974,0,0
100,40,0,True,0,39.076,0,0
110,40,0,True,0,39.114,0,0
120,40,0,True,0,38.863,0,0
130,40,0,True,0,38.266,0,0
140,40,0,True,0,37.216,0,0
150,40,0,True,0,35.651,0,0
160,40,0,True,0,33.628,0,0
170,40,0,True,0,31.374,0,0
180,40,0,True,0,29.303,0,0
190,40,0,True,0,27.785,0,0
200,40,0,True,0,27.176,0,0
210,40,0,True,0,27.167,0,0
220,40,0,True,0,27.722,0,0
230,40,0,True,0,28.43,0,0
240,40,0,True,0,29.491,0,0
250,40,0,True,0,30.985,0,0
260,40,0,True,0,33.054,0,0
270,40,0,True,0,35.54,0,0
280,40,0,True,0,38.369,0,0
290,40,0,True,0,41.394,0,0
300,40,0,True,0,44.856,0,0
0,50,0,True,0,13.032,0,0
10,50,0,True,0,22.452,0,0
20,50,0,True,0,28.776,0,0
30,50,0,True,0,32.858,0,0
40,50,0,True,0,35.345,0,0
50,50,0,True,0,36.75,0,0
60,50,0,True,0,37.546,0,0
