#------------------------------------
2024/11/25 18:26:05  start
2024/11/26 00:05:14  end
x, y, z, status, B, Bx, By, Bz   1 Measure/1point
Area : X300 Y250 Z40 I10 T4030 -Push_Push_Push -Absolute A1
#------------------------------------
0,0,0,True,0,17.471,0,0
10,0,0,True,0,17.726,0,0
20,0,0,True,0,18.192,0,0
30,0,0,True,0,19.16,0,0
40,0,0,True,0,20.571,0,0
50,0,0,True,0,22.189,0,0
60,0,0,True,0,23.34,0,0
70,0,0,True,0,23.211,0,0
80,0,0,True,0,22.512,0,0
90,0,0,True,0,22.002,0,0
100,0,0,True,0,21.223,0,0
110,0,0,True,0,20.39,0,0
120,0,0,True,0,19.667,0,0
130,0,0,True,0,18.984,0,0
140,0,0,True,0,17.83,0,0
150,0,0,True,0,16.356,0,0
160,0,0,True,0,16.374,0,0
170,0,0,True,0,19.079,0,0
180,0,0,True,0,22.125,0,0
190,0,0,True,0,23.263,0,0
200,0,0,True,0,22.319,0,0
210,0,0,True,0,21.109,0,0
220,0,0,True,0,21.662,0,0
230,0,0,True,0,24.942,0,0
240,0,0,True,0,29.159,0,0
250,0,0,True,0,32.492,0,0
260,0,0,True,0,33.244,0,0
270,0,0,True,0,32.492,0,0
280,0,0,True,0,31.487,0,0
290,0,0,True,0,30.709,0,0
300,0,0,True,0,30.548,0,0
0,10,0,True,0,18.634,0,0
10,10,0,True,0,19.077,0,0
20,10,0,True,0,19.57,0,0
30,10,0,True,0,20.232,0,0
40,10,0,True,0,21.172,0,0
50,10,0,True,0,22.129,0,0
60,10,0,True,0,22.801,0,0
70,10,0,True,0,22.951,0,0
80,10,0,True,0,22.741,0,0
90,10,0,True,0,22.403,0,0
100,10,0,True,0,21.95,0,0
110,10,0,True,0,21.491,0,0
120,10,0,True,0,21.031,0,0
130,10,0,True,0,20.558,0,0
140,10,0,True,0,20.044,0,0
150,10,0,True,0,19.791,0,0
160,10,0,True,0,20.212,0,0
170,10,0,True,0,21.592,0,0
180,10,0,True,0,23.072,0,0
190,10,0,True,0,23.965,0,0
200,10,0,True,0,23.958,0,0
210,10,0,True,0,23.867,0,0
220,10,0,True,0,24.461,0,0
230,10,0,True,0,26.159,0,0
240,10,0,True,0,28.323,0,0
250,10,0,True,0,30.124,0,0
260,10,0,True,0,30.796,0,0
270,10,0,True,0,30.678,0,0
280,10,0,True,0,30.226,0,0
290,10,0,True,0,29.826,0,0
300,10,0,True,0,29.937,0,0
0,20,0,True,0,20.414,0,0
10,20,0,True,0,20.551,0,0
20,20,0,True,0,20.832,0,0
30,20,0,True,0,21.235,0,0
40,20,0,True,0,21.782,0,0
50,20,0,True,0,22.373,0,0
60,20,0,True,0,22.798,0,0
70,20,0,True,0,22.981,0,0
80,20,0,True,0,22.989,0,0
90,20,0,True,0,22.845,0,0
100,20,0,True,0,22.617,0,0
110,20,0,True,0,22.391,0,0
120,20,0,True,0,22.161,0,0
130,20,0,True,0,21.97,0,0
140,20,0,True,0,21.814,0,0
150,20,0,True,0,21.942,0,0
160,20,0,True,0,22.405,0,0
170,20,0,True,0,23.289,0,0
180,20,0,True,0,24.178,0,0
190,20,0,True,0,24.88,0,0
200,20,0,True,0,25.152,0,0
210,20,0,True,0,25.426,0,0
220,20,0,True,0,25.904,0,0
230,20,0,True,0,26.872,0,0
240,20,0,True,0,27.979,0,0
250,20,0,True,0,28.936,0,0
260,20,0,True,0,29.349,0,0
270,20,0,True,0,29.319,0,0
280,20,0,True,0,29.059,0,0
290,20,0,True,0,28.737,0,0
300,20,0,True,0,28.687,0,0
0,30,0,True,0,22.613,0,0
10,30,0,True,0,22.227,0,0
20,30,0,True,0,22.143,0,0
30,30,0,True,0,22.265,0,0
40,30,0,True,0,22.503,0,0
50,30,0,True,0,22.826,0,0
60,30,0,True,0,23.085,0,0
70,30,0,True,0,23.246,0,0
80,30,0,True,0,23.34,0,0
90,30,0,True,0,23.337,0,0
100,30,0,True,0,23.256,0,0
110,30,0,True,0,23.201,0,0
120,30,0,True,0,23.126,0,0
130,30,0,True,0,23.133,0,0
140,30,0,True,0,23.168,0,0
150,30,0,True,0,23.437,0,0
160,30,0,True,0,23.84,0,0
170,30,0,True,0,24.506,0,0
180,30,0,True,0,25.173,0,0
190,30,0,True,0,25.698,0,0
200,30,0,True,0,26.021,0,0
210,30,0,True,0,26.346,0,0
220,30,0,True,0,26.696,0,0
230,30,0,True,0,27.234,0,0
240,30,0,True,0,27.764,0,0
250,30,0,True,0,28.218,0,0
260,30,0,True,0,28.344,0,0
270,30,0,True,0,28.215,0,0
280,30,0,True,0,27.914,0,0
290,30,0,True,0,27.462,0,0
300,30,0,True,0,27.076,0,0
0,40,0,True,0,24.874,0,0
10,40,0,True,0,24.003,0,0
20,40,0,True,0,23.495,0,0
30,40,0,True,0,23.317,0,0
40,40,0,True,0,23.301,0,0
50,40,0,True,0,23.414,0,0
60,40,0,True,0,23.529,0,0
70,40,0,True,0,23.652,0,0
80,40,0,True,0,23.758,0,0
90,40,0,True,0,23.841,0,0
100,40,0,True,0,23.855,0,0
110,40,0,True,0,23.891,0,0
120,40,0,True,0,23.992,0,0
130,40,0,True,0,24.081,0,0
140,40,0,True,0,24.225,0,0
150,40,0,True,0,24.517,0,0
160,40,0,True,0,24.943,0,0
170,40,0,True,0,25.47,0,0
180,40,0,True,0,25.963,0,0
190,40,0,True,0,26.409,0,0
200,40,0,True,0,26.73,0,0
210,40,0,True,0,27.008,0,0
220,40,0,True,0,27.221,0,0
230,40,0,True,0,27.472,0,0
240,40,0,True,0,27.633,0,0
250,40,0,True,0,27.776,0,0
260,40,0,True,0,27.658,0,0
270,40,0,True,0,27.371,0,0
280,40,0,True,0,26.917,0,0
290,40,0,True,0,26.198,0,0
300,40,0,True,0,25.375,0,0
0,50,0,True,0,27.049,0,0
10,50,0,True,0,25.667,0,0
20,50,0,True,0,24.829,0,0
30,50,0,True,0,24.364,0,0
40,50,0,True,0,24.13,0,0
50,50,0,True,0,24.059,0,0
60,50,0,True,0,24.09,0,0
70,50,0,True,0,24.113,0,0
